#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/05/04
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.6477	0.4921	0.0253
#xyY coordinates: 0.5559	0.4224	0.4921
#sRGB: 255	57	0
#CCT Lindbloom (K):	1833
#CCT McCamy (K):	1839
#CCT Hernández-Andrés (K):	1454
#Melatonin: 0.062
#Chlorophyll a: 0.153
#Chlorophyll b: 0.368
#Beta Carotene: 0.155
#Manufacturer: Wetalux
#Luminance manufacturer: Unknown
#Other data: LED Ambar 5W Opal
#Begin Processed Spectral Data
W	S
475.00000000	0.01072453
476.00000000	0.00998265
477.00000000	0.00923571
478.00000000	0.00914750
479.00000000	0.00890350
480.00000000	0.00851423
481.00000000	0.00803106
482.00000000	0.00799752
483.00000000	0.00763378
484.00000000	0.00745029
485.00000000	0.00727588
486.00000000	0.00707089
487.00000000	0.00651558
488.00000000	0.00667380
489.00000000	0.00638886
490.00000000	0.00643585
491.00000000	0.00625064
492.00000000	0.00623686
493.00000000	0.00640051
494.00000000	0.00661737
495.00000000	0.00683148
496.00000000	0.00714107
497.00000000	0.00735418
498.00000000	0.00765760
499.00000000	0.00798332
500.00000000	0.00846048
501.00000000	0.00877767
502.00000000	0.00914640
503.00000000	0.00971733
504.00000000	0.01014673
505.00000000	0.01079390
506.00000000	0.01166499
507.00000000	0.01219161
508.00000000	0.01285265
509.00000000	0.01398763
510.00000000	0.01483845
511.00000000	0.01565472
512.00000000	0.01674880
513.00000000	0.01764927
514.00000000	0.01903671
515.00000000	0.02049880
516.00000000	0.02156920
517.00000000	0.02291801
518.00000000	0.02426955
519.00000000	0.02607157
520.00000000	0.02768767
521.00000000	0.02976216
522.00000000	0.03180952
523.00000000	0.03426224
524.00000000	0.03659543
525.00000000	0.03917684
526.00000000	0.04186125
527.00000000	0.04549281
528.00000000	0.04863718
529.00000000	0.05251290
530.00000000	0.05667251
531.00000000	0.06063121
532.00000000	0.06574325
533.00000000	0.07045795
534.00000000	0.07589476
535.00000000	0.08283397
536.00000000	0.08942003
537.00000000	0.09609371
538.00000000	0.10400227
539.00000000	0.11285217
540.00000000	0.12140363
541.00000000	0.13309473
542.00000000	0.14341405
543.00000000	0.15514203
544.00000000	0.16673242
545.00000000	0.18038178
546.00000000	0.19402113
547.00000000	0.20859795
548.00000000	0.22613560
549.00000000	0.24109283
550.00000000	0.25907713
551.00000000	0.27964484
552.00000000	0.29825016
553.00000000	0.31998051
554.00000000	0.34028294
555.00000000	0.36107415
556.00000000	0.38779080
557.00000000	0.41159889
558.00000000	0.43728997
559.00000000	0.46186290
560.00000000	0.48792574
561.00000000	0.51418804
562.00000000	0.53691608
563.00000000	0.55854228
564.00000000	0.58202242
565.00000000	0.60446190
566.00000000	0.63083323
567.00000000	0.65452775
568.00000000	0.67478383
569.00000000	0.69780108
570.00000000	0.71607388
571.00000000	0.73620527
572.00000000	0.75999928
573.00000000	0.77580865
574.00000000	0.79237809
575.00000000	0.80925414
576.00000000	0.82380727
577.00000000	0.84365791
578.00000000	0.85821830
579.00000000	0.87010790
580.00000000	0.88119726
581.00000000	0.89616575
582.00000000	0.90944814
583.00000000	0.92448076
584.00000000	0.93734371
585.00000000	0.95110539
586.00000000	0.96051196
587.00000000	0.96659911
588.00000000	0.97217773
589.00000000	0.97451047
590.00000000	0.98300757
591.00000000	0.98767228
592.00000000	0.98907206
593.00000000	0.99458862
594.00000000	0.99368123
595.00000000	0.99734864
596.00000000	0.99536272
597.00000000	0.99443737
598.00000000	0.99661083
599.00000000	0.99858699
600.00000000	1.00000000
601.00000000	0.99446230
602.00000000	0.99554927
603.00000000	0.99292612
604.00000000	0.98788571
605.00000000	0.97531661
606.00000000	0.96891824
607.00000000	0.95769659
608.00000000	0.94627396
609.00000000	0.93562045
610.00000000	0.92607788
611.00000000	0.92082637
612.00000000	0.90697681
613.00000000	0.89601604
614.00000000	0.89012014
615.00000000	0.88422625
616.00000000	0.87336238
617.00000000	0.86648564
618.00000000	0.86335503
619.00000000	0.84814172
620.00000000	0.84097837
621.00000000	0.82093028
622.00000000	0.80435647
623.00000000	0.79531585
624.00000000	0.77796745
625.00000000	0.76715183
626.00000000	0.75335531
627.00000000	0.73878520
628.00000000	0.72621572
629.00000000	0.70804830
630.00000000	0.69284653
631.00000000	0.67975393
632.00000000	0.66447553
633.00000000	0.64982128
634.00000000	0.63745725
635.00000000	0.62291185
636.00000000	0.60857603
637.00000000	0.59747463
638.00000000	0.58506617
639.00000000	0.56907010
640.00000000	0.55627008
641.00000000	0.54513412
642.00000000	0.53392095
643.00000000	0.52042512
644.00000000	0.51079707
645.00000000	0.49675207
646.00000000	0.48661057
647.00000000	0.47653629
648.00000000	0.46633440
649.00000000	0.45796856
650.00000000	0.44301658
651.00000000	0.43293965
652.00000000	0.42351894
653.00000000	0.41130094
654.00000000	0.40178887
655.00000000	0.38998434
656.00000000	0.37965991
657.00000000	0.36987020
658.00000000	0.36143137
659.00000000	0.35186935
660.00000000	0.34142796
661.00000000	0.33383239
662.00000000	0.32563927
663.00000000	0.31593072
664.00000000	0.30637397
665.00000000	0.29922339
666.00000000	0.29060863
667.00000000	0.28170245
668.00000000	0.27265050
669.00000000	0.26644851
670.00000000	0.25920282
671.00000000	0.25201902
672.00000000	0.24593689
673.00000000	0.23790036
674.00000000	0.23042764
675.00000000	0.22452209
676.00000000	0.21700993
677.00000000	0.21091371
678.00000000	0.20430627
679.00000000	0.19795973
680.00000000	0.19175095
681.00000000	0.18707211
682.00000000	0.18064981
683.00000000	0.17573705
684.00000000	0.16979129
685.00000000	0.16601214
686.00000000	0.15990203
