#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/17
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.6754	0.5477	0.0961
#xyY coordinates: 0.5120	0.4152	0.5477
#sRGB: 255	74	5
#CCT Lindbloom (K):	2140
#CCT McCamy (K):	2120
#CCT Hernández-Andrés (K):	1897
#Melatonin: 0.186
#Chlorophyll a: 0.399
#Chlorophyll b: 0.500
#Beta Carotene: 0.399
#Manufacturer: IKEA
#Luminance manufacturer: 200lm
#Other data: Manufacturer 2200K. 2.3W
#Begin Processed Spectral Data
W	S
475.00000000	0.11421398
476.00000000	0.11022385
477.00000000	0.10809045
478.00000000	0.10402303
479.00000000	0.10318594
480.00000000	0.10324118
481.00000000	0.10442458
482.00000000	0.10442711
483.00000000	0.10615918
484.00000000	0.10901726
485.00000000	0.11146635
486.00000000	0.11604876
487.00000000	0.11755775
488.00000000	0.12105839
489.00000000	0.12443000
490.00000000	0.12612150
491.00000000	0.12720616
492.00000000	0.13139031
493.00000000	0.13429060
494.00000000	0.13743095
495.00000000	0.14076023
496.00000000	0.14314686
497.00000000	0.14961260
498.00000000	0.15325880
499.00000000	0.15583640
500.00000000	0.16025891
501.00000000	0.16462360
502.00000000	0.16970042
503.00000000	0.17476595
504.00000000	0.17833907
505.00000000	0.18273572
506.00000000	0.18615257
507.00000000	0.19072379
508.00000000	0.19533012
509.00000000	0.19854545
510.00000000	0.20371818
511.00000000	0.20851136
512.00000000	0.21198096
513.00000000	0.21580449
514.00000000	0.21957050
515.00000000	0.22395471
516.00000000	0.22782857
517.00000000	0.23005718
518.00000000	0.23383540
519.00000000	0.23613855
520.00000000	0.23965107
521.00000000	0.24296923
522.00000000	0.24790945
523.00000000	0.25209621
524.00000000	0.25800112
525.00000000	0.25871047
526.00000000	0.26486208
527.00000000	0.27001707
528.00000000	0.27330729
529.00000000	0.27867774
530.00000000	0.28257542
531.00000000	0.28509173
532.00000000	0.29054228
533.00000000	0.29301278
534.00000000	0.29654196
535.00000000	0.30257222
536.00000000	0.30780416
537.00000000	0.31161092
538.00000000	0.31731298
539.00000000	0.32183222
540.00000000	0.32777404
541.00000000	0.33500227
542.00000000	0.33879015
543.00000000	0.34464831
544.00000000	0.34858714
545.00000000	0.35647007
546.00000000	0.36094314
547.00000000	0.36648977
548.00000000	0.37376615
549.00000000	0.37672686
550.00000000	0.38547153
551.00000000	0.39365110
552.00000000	0.39966358
553.00000000	0.40817799
554.00000000	0.41434257
555.00000000	0.42091712
556.00000000	0.43105400
557.00000000	0.44131099
558.00000000	0.45160506
559.00000000	0.45911981
560.00000000	0.46798371
561.00000000	0.47817947
562.00000000	0.48493966
563.00000000	0.49235907
564.00000000	0.50063658
565.00000000	0.50967329
566.00000000	0.51999787
567.00000000	0.52918721
568.00000000	0.53683494
569.00000000	0.54829231
570.00000000	0.55658481
571.00000000	0.56430564
572.00000000	0.57755861
573.00000000	0.58624362
574.00000000	0.59439562
575.00000000	0.60518753
576.00000000	0.61280386
577.00000000	0.62808930
578.00000000	0.63937646
579.00000000	0.64923445
580.00000000	0.65883606
581.00000000	0.67016834
582.00000000	0.68236775
583.00000000	0.69655430
584.00000000	0.71341140
585.00000000	0.72730722
586.00000000	0.74075550
587.00000000	0.75191747
588.00000000	0.76086060
589.00000000	0.77202524
590.00000000	0.78372321
591.00000000	0.79547130
592.00000000	0.80437583
593.00000000	0.81827686
594.00000000	0.82712395
595.00000000	0.83905846
596.00000000	0.84762765
597.00000000	0.85425876
598.00000000	0.86722982
599.00000000	0.88122938
600.00000000	0.89123606
601.00000000	0.89845065
602.00000000	0.91188686
603.00000000	0.92214534
604.00000000	0.92714397
605.00000000	0.93112527
606.00000000	0.93518387
607.00000000	0.93931249
608.00000000	0.94231641
609.00000000	0.94653223
610.00000000	0.95124951
611.00000000	0.96007935
612.00000000	0.95871479
613.00000000	0.96553017
614.00000000	0.97084080
615.00000000	0.97757297
616.00000000	0.98151566
617.00000000	0.98691497
618.00000000	0.99713914
619.00000000	0.99749501
620.00000000	1.00000000
621.00000000	0.98752743
622.00000000	0.98807997
623.00000000	0.98916381
624.00000000	0.98368061
625.00000000	0.98113099
626.00000000	0.98085638
627.00000000	0.97571458
628.00000000	0.97442338
629.00000000	0.96896209
630.00000000	0.95873725
631.00000000	0.96020340
632.00000000	0.94752464
633.00000000	0.94020530
634.00000000	0.93622157
635.00000000	0.93015109
636.00000000	0.92048838
637.00000000	0.91129594
638.00000000	0.90423836
639.00000000	0.89104652
640.00000000	0.88689662
641.00000000	0.87763251
642.00000000	0.87039634
643.00000000	0.85434659
644.00000000	0.85008086
645.00000000	0.83372440
646.00000000	0.82665531
647.00000000	0.81849514
648.00000000	0.80835546
649.00000000	0.79984822
650.00000000	0.78464411
651.00000000	0.77055835
652.00000000	0.75954110
653.00000000	0.74383731
654.00000000	0.73737516
655.00000000	0.72250539
656.00000000	0.71025317
657.00000000	0.69641969
658.00000000	0.68497210
659.00000000	0.67261994
660.00000000	0.66217660
661.00000000	0.65145192
662.00000000	0.63834589
663.00000000	0.62771519
664.00000000	0.61128459
665.00000000	0.60417864
666.00000000	0.58925649
667.00000000	0.57954015
668.00000000	0.56606938
669.00000000	0.55777078
670.00000000	0.54746053
671.00000000	0.53868863
672.00000000	0.52511557
673.00000000	0.51415865
674.00000000	0.50147109
675.00000000	0.49207081
676.00000000	0.48363671
677.00000000	0.46881036
678.00000000	0.45984343
679.00000000	0.45139240
680.00000000	0.44175114
681.00000000	0.43020052
682.00000000	0.42035445
683.00000000	0.40954273
684.00000000	0.40140855
685.00000000	0.39253874
686.00000000	0.38043038
687.00000000	0.37151639
688.00000000	0.36320982
689.00000000	0.35194702
690.00000000	0.34415980
691.00000000	0.33674177
692.00000000	0.33140088
693.00000000	0.32128553
694.00000000	0.31229407
695.00000000	0.30603354
696.00000000	0.29803598
697.00000000	0.28715348
698.00000000	0.28015117
699.00000000	0.27596077
700.00000000	0.26916697
701.00000000	0.26424732
702.00000000	0.25678268
703.00000000	0.25259574
704.00000000	0.24361608
705.00000000	0.23609342
706.00000000	0.22716837
707.00000000	0.22060037
708.00000000	0.21759065
709.00000000	0.21010955
710.00000000	0.20623222
711.00000000	0.20034536
712.00000000	0.19336759
713.00000000	0.18762003
714.00000000	0.18361404
715.00000000	0.17701914
716.00000000	0.17482831
717.00000000	0.16908560
718.00000000	0.16300676
719.00000000	0.16038359
720.00000000	0.15596600
721.00000000	0.15114594
722.00000000	0.14642862
723.00000000	0.13967359
724.00000000	0.13939072
725.00000000	0.13536542
