# LED 1833K-2877K
# average spectrum 
# W	S
475	0.42308824
476	0.40163109
477	0.385722925
478	0.364046255
479	0.344933795
480	0.33108881
481	0.31815762
482	0.30514901
483	0.294593435
484	0.28242924
485	0.2759067
486	0.26645354
487	0.2585179
488	0.25066717
489	0.24408807
490	0.239044205
491	0.239002865
492	0.2330704
493	0.234247875
494	0.23043267
495	0.230320355
496	0.230756935
497	0.2318522
498	0.233474815
499	0.23539245
500	0.236358125
501	0.238862845
502	0.24328945
503	0.24606977
504	0.247873965
505	0.251445645
506	0.25664933
507	0.26116287
508	0.266088855
509	0.270351565
510	0.274588425
511	0.28242775
512	0.28786819
513	0.285492755
514	0.294299795
515	0.299483165
516	0.30276162
517	0.306006805
518	0.307513665
519	0.312206355
520	0.314278445
521	0.31874775
522	0.321165035
523	0.32331115
524	0.33004497
525	0.33164793
526	0.33371772
527	0.33889791
528	0.341869425
529	0.34393311
530	0.34435461
531	0.34635739
532	0.345517865
533	0.346380265
534	0.34653788
535	0.34763048
536	0.35180614
537	0.35253851
538	0.35271626
539	0.355553405
540	0.352542935
541	0.354843825
542	0.354436895
543	0.35663236
544	0.353699335
545	0.355611265
546	0.352032745
547	0.35482397
548	0.353774925
549	0.3540694
550	0.35176225
551	0.351769885
552	0.35073855
553	0.350378305
554	0.35181811
555	0.3493541
556	0.35101834
557	0.352858915
558	0.35136408
559	0.349620965
560	0.35175414
561	0.350784655
562	0.34501101
563	0.34471751
564	0.33876318
565	0.34152408
566	0.33984132
567	0.339098395
568	0.33321826
569	0.33295588
570	0.32743343
571	0.327068365
572	0.324690215
573	0.323650045
574	0.319834265
575	0.317568785
576	0.3138851
577	0.31300777
578	0.309083535
579	0.307321325
580	0.306238
581	0.302682585
582	0.301673525
583	0.298789505
584	0.297855685
585	0.297375475
586	0.29032562
587	0.28741032
588	0.285431615
589	0.28205272
590	0.277387705
591	0.27668611
592	0.27281757
593	0.271084345
594	0.26740171
595	0.26350737
596	0.262876345
597	0.255730725
598	0.255660575
599	0.253971395
600	0.253941565
601	0.246944565
602	0.24505254
603	0.240506715
604	0.24026095
605	0.233231365
606	0.231503255
607	0.22559158
608	0.22454484
609	0.22101825
610	0.217066285
611	0.21465402
612	0.210420995
613	0.20865613
614	0.208607415
615	0.20484969
616	0.202291435
617	0.20174917
618	0.19939644
619	0.19679038
620	0.192832385
621	0.189146315
622	0.186521005
623	0.183350315
624	0.178310035
625	0.17749407
626	0.174080385
627	0.17058059
628	0.168163615
629	0.166482595
630	0.163161705
631	0.159073175
632	0.15706099
633	0.152077795
634	0.149594305
635	0.148492175
636	0.14492306
637	0.142086125
638	0.136447945
639	0.13655043
640	0.13366119
641	0.132093065
642	0.128213365
643	0.125429825
644	0.12525526
645	0.12165977
646	0.11809109
647	0.115920475
648	0.114158665
649	0.11164645
650	0.10934283
651	0.109073495
652	0.103615945
653	0.101948105
654	0.10108352
655	0.09951681
656	0.096996705
657	0.094499995
658	0.09178513
659	0.090705575
660	0.087619265
661	0.087385325
662	0.085475615
663	0.082146045
664	0.081065965
665	0.080949425
666	0.07827914
667	0.0760236
668	0.074995625
669	0.072874755
670	0.070386835
671	0.068767445
672	0.067649815
673	0.065033925
674	0.06485984
675	0.06375087
676	0.063506755
677	0.061599775
678	0.05831812
679	0.059881015
680	0.058968605
681	0.05642731
682	0.0517799
683	0.053456065
684	0.052330595
685	0.04983496
686	0.04810855
687	0.04757172
688	0.04825377
689	0.04409559
690	0.0452354
691	0.04404259
692	0.042966635
693	0.041577235
694	0.04052918
695	0.03813409
696	0.038111595
697	0.036398015
698	0.036282475
699	0.03664618
700	0.035652915
701	0.034931215
702	0.031794525
703	0.03108644
704	0.03100641
705	0.031391045
706	0.030546785
707	0.03044266
708	0.02939344
709	0.02682634
710	0.02629771
711	0.025996845
712	0.0266344
713	0.022768705
714	0.025841695
715	0.02290027
716	0.022386805
717	0.022997095
718	0.02157515
719	0.019624225
720	0.02144589
721	0.020956795
722	0.020465865
723	0.020071095
724	0.019713865
725	0.017605325
