#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/26
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.7289	0.6370	0.1950
#xyY coordinates: 0.4670	0.4081	0.6370
#sRGB: 255	99	23
#CCT Lindbloom (K):	2584
#CCT McCamy (K):	2576
#CCT Hernández-Andrés (K):	2474
#Melatonin: 0.273
#Chlorophyll a: 0.178
#Chlorophyll b: 0.538
#Beta Carotene: 0.179
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: Riba-Roja de Turia streetlamps
#Begin Processed Spectral Data
W	S
475.00000000	0.14717522
476.00000000	0.14058764
477.00000000	0.14203418
478.00000000	0.13586422
479.00000000	0.13934815
480.00000000	0.14097272
481.00000000	0.14174257
482.00000000	0.14036075
483.00000000	0.14328389
484.00000000	0.14865683
485.00000000	0.15137469
486.00000000	0.15321822
487.00000000	0.15665720
488.00000000	0.16257519
489.00000000	0.16346362
490.00000000	0.16744728
491.00000000	0.17400950
492.00000000	0.18068815
493.00000000	0.18427190
494.00000000	0.19387360
495.00000000	0.19881898
496.00000000	0.20221540
497.00000000	0.21252099
498.00000000	0.22211439
499.00000000	0.23093810
500.00000000	0.23395383
501.00000000	0.24539841
502.00000000	0.24899682
503.00000000	0.25569830
504.00000000	0.26543995
505.00000000	0.27207429
506.00000000	0.27697458
507.00000000	0.28257258
508.00000000	0.28904330
509.00000000	0.29829604
510.00000000	0.30161103
511.00000000	0.30917162
512.00000000	0.31893942
513.00000000	0.32032429
514.00000000	0.32729528
515.00000000	0.33459616
516.00000000	0.33931828
517.00000000	0.33964705
518.00000000	0.34443413
519.00000000	0.34705252
520.00000000	0.35102808
521.00000000	0.35305079
522.00000000	0.36138436
523.00000000	0.36275427
524.00000000	0.37110853
525.00000000	0.37357322
526.00000000	0.38239120
527.00000000	0.38196328
528.00000000	0.38837384
529.00000000	0.39508890
530.00000000	0.39012962
531.00000000	0.39408496
532.00000000	0.40020432
533.00000000	0.40226547
534.00000000	0.40518630
535.00000000	0.41263375
536.00000000	0.41212103
537.00000000	0.41626753
538.00000000	0.42271257
539.00000000	0.42211129
540.00000000	0.43366051
541.00000000	0.44135533
542.00000000	0.43938035
543.00000000	0.44950501
544.00000000	0.45177380
545.00000000	0.45598667
546.00000000	0.46020670
547.00000000	0.46732335
548.00000000	0.47576157
549.00000000	0.48037713
550.00000000	0.48714009
551.00000000	0.49930053
552.00000000	0.50880647
553.00000000	0.51257779
554.00000000	0.51646811
555.00000000	0.52498868
556.00000000	0.53884658
557.00000000	0.55116293
558.00000000	0.56626295
559.00000000	0.56703512
560.00000000	0.58532752
561.00000000	0.59205391
562.00000000	0.60274546
563.00000000	0.60912656
564.00000000	0.61872874
565.00000000	0.62433466
566.00000000	0.63806840
567.00000000	0.64950672
568.00000000	0.65996229
569.00000000	0.67762816
570.00000000	0.67860089
571.00000000	0.69326131
572.00000000	0.70341002
573.00000000	0.71704177
574.00000000	0.72309035
575.00000000	0.73161311
576.00000000	0.74216769
577.00000000	0.75673795
578.00000000	0.76687142
579.00000000	0.77720171
580.00000000	0.78847711
581.00000000	0.80490453
582.00000000	0.81742757
583.00000000	0.82684249
584.00000000	0.84854237
585.00000000	0.85958643
586.00000000	0.87641219
587.00000000	0.88253396
588.00000000	0.89115723
589.00000000	0.90101008
590.00000000	0.90753284
591.00000000	0.92234731
592.00000000	0.93147159
593.00000000	0.93249213
594.00000000	0.94779337
595.00000000	0.94813430
596.00000000	0.95238421
597.00000000	0.95848619
598.00000000	0.96569944
599.00000000	0.97349628
600.00000000	0.98024849
601.00000000	0.98990981
602.00000000	0.99280441
603.00000000	0.99199060
604.00000000	1.00000000
605.00000000	0.99207816
606.00000000	0.99611775
607.00000000	0.99044112
608.00000000	0.99037051
609.00000000	0.99063332
610.00000000	0.98366967
611.00000000	0.98318074
612.00000000	0.98526377
613.00000000	0.97097758
614.00000000	0.97784810
615.00000000	0.97414869
616.00000000	0.97054036
617.00000000	0.96815723
618.00000000	0.97634379
619.00000000	0.97066256
620.00000000	0.96350941
621.00000000	0.94564939
622.00000000	0.93178119
623.00000000	0.93197267
624.00000000	0.91843714
625.00000000	0.91333899
626.00000000	0.90465817
627.00000000	0.89593967
628.00000000	0.88012607
629.00000000	0.87244464
630.00000000	0.85682468
631.00000000	0.84675433
632.00000000	0.83528384
633.00000000	0.81712362
634.00000000	0.80769154
635.00000000	0.79138273
636.00000000	0.77611240
637.00000000	0.77422174
638.00000000	0.76276400
639.00000000	0.74320942
640.00000000	0.73538762
641.00000000	0.70869981
642.00000000	0.70489289
643.00000000	0.68694194
644.00000000	0.67981481
645.00000000	0.66243776
646.00000000	0.65427381
647.00000000	0.63482111
648.00000000	0.62451761
649.00000000	0.61934525
650.00000000	0.59518950
651.00000000	0.58142190
652.00000000	0.58079349
653.00000000	0.55865385
654.00000000	0.55671757
655.00000000	0.54014557
656.00000000	0.52362261
657.00000000	0.51042585
658.00000000	0.50676708
659.00000000	0.49151078
660.00000000	0.48067062
661.00000000	0.46150571
662.00000000	0.46037263
663.00000000	0.43872629
664.00000000	0.42935955
665.00000000	0.42423132
666.00000000	0.41442250
667.00000000	0.40122386
668.00000000	0.38716105
669.00000000	0.37930266
670.00000000	0.36972007
671.00000000	0.35987401
672.00000000	0.35059254
673.00000000	0.33940931
674.00000000	0.32803428
675.00000000	0.32555082
676.00000000	0.31553765
677.00000000	0.30282133
678.00000000	0.30069673
679.00000000	0.29064505
680.00000000	0.28147302
681.00000000	0.27177974
682.00000000	0.26488511
683.00000000	0.25477904
684.00000000	0.24603401
685.00000000	0.24463638
686.00000000	0.23352987
687.00000000	0.23614429
688.00000000	0.22219159
689.00000000	0.21905199
690.00000000	0.20473080
691.00000000	0.20336288
692.00000000	0.19396191
693.00000000	0.19223789
694.00000000	0.18978743
695.00000000	0.17992235
696.00000000	0.17762427
697.00000000	0.17174730
698.00000000	0.16770597
699.00000000	0.15617437
700.00000000	0.15309329
701.00000000	0.15598290
702.00000000	0.14650783
703.00000000	0.14545885
704.00000000	0.14070973
705.00000000	0.12737943
706.00000000	0.12487661
707.00000000	0.12581226
708.00000000	0.12264253
709.00000000	0.12073200
710.00000000	0.11522803
711.00000000	0.10821038
712.00000000	0.10528982
713.00000000	0.10021372
714.00000000	0.09763487
715.00000000	0.09629894
716.00000000	0.08717784
717.00000000	0.08934865
718.00000000	0.09119970
719.00000000	0.08307230
720.00000000	0.08409059
721.00000000	0.07845958
722.00000000	0.07419592
723.00000000	0.07325177
724.00000000	0.07053880
725.00000000	0.07051393
