#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/18
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.7352	0.6522	0.1799
#xyY coordinates: 0.4691	0.4161	0.6522
#sRGB: 255	102	19
#CCT Lindbloom (K):	2618
#CCT McCamy (K):	2613
#CCT Hernández-Andrés (K):	2510
#Melatonin: 0.263
#Chlorophyll a: 0.218
#Chlorophyll b: 0.509
#Beta Carotene: 0.218
#Manufacturer: Ryet Ikea
#Luminance manufacturer: 200lm
#Other data: Ryet LED. 2700K. 2.2W
#Begin Processed Spectral Data
W	S
475.00000000	0.18443629
476.00000000	0.17767351
477.00000000	0.17444348
478.00000000	0.17243293
479.00000000	0.17320054
480.00000000	0.17461955
481.00000000	0.17618302
482.00000000	0.17699310
483.00000000	0.17998440
484.00000000	0.18317931
485.00000000	0.18896625
486.00000000	0.19304685
487.00000000	0.19581236
488.00000000	0.20005288
489.00000000	0.20524617
490.00000000	0.20842667
491.00000000	0.21301828
492.00000000	0.21907972
493.00000000	0.22522879
494.00000000	0.23094464
495.00000000	0.23560552
496.00000000	0.24391044
497.00000000	0.25274133
498.00000000	0.25857001
499.00000000	0.26552453
500.00000000	0.27248109
501.00000000	0.27952778
502.00000000	0.28620187
503.00000000	0.29507292
504.00000000	0.29947651
505.00000000	0.30464784
506.00000000	0.31139283
507.00000000	0.31658284
508.00000000	0.32261978
509.00000000	0.32888007
510.00000000	0.33472818
511.00000000	0.34205485
512.00000000	0.34758351
513.00000000	0.35266923
514.00000000	0.35771148
515.00000000	0.36424176
516.00000000	0.36678960
517.00000000	0.36964266
518.00000000	0.37294388
519.00000000	0.37602681
520.00000000	0.38005758
521.00000000	0.38285088
522.00000000	0.38820168
523.00000000	0.39256011
524.00000000	0.39792180
525.00000000	0.40043816
526.00000000	0.40605179
527.00000000	0.40989295
528.00000000	0.41463880
529.00000000	0.41789898
530.00000000	0.42107379
531.00000000	0.42232485
532.00000000	0.42717711
533.00000000	0.42946018
534.00000000	0.43265218
535.00000000	0.43814549
536.00000000	0.44135358
537.00000000	0.44402895
538.00000000	0.44901498
539.00000000	0.45387284
540.00000000	0.45686768
541.00000000	0.46577804
542.00000000	0.46896709
543.00000000	0.47426180
544.00000000	0.47516479
545.00000000	0.48250229
546.00000000	0.48545355
547.00000000	0.49080209
548.00000000	0.49825144
549.00000000	0.50035977
550.00000000	0.50703362
551.00000000	0.51674978
552.00000000	0.52300024
553.00000000	0.52904170
554.00000000	0.53506833
555.00000000	0.54135099
556.00000000	0.55173411
557.00000000	0.56044234
558.00000000	0.57249861
559.00000000	0.57933580
560.00000000	0.58777037
561.00000000	0.59967222
562.00000000	0.60438364
563.00000000	0.61219697
564.00000000	0.61988666
565.00000000	0.63021289
566.00000000	0.64084593
567.00000000	0.65109338
568.00000000	0.65771667
569.00000000	0.66964966
570.00000000	0.67378298
571.00000000	0.68556867
572.00000000	0.69800346
573.00000000	0.70456034
574.00000000	0.71291027
575.00000000	0.72376416
576.00000000	0.73437888
577.00000000	0.74510533
578.00000000	0.75803979
579.00000000	0.76714750
580.00000000	0.77662151
581.00000000	0.79046025
582.00000000	0.80054468
583.00000000	0.81499382
584.00000000	0.82961658
585.00000000	0.84339583
586.00000000	0.85434480
587.00000000	0.86585288
588.00000000	0.87449602
589.00000000	0.88322782
590.00000000	0.89248646
591.00000000	0.90311715
592.00000000	0.91243695
593.00000000	0.92034480
594.00000000	0.92628248
595.00000000	0.93733434
596.00000000	0.94350081
597.00000000	0.94961422
598.00000000	0.95697081
599.00000000	0.96722459
600.00000000	0.97821945
601.00000000	0.98190166
602.00000000	0.98881610
603.00000000	0.99660258
604.00000000	1.00000000
605.00000000	0.99426734
606.00000000	0.99659790
607.00000000	0.99400223
608.00000000	0.99463821
609.00000000	0.99007073
610.00000000	0.99213017
611.00000000	0.99337105
612.00000000	0.98861987
613.00000000	0.98744874
614.00000000	0.99115395
615.00000000	0.99519291
616.00000000	0.99038699
617.00000000	0.99266120
618.00000000	0.99870750
619.00000000	0.99379017
620.00000000	0.98963304
621.00000000	0.97823692
622.00000000	0.96936601
623.00000000	0.96485870
624.00000000	0.95832170
625.00000000	0.95004042
626.00000000	0.94317998
627.00000000	0.93344273
628.00000000	0.92730985
629.00000000	0.91179679
630.00000000	0.89975715
631.00000000	0.88972537
632.00000000	0.87403672
633.00000000	0.86308789
634.00000000	0.85763640
635.00000000	0.84591064
636.00000000	0.83147851
637.00000000	0.81738937
638.00000000	0.80890612
639.00000000	0.79244958
640.00000000	0.77868903
641.00000000	0.77039338
642.00000000	0.75738543
643.00000000	0.74409570
644.00000000	0.73298573
645.00000000	0.71757042
646.00000000	0.70723861
647.00000000	0.69104152
648.00000000	0.68206058
649.00000000	0.67243766
650.00000000	0.65473060
651.00000000	0.64463888
652.00000000	0.63343534
653.00000000	0.61765365
654.00000000	0.60455384
655.00000000	0.59399464
