#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/30
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.7458	0.6657	0.2113
#xyY coordinates: 0.4596	0.4102	0.6657
#sRGB: 255	106	26
#CCT Lindbloom (K):	2701
#CCT McCamy (K):	2698
#CCT Hernández-Andrés (K):	2611
#Melatonin: 0.286
#Chlorophyll a: 0.203
#Chlorophyll b: 0.532
#Beta Carotene: 0.203
#Manufacturer: Attralux
#Luminance manufacturer: 470 lm
#Other data: Attralux warm white 5.5 watt 2700K.
#Begin Processed Spectral Data
W	S
475.00000000	0.21865572
476.00000000	0.21065978
477.00000000	0.20854263
478.00000000	0.19975674
479.00000000	0.19942696
480.00000000	0.19504980
481.00000000	0.19642499
482.00000000	0.19418243
483.00000000	0.19445809
484.00000000	0.19640552
485.00000000	0.19731106
486.00000000	0.19910286
487.00000000	0.20496462
488.00000000	0.20561588
489.00000000	0.20545555
490.00000000	0.21133333
491.00000000	0.21602284
492.00000000	0.22193209
493.00000000	0.22457171
494.00000000	0.22950290
495.00000000	0.23551304
496.00000000	0.24019238
497.00000000	0.25000430
498.00000000	0.25306345
499.00000000	0.26175756
500.00000000	0.26774769
501.00000000	0.27060307
502.00000000	0.27767847
503.00000000	0.29074546
504.00000000	0.28915596
505.00000000	0.30131895
506.00000000	0.30692367
507.00000000	0.30917625
508.00000000	0.31757696
509.00000000	0.32427353
510.00000000	0.32974351
511.00000000	0.33783167
512.00000000	0.34259969
513.00000000	0.35099143
514.00000000	0.35445802
515.00000000	0.36342516
516.00000000	0.36487242
517.00000000	0.36899326
518.00000000	0.37598089
519.00000000	0.37768229
520.00000000	0.38321744
521.00000000	0.38008139
522.00000000	0.39009789
523.00000000	0.39640431
524.00000000	0.40102307
525.00000000	0.40406036
526.00000000	0.40834994
527.00000000	0.41246655
528.00000000	0.41982887
529.00000000	0.42463015
530.00000000	0.42857044
531.00000000	0.42997948
532.00000000	0.43523525
533.00000000	0.43713126
534.00000000	0.44436522
535.00000000	0.44372707
536.00000000	0.45261095
537.00000000	0.45435631
538.00000000	0.45893305
539.00000000	0.46540382
540.00000000	0.47106848
541.00000000	0.48444962
542.00000000	0.48651297
543.00000000	0.49473794
544.00000000	0.49479832
545.00000000	0.50621951
546.00000000	0.50491418
547.00000000	0.51521450
548.00000000	0.52037862
549.00000000	0.52518086
550.00000000	0.52604434
551.00000000	0.53848195
552.00000000	0.54941525
553.00000000	0.55425937
554.00000000	0.55865048
555.00000000	0.56458482
556.00000000	0.57979056
557.00000000	0.58573088
558.00000000	0.60236490
559.00000000	0.60692608
560.00000000	0.61616821
561.00000000	0.62966875
562.00000000	0.63514544
563.00000000	0.64202677
564.00000000	0.65377838
565.00000000	0.66157223
566.00000000	0.67105232
567.00000000	0.67965459
568.00000000	0.68515939
569.00000000	0.70517511
570.00000000	0.70825352
571.00000000	0.71388748
572.00000000	0.73350373
573.00000000	0.73964555
574.00000000	0.75105927
575.00000000	0.75695983
576.00000000	0.76773453
577.00000000	0.78008789
578.00000000	0.79607565
579.00000000	0.80356482
580.00000000	0.80613183
581.00000000	0.82197894
582.00000000	0.83434908
583.00000000	0.84629799
584.00000000	0.85973460
585.00000000	0.87579494
586.00000000	0.88404567
587.00000000	0.89136074
588.00000000	0.90505869
589.00000000	0.91059053
590.00000000	0.92197884
591.00000000	0.92851874
592.00000000	0.93690397
593.00000000	0.94167094
594.00000000	0.94744029
595.00000000	0.96016360
596.00000000	0.96025193
597.00000000	0.96435939
598.00000000	0.96616768
599.00000000	0.98207013
600.00000000	0.98510843
601.00000000	0.97918302
602.00000000	0.99677741
603.00000000	1.00000000
604.00000000	0.99755918
605.00000000	0.99025218
606.00000000	0.99776570
607.00000000	0.99471339
608.00000000	0.97947398
609.00000000	0.98179466
610.00000000	0.99080177
611.00000000	0.99048016
612.00000000	0.97823639
613.00000000	0.97591175
614.00000000	0.97314548
615.00000000	0.97899772
616.00000000	0.97501928
617.00000000	0.97334439
618.00000000	0.97914809
619.00000000	0.97128537
620.00000000	0.96847470
621.00000000	0.95772757
622.00000000	0.95162197
623.00000000	0.93828322
624.00000000	0.92363482
625.00000000	0.92161728
626.00000000	0.91470034
627.00000000	0.90979450
628.00000000	0.89212213
629.00000000	0.87508908
630.00000000	0.87072404
631.00000000	0.85526883
632.00000000	0.84369511
633.00000000	0.83744061
634.00000000	0.83290899
635.00000000	0.81378542
636.00000000	0.80097500
637.00000000	0.78397637
638.00000000	0.78135559
639.00000000	0.76447968
640.00000000	0.75101091
641.00000000	0.73673203
642.00000000	0.73144759
643.00000000	0.71525649
644.00000000	0.69960765
645.00000000	0.69172448
646.00000000	0.68083414
647.00000000	0.66328584
648.00000000	0.65603324
649.00000000	0.64424855
650.00000000	0.63419628
651.00000000	0.62055773
652.00000000	0.61043178
653.00000000	0.59177696
654.00000000	0.58184690
655.00000000	0.56327689
656.00000000	0.55267941
657.00000000	0.54484027
658.00000000	0.52874031
659.00000000	0.52253090
660.00000000	0.50678774
661.00000000	0.49675664
662.00000000	0.48991804
663.00000000	0.47673487
664.00000000	0.45828950
665.00000000	0.44652188
666.00000000	0.43992383
667.00000000	0.42396134
668.00000000	0.41732621
669.00000000	0.40487894
670.00000000	0.39563588
671.00000000	0.38399456
672.00000000	0.37412952
673.00000000	0.36856612
674.00000000	0.35416861
675.00000000	0.34646828
676.00000000	0.33510553
677.00000000	0.33021236
678.00000000	0.31884621
679.00000000	0.30990155
680.00000000	0.30403403
681.00000000	0.29001369
682.00000000	0.28427901
683.00000000	0.27873713
684.00000000	0.26737639
685.00000000	0.26571810
686.00000000	0.26396909
687.00000000	0.25534835
688.00000000	0.24516831
689.00000000	0.24045185
690.00000000	0.22789783
691.00000000	0.22435727
692.00000000	0.22528206
693.00000000	0.21379448
694.00000000	0.21159140
695.00000000	0.20466249
696.00000000	0.19838031
697.00000000	0.19084984
698.00000000	0.18607772
699.00000000	0.17687189
700.00000000	0.17929595
701.00000000	0.17259932
702.00000000	0.16714820
703.00000000	0.16024172
704.00000000	0.16142412
705.00000000	0.14809959
706.00000000	0.14759161
707.00000000	0.14159259
708.00000000	0.13664081
709.00000000	0.13454309
710.00000000	0.13556150
711.00000000	0.13190278
712.00000000	0.12483003
713.00000000	0.11830410
714.00000000	0.11616670
715.00000000	0.11068424
716.00000000	0.10659975
717.00000000	0.10811350
718.00000000	0.10838865
719.00000000	0.10276546
720.00000000	0.09828119
721.00000000	0.09392694
722.00000000	0.09494440
723.00000000	0.08246814
724.00000000	0.08509526
725.00000000	0.08408687
