#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/17
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.7627	0.6831	0.2431
#xyY coordinates: 0.4516	0.4045	0.6831
#sRGB: 255	108	31
#CCT Lindbloom (K):	2771
#CCT McCamy (K):	2770
#CCT Hernández-Andrés (K):	2696
#Melatonin: 0.306
#Chlorophyll a: 0.208
#Chlorophyll b: 0.574
#Beta Carotene: 0.209
#Manufacturer: Philips
#Luminance manufacturer: 470lm
#Other data: Manufacturer 2700K. 5.5W
#Begin Processed Spectral Data
W	S
475.00000000	0.14200701
476.00000000	0.13554542
477.00000000	0.13354275
478.00000000	0.13038526
479.00000000	0.13025492
480.00000000	0.12992319
481.00000000	0.13137862
482.00000000	0.13037869
483.00000000	0.13509352
484.00000000	0.13476320
485.00000000	0.14059311
486.00000000	0.14402101
487.00000000	0.14781462
488.00000000	0.15368804
489.00000000	0.15579207
490.00000000	0.16233255
491.00000000	0.16678036
492.00000000	0.17792710
493.00000000	0.18461348
494.00000000	0.19501185
495.00000000	0.20375123
496.00000000	0.20945917
497.00000000	0.22149071
498.00000000	0.22840193
499.00000000	0.23512010
500.00000000	0.24588852
501.00000000	0.26064615
502.00000000	0.27133905
503.00000000	0.28118667
504.00000000	0.28738461
505.00000000	0.29622956
506.00000000	0.30508772
507.00000000	0.31595931
508.00000000	0.32515910
509.00000000	0.33185799
510.00000000	0.34131979
511.00000000	0.35557550
512.00000000	0.36406611
513.00000000	0.36521707
514.00000000	0.37764949
515.00000000	0.38682004
516.00000000	0.39501906
517.00000000	0.39984834
518.00000000	0.40389524
519.00000000	0.40792009
520.00000000	0.41667042
521.00000000	0.41904089
522.00000000	0.42440911
523.00000000	0.43110517
524.00000000	0.43965748
525.00000000	0.43596220
526.00000000	0.44937179
527.00000000	0.45307655
528.00000000	0.45565651
529.00000000	0.46625347
530.00000000	0.46664025
531.00000000	0.46994094
532.00000000	0.47765511
533.00000000	0.47915952
534.00000000	0.47905173
535.00000000	0.48591554
536.00000000	0.49065933
537.00000000	0.49276773
538.00000000	0.50854418
539.00000000	0.50735901
540.00000000	0.51061498
541.00000000	0.51494137
542.00000000	0.52141744
543.00000000	0.52606819
544.00000000	0.52939360
545.00000000	0.53596312
546.00000000	0.54302611
547.00000000	0.54835291
548.00000000	0.55579754
549.00000000	0.56023476
550.00000000	0.56244263
551.00000000	0.57232822
552.00000000	0.58455654
553.00000000	0.59165773
554.00000000	0.59566223
555.00000000	0.59922366
556.00000000	0.61244290
557.00000000	0.62594157
558.00000000	0.63771439
559.00000000	0.64389629
560.00000000	0.65402565
561.00000000	0.66168946
562.00000000	0.66316295
563.00000000	0.66882391
564.00000000	0.67645580
565.00000000	0.68246374
566.00000000	0.70016007
567.00000000	0.70286099
568.00000000	0.70817864
569.00000000	0.71785129
570.00000000	0.72687300
