#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/26
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.8008	0.7186	0.2605
#xyY coordinates: 0.4499	0.4037	0.7186
#sRGB: 255	109	33
#CCT Lindbloom (K):	2790
#CCT McCamy (K):	2790
#CCT Hernández-Andrés (K):	2719
#Melatonin: 0.307
#Chlorophyll a: 0.328
#Chlorophyll b: 0.599
#Beta Carotene: 0.328
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: Riba-Roja de Turia streetlamps. Plaça de la Torre.
#Begin Processed Spectral Data
W	S
475.00000000	0.21103113
476.00000000	0.19760676
477.00000000	0.19138800
478.00000000	0.17992940
479.00000000	0.17645245
480.00000000	0.17237185
481.00000000	0.16906711
482.00000000	0.16568198
483.00000000	0.16648457
484.00000000	0.16756067
485.00000000	0.16722601
486.00000000	0.17212885
487.00000000	0.17330550
488.00000000	0.17468425
489.00000000	0.17877649
490.00000000	0.18379809
491.00000000	0.18771198
492.00000000	0.19248874
493.00000000	0.19868477
494.00000000	0.20469127
495.00000000	0.21132017
496.00000000	0.21608699
497.00000000	0.22722947
498.00000000	0.23580761
499.00000000	0.24287995
500.00000000	0.25241419
501.00000000	0.26088264
502.00000000	0.27409251
503.00000000	0.28360737
504.00000000	0.29008421
505.00000000	0.29896031
506.00000000	0.30851669
507.00000000	0.31784477
508.00000000	0.32817864
509.00000000	0.33882637
510.00000000	0.34707783
511.00000000	0.35821649
512.00000000	0.36521151
513.00000000	0.37366052
514.00000000	0.38259595
515.00000000	0.39051879
516.00000000	0.39684166
517.00000000	0.40481263
518.00000000	0.41146139
519.00000000	0.41575191
520.00000000	0.42371102
521.00000000	0.42877634
522.00000000	0.43514565
523.00000000	0.44292993
524.00000000	0.45342132
525.00000000	0.45604135
526.00000000	0.46022205
527.00000000	0.46885409
528.00000000	0.47606892
529.00000000	0.48033344
530.00000000	0.48797323
531.00000000	0.49218989
532.00000000	0.49727214
533.00000000	0.50270735
534.00000000	0.50645911
