#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/17
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.7618	0.6875	0.2381
#xyY coordinates: 0.4515	0.4074	0.6875
#sRGB: 255	111	30
#CCT Lindbloom (K):	2796
#CCT McCamy (K):	2796
#CCT Hernández-Andrés (K):	2723
#Melatonin: 0.305
#Chlorophyll a: 0.239
#Chlorophyll b: 0.554
#Beta Carotene: 0.239
#Manufacturer: LAES
#Luminance manufacturer: 470lm
#Other data: Manufacturer 2700K
#Begin Processed Spectral Data
W	S
475.00000000	0.22587423
476.00000000	0.21614887
477.00000000	0.21302748
478.00000000	0.20689224
479.00000000	0.20308193
480.00000000	0.19666776
481.00000000	0.19670098
482.00000000	0.19471026
483.00000000	0.20148484
484.00000000	0.20040018
485.00000000	0.20180314
486.00000000	0.20598504
487.00000000	0.20588707
488.00000000	0.20829565
489.00000000	0.21388096
490.00000000	0.21382625
491.00000000	0.22097565
492.00000000	0.22106067
493.00000000	0.22682308
494.00000000	0.23426145
495.00000000	0.24135251
496.00000000	0.24718192
497.00000000	0.25222093
498.00000000	0.25888011
499.00000000	0.26302000
500.00000000	0.27069972
501.00000000	0.28205417
502.00000000	0.28970570
503.00000000	0.29445847
504.00000000	0.30854582
505.00000000	0.31164875
506.00000000	0.31427346
507.00000000	0.32519501
508.00000000	0.33630413
509.00000000	0.34315483
510.00000000	0.34641929
511.00000000	0.35979119
512.00000000	0.36329593
513.00000000	0.36656083
514.00000000	0.37797756
515.00000000	0.38144295
516.00000000	0.39387396
517.00000000	0.39485323
518.00000000	0.40019173
519.00000000	0.40430852
520.00000000	0.41048023
521.00000000	0.41196773
522.00000000	0.41730932
523.00000000	0.42558619
524.00000000	0.43116270
525.00000000	0.43595579
526.00000000	0.43830161
527.00000000	0.44721772
528.00000000	0.45225014
529.00000000	0.46108343
530.00000000	0.46332163
531.00000000	0.46782157
532.00000000	0.46810599
533.00000000	0.47123121
534.00000000	0.47583339
535.00000000	0.47905847
536.00000000	0.48542803
537.00000000	0.49086352
538.00000000	0.49355101
539.00000000	0.49859168
540.00000000	0.50530261
541.00000000	0.51704685
542.00000000	0.51996510
543.00000000	0.52720819
544.00000000	0.52709905
545.00000000	0.53256308
546.00000000	0.53677020
547.00000000	0.54701949
548.00000000	0.55221822
549.00000000	0.55721462
550.00000000	0.56507194
551.00000000	0.57367358
552.00000000	0.57840585
553.00000000	0.59077000
554.00000000	0.60102222
555.00000000	0.60443510
556.00000000	0.61842104
557.00000000	0.62170530
558.00000000	0.63373905
559.00000000	0.64520603
560.00000000	0.65123245
561.00000000	0.66525136
562.00000000	0.66624396
563.00000000	0.67505378
564.00000000	0.68105080
565.00000000	0.69102288
566.00000000	0.70135818
567.00000000	0.71229576
568.00000000	0.71981604
569.00000000	0.72603237
570.00000000	0.73462215
571.00000000	0.74720161
572.00000000	0.75613158
573.00000000	0.76115579
574.00000000	0.77553442
575.00000000	0.78838519
576.00000000	0.79705611
577.00000000	0.80024535
578.00000000	0.80644712
579.00000000	0.81563450
580.00000000	0.82782390
581.00000000	0.84102304
582.00000000	0.84871194
583.00000000	0.86681877
584.00000000	0.87551682
585.00000000	0.88584941
586.00000000	0.89317544
587.00000000	0.90192508
588.00000000	0.91528088
589.00000000	0.91457723
590.00000000	0.91990292
591.00000000	0.93104218
592.00000000	0.94064746
593.00000000	0.95072168
594.00000000	0.95034743
595.00000000	0.95582850
596.00000000	0.96106945
597.00000000	0.96232203
598.00000000	0.97210306
