#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/17
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.7443	0.6797	0.2128
#xyY coordinates: 0.4547	0.4153	0.6797
#sRGB: 255	114	26
#CCT Lindbloom (K):	2810
#CCT McCamy (K):	2811
#CCT Hernández-Andrés (K):	2733
#Melatonin: 0.289
#Chlorophyll a: 0.161
#Chlorophyll b: 0.499
#Beta Carotene: 0.162
#Manufacturer: VEL Light
#Luminance manufacturer: 
#Other data: 2700K
#Begin Processed Spectral Data
W	S
475.00000000	0.28257085
476.00000000	0.27703407
477.00000000	0.27155103
478.00000000	0.26305875
479.00000000	0.25910870
480.00000000	0.25069199
481.00000000	0.24659353
482.00000000	0.24252089
483.00000000	0.24051038
484.00000000	0.23947072
485.00000000	0.24045870
486.00000000	0.24019436
487.00000000	0.23913461
488.00000000	0.24025507
489.00000000	0.24047582
490.00000000	0.24472920
491.00000000	0.24813931
492.00000000	0.24877345
493.00000000	0.25378689
494.00000000	0.25593652
495.00000000	0.26300019
496.00000000	0.26915226
497.00000000	0.27448666
498.00000000	0.27410562
499.00000000	0.28133883
500.00000000	0.28610392
501.00000000	0.29246921
502.00000000	0.29764075
503.00000000	0.30601683
504.00000000	0.31386411
505.00000000	0.31736162
506.00000000	0.32185015
507.00000000	0.33280523
508.00000000	0.33537650
509.00000000	0.34404933
510.00000000	0.34754632
511.00000000	0.35883553
512.00000000	0.36116237
513.00000000	0.36434815
514.00000000	0.37755295
515.00000000	0.38220567
516.00000000	0.38737550
517.00000000	0.38954968
518.00000000	0.39431398
519.00000000	0.39702651
520.00000000	0.40149150
521.00000000	0.40354137
522.00000000	0.40903494
523.00000000	0.41633163
524.00000000	0.42106889
525.00000000	0.42423019
526.00000000	0.43108848
527.00000000	0.43474796
528.00000000	0.44063389
529.00000000	0.44759945
530.00000000	0.44910473
531.00000000	0.45212968
532.00000000	0.45439622
533.00000000	0.45752969
534.00000000	0.46112937
535.00000000	0.46460439
536.00000000	0.47057839
537.00000000	0.47503525
538.00000000	0.47816440
539.00000000	0.48586271
540.00000000	0.48949979
541.00000000	0.49624225
542.00000000	0.50212000
543.00000000	0.50421657
544.00000000	0.51318206
545.00000000	0.52081240
546.00000000	0.52208812
547.00000000	0.52859647
548.00000000	0.53666279
549.00000000	0.53982995
550.00000000	0.55006899
551.00000000	0.55321842
552.00000000	0.56281410
553.00000000	0.57083148
554.00000000	0.58120617
555.00000000	0.58900050
556.00000000	0.59959317
557.00000000	0.61084881
558.00000000	0.62136359
559.00000000	0.62949297
560.00000000	0.64137258
561.00000000	0.64659625
562.00000000	0.65660097
563.00000000	0.66174651
564.00000000	0.66978540
565.00000000	0.68204731
566.00000000	0.68904701
567.00000000	0.70214004
568.00000000	0.71237794
569.00000000	0.72408935
570.00000000	0.73348816
571.00000000	0.74279893
572.00000000	0.74850446
573.00000000	0.76555302
574.00000000	0.77561944
575.00000000	0.78644180
576.00000000	0.79310123
577.00000000	0.80434037
578.00000000	0.81464670
579.00000000	0.82514757
580.00000000	0.83933178
581.00000000	0.84543410
582.00000000	0.85432956
583.00000000	0.86897581
584.00000000	0.88307097
585.00000000	0.89884029
586.00000000	0.90466571
587.00000000	0.91336650
588.00000000	0.91907209
589.00000000	0.92745714
590.00000000	0.93458870
591.00000000	0.94135357
592.00000000	0.94507347
593.00000000	0.95308634
594.00000000	0.95983478
595.00000000	0.96626245
596.00000000	0.97148315
597.00000000	0.97688025
598.00000000	0.98352823
599.00000000	0.98168885
600.00000000	0.98849408
601.00000000	0.99259839
602.00000000	0.99894495
603.00000000	0.99978104
604.00000000	1.00000000
605.00000000	0.99247878
606.00000000	0.99235016
607.00000000	0.98687217
608.00000000	0.98460625
609.00000000	0.97825892
610.00000000	0.97725766
611.00000000	0.97264208
612.00000000	0.96096096
613.00000000	0.96448831
614.00000000	0.96319290
615.00000000	0.96423880
616.00000000	0.96220764
617.00000000	0.95545194
618.00000000	0.95985366
619.00000000	0.95508138
620.00000000	0.94674962
621.00000000	0.93102053
622.00000000	0.91719009
623.00000000	0.91148508
624.00000000	0.90243419
625.00000000	0.89357352
626.00000000	0.87857004
627.00000000	0.87187541
628.00000000	0.86502640
629.00000000	0.84869386
630.00000000	0.83671060
631.00000000	0.81984647
632.00000000	0.80464124
633.00000000	0.79814823
634.00000000	0.79155741
635.00000000	0.77531584
636.00000000	0.76575269
637.00000000	0.75092203
638.00000000	0.73503612
639.00000000	0.72210987
640.00000000	0.70614731
641.00000000	0.69924096
642.00000000	0.68301330
643.00000000	0.66703438
644.00000000	0.65714172
645.00000000	0.64764982
646.00000000	0.63259017
647.00000000	0.62111406
648.00000000	0.61143740
649.00000000	0.59961100
650.00000000	0.58203568
651.00000000	0.57020597
652.00000000	0.55882831
653.00000000	0.54263053
654.00000000	0.52808924
655.00000000	0.51289116
656.00000000	0.50798765
657.00000000	0.49209768
658.00000000	0.47685473
659.00000000	0.47074186
660.00000000	0.45430457
661.00000000	0.44514913
662.00000000	0.44020755
663.00000000	0.42168304
664.00000000	0.41200399
665.00000000	0.40606433
666.00000000	0.39050951
667.00000000	0.38427385
668.00000000	0.37093842
669.00000000	0.36310920
670.00000000	0.35752664
671.00000000	0.34648113
672.00000000	0.33381702
673.00000000	0.33045143
674.00000000	0.31445534
675.00000000	0.30460156
676.00000000	0.29775516
677.00000000	0.29412400
678.00000000	0.28046553
679.00000000	0.27731726
680.00000000	0.26659985
681.00000000	0.25911628
682.00000000	0.25345022
683.00000000	0.24477082
684.00000000	0.24007885
685.00000000	0.22990997
686.00000000	0.22429585
687.00000000	0.21575024
688.00000000	0.21092748
689.00000000	0.20331839
690.00000000	0.20060881
691.00000000	0.18561271
692.00000000	0.19234149
693.00000000	0.17922769
694.00000000	0.17688812
695.00000000	0.17141403
696.00000000	0.16603503
697.00000000	0.16278270
698.00000000	0.15282403
699.00000000	0.15062545
700.00000000	0.14511862
701.00000000	0.14585381
702.00000000	0.13887955
703.00000000	0.13332365
704.00000000	0.13378105
705.00000000	0.12514838
706.00000000	0.12031165
707.00000000	0.12454229
708.00000000	0.11592651
709.00000000	0.10624926
710.00000000	0.10612058
711.00000000	0.10498256
712.00000000	0.10161001
713.00000000	0.09789134
714.00000000	0.09161015
715.00000000	0.09094203
716.00000000	0.08860640
717.00000000	0.08503332
718.00000000	0.08307408
719.00000000	0.08337693
720.00000000	0.07793993
721.00000000	0.08256961
722.00000000	0.07464439
723.00000000	0.07141549
724.00000000	0.07071100
725.00000000	0.06727567
