#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.7904	0.7027	0.3563
#xyY coordinates: 0.4274	0.3799	0.7027
#sRGB: 255	111	54
#CCT Lindbloom (K):	2961
#CCT McCamy (K):	2966
#CCT Hernández-Andrés (K):	2934
#Melatonin: 0.379
#Chlorophyll a: 0.220
#Chlorophyll b: 0.691
#Beta Carotene: 0.221
#Manufacturer: Philips
#Luminance manufacturer: Unknown
#Other data: Madrid streetlamp at Travesía Andrés Mellado
#Begin Processed Spectral Data
W	S
475.00000000	0.12766443
476.00000000	0.12431486
477.00000000	0.12305780
478.00000000	0.11706613
479.00000000	0.11054018
480.00000000	0.10672863
481.00000000	0.10560190
482.00000000	0.10298454
483.00000000	0.10547687
484.00000000	0.10730710
485.00000000	0.10380835
486.00000000	0.11071528
487.00000000	0.10840305
488.00000000	0.10916280
489.00000000	0.11160638
490.00000000	0.11516271
491.00000000	0.12008302
492.00000000	0.12502660
493.00000000	0.13065997
494.00000000	0.13526705
495.00000000	0.14425617
496.00000000	0.14981959
497.00000000	0.15462695
498.00000000	0.16529299
499.00000000	0.17448122
500.00000000	0.18179505
501.00000000	0.19330743
502.00000000	0.20425785
503.00000000	0.21327539
504.00000000	0.22093913
505.00000000	0.23306222
506.00000000	0.24118100
507.00000000	0.25467426
508.00000000	0.26399062
509.00000000	0.27813244
510.00000000	0.28919728
511.00000000	0.29515625
512.00000000	0.30736535
513.00000000	0.31774497
514.00000000	0.32840792
515.00000000	0.33909988
516.00000000	0.35263718
517.00000000	0.36036659
518.00000000	0.37278260
519.00000000	0.37701502
520.00000000	0.38634802
521.00000000	0.39362223
522.00000000	0.40696145
523.00000000	0.41632728
524.00000000	0.42710495
525.00000000	0.43296320
526.00000000	0.44202036
527.00000000	0.45032676
528.00000000	0.45934755
529.00000000	0.46904723
530.00000000	0.47527291
531.00000000	0.47932347
532.00000000	0.49056208
533.00000000	0.49677907
534.00000000	0.50012937
535.00000000	0.50648995
536.00000000	0.51374796
537.00000000	0.52369137
538.00000000	0.52807563
539.00000000	0.54253510
540.00000000	0.54393619
541.00000000	0.55301559
542.00000000	0.56193653
543.00000000	0.56882093
544.00000000	0.57770579
545.00000000	0.58356153
546.00000000	0.59457145
547.00000000	0.59431903
548.00000000	0.60898571
549.00000000	0.61630115
550.00000000	0.62526583
551.00000000	0.62831292
552.00000000	0.62892628
553.00000000	0.65147611
554.00000000	0.66155310
555.00000000	0.67098255
556.00000000	0.67873154
557.00000000	0.68152342
558.00000000	0.70171581
559.00000000	0.70416529
560.00000000	0.71400385
561.00000000	0.72956296
562.00000000	0.73125725
563.00000000	0.74354426
564.00000000	0.75966047
565.00000000	0.76596199
566.00000000	0.77921668
567.00000000	0.79126600
568.00000000	0.79415934
569.00000000	0.80516571
570.00000000	0.81283077
571.00000000	0.81998835
572.00000000	0.82504031
573.00000000	0.83486355
574.00000000	0.84180730
575.00000000	0.85156000
576.00000000	0.86548652
577.00000000	0.86752851
578.00000000	0.87934146
579.00000000	0.88184602
580.00000000	0.88875736
581.00000000	0.90205682
582.00000000	0.90846599
583.00000000	0.91338468
584.00000000	0.91480816
585.00000000	0.93790567
586.00000000	0.94689715
587.00000000	0.95583385
588.00000000	0.95179066
589.00000000	0.95566950
590.00000000	0.96217145
591.00000000	0.96705421
592.00000000	0.97544587
593.00000000	0.97706021
594.00000000	0.97567546
595.00000000	0.97694652
596.00000000	0.97970142
597.00000000	0.98414223
598.00000000	0.99134591
599.00000000	0.98960124
600.00000000	0.99509471
601.00000000	0.99356285
602.00000000	0.99237927
603.00000000	1.00000000
604.00000000	0.99273713
605.00000000	0.98107615
606.00000000	0.97647202
607.00000000	0.97058550
608.00000000	0.96847061
609.00000000	0.96425998
610.00000000	0.95343150
611.00000000	0.95130321
612.00000000	0.94041715
613.00000000	0.93329624
614.00000000	0.93067711
615.00000000	0.93832096
616.00000000	0.92932197
617.00000000	0.92650830
618.00000000	0.92903907
619.00000000	0.90926005
620.00000000	0.90624802
621.00000000	0.89415953
622.00000000	0.88274537
623.00000000	0.87927755
624.00000000	0.86301333
625.00000000	0.86344172
626.00000000	0.83891131
627.00000000	0.83599426
628.00000000	0.82835748
629.00000000	0.81563324
630.00000000	0.79417392
631.00000000	0.78665333
632.00000000	0.77089983
633.00000000	0.75820549
634.00000000	0.75021129
635.00000000	0.74021162
636.00000000	0.72503438
