#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.7872	0.7154	0.3145
#xyY coordinates: 0.4332	0.3936	0.7154
#sRGB: 255	117	45
#CCT Lindbloom (K):	2977
#CCT McCamy (K):	2982
#CCT Hernández-Andrés (K):	2938
#Melatonin: 0.340
#Chlorophyll a: 0.174
#Chlorophyll b: 0.618
#Beta Carotene: 0.175
#Manufacturer: Philips
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.00000000	0.09822388
476.00000000	0.09999765
477.00000000	0.09174390
478.00000000	0.08970740
479.00000000	0.08583006
480.00000000	0.08624452
481.00000000	0.08451202
482.00000000	0.08837389
483.00000000	0.08522579
484.00000000	0.08817840
485.00000000	0.08850973
486.00000000	0.09022997
487.00000000	0.09142282
488.00000000	0.09670072
489.00000000	0.09666770
490.00000000	0.10165355
491.00000000	0.10653948
492.00000000	0.11307394
493.00000000	0.11679251
494.00000000	0.12223367
495.00000000	0.13174951
496.00000000	0.13990791
497.00000000	0.14838839
498.00000000	0.15728820
499.00000000	0.16832518
500.00000000	0.17914626
501.00000000	0.18786297
502.00000000	0.19497970
503.00000000	0.20970762
504.00000000	0.21655027
505.00000000	0.23288989
506.00000000	0.23879336
507.00000000	0.25262455
508.00000000	0.26002514
509.00000000	0.27463726
510.00000000	0.28710357
511.00000000	0.30064323
512.00000000	0.31087631
513.00000000	0.31899589
514.00000000	0.33206559
515.00000000	0.34689776
516.00000000	0.35542134
517.00000000	0.36400786
518.00000000	0.37236618
519.00000000	0.38666051
520.00000000	0.39176047
521.00000000	0.40262781
522.00000000	0.41179617
523.00000000	0.42282563
524.00000000	0.43603468
525.00000000	0.44646685
526.00000000	0.44964839
527.00000000	0.46650199
528.00000000	0.47121569
529.00000000	0.48085486
530.00000000	0.48879795
531.00000000	0.49459166
532.00000000	0.50184040
533.00000000	0.50583854
534.00000000	0.51160645
535.00000000	0.52501269
536.00000000	0.53210876
537.00000000	0.54242111
538.00000000	0.54713192
539.00000000	0.55928669
540.00000000	0.56162659
541.00000000	0.57603343
542.00000000	0.58035064
543.00000000	0.59501591
544.00000000	0.59585778
545.00000000	0.60566742
546.00000000	0.61515468
547.00000000	0.62246702
548.00000000	0.63166172
549.00000000	0.63885230
550.00000000	0.64623490
551.00000000	0.65558749
552.00000000	0.66564755
553.00000000	0.68274389
554.00000000	0.69378285
555.00000000	0.69725759
556.00000000	0.71160853
557.00000000	0.72550021
558.00000000	0.74349525
559.00000000	0.74077359
560.00000000	0.75948996
561.00000000	0.76564447
562.00000000	0.77506639
563.00000000	0.78683799
564.00000000	0.79432149
565.00000000	0.80547903
566.00000000	0.81702409
567.00000000	0.82902403
568.00000000	0.83704317
