#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/18
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.7749	0.7175	0.2745
#xyY coordinates: 0.4386	0.4061	0.7175
#sRGB: 255	122	37
#CCT Lindbloom (K):	2989
#CCT McCamy (K):	2993
#CCT Hernández-Andrés (K):	2940
#Melatonin: 0.330
#Chlorophyll a: 0.175
#Chlorophyll b: 0.577
#Beta Carotene: 0.175
#Manufacturer: Lexman
#Luminance manufacturer: 470lm
#Other data: 3000K. 5W
#Begin Processed Spectral Data
W	S
475.00000000	0.23259770
476.00000000	0.22705344
477.00000000	0.21850451
478.00000000	0.21005926
479.00000000	0.20838345
480.00000000	0.20697659
481.00000000	0.20880115
482.00000000	0.20716206
483.00000000	0.21045997
484.00000000	0.21316675
485.00000000	0.21461806
486.00000000	0.22170097
487.00000000	0.22843468
488.00000000	0.23133401
489.00000000	0.23776935
490.00000000	0.24196935
491.00000000	0.24519413
492.00000000	0.25049528
493.00000000	0.25828767
494.00000000	0.26848814
495.00000000	0.27288347
496.00000000	0.27917849
497.00000000	0.29180938
498.00000000	0.29965171
499.00000000	0.31007877
500.00000000	0.31697711
501.00000000	0.32890026
502.00000000	0.33849885
503.00000000	0.34834619
504.00000000	0.35435904
505.00000000	0.36431711
506.00000000	0.37040688
507.00000000	0.38021157
508.00000000	0.38857832
509.00000000	0.39954097
510.00000000	0.40591212
511.00000000	0.41388053
512.00000000	0.42907067
513.00000000	0.43196197
514.00000000	0.43565952
515.00000000	0.44374927
516.00000000	0.44826388
517.00000000	0.45065215
518.00000000	0.45985715
519.00000000	0.46041265
