#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/25
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.7916	0.7128	0.3599
#xyY coordinates: 0.4246	0.3824	0.7128
#sRGB: 255	116	55
#CCT Lindbloom (K):	3033
#CCT McCamy (K):	3041
#CCT Hernández-Andrés (K):	3013
#Melatonin: 0.382
#Chlorophyll a: 0.163
#Chlorophyll b: 0.653
#Beta Carotene: 0.164
#Manufacturer: Philips
#Luminance manufacturer: Unknown
#Other data: LED street lamps in Plaza 3 de Abril, Almería.
#Begin Processed Spectral Data
W	S
475.00000000	0.09307299
476.00000000	0.08650337
477.00000000	0.08469332
478.00000000	0.08655576
479.00000000	0.08253244
480.00000000	0.08204667
481.00000000	0.08154707
482.00000000	0.07970858
483.00000000	0.08055580
484.00000000	0.08336701
485.00000000	0.08720107
486.00000000	0.08791561
487.00000000	0.09248840
488.00000000	0.09414975
489.00000000	0.09872273
490.00000000	0.10585943
491.00000000	0.11323706
492.00000000	0.11978928
493.00000000	0.12645964
494.00000000	0.13318021
495.00000000	0.14220375
496.00000000	0.15030793
497.00000000	0.16334510
498.00000000	0.17386830
499.00000000	0.18337486
500.00000000	0.19283167
501.00000000	0.20319373
502.00000000	0.21792646
503.00000000	0.23190392
504.00000000	0.23885954
505.00000000	0.25029687
506.00000000	0.26279972
507.00000000	0.27867200
508.00000000	0.28823260
509.00000000	0.29680623
510.00000000	0.31063502
511.00000000	0.32315858
512.00000000	0.33535935
513.00000000	0.34702989
514.00000000	0.35436757
515.00000000	0.36737993
516.00000000	0.37672982
517.00000000	0.38549340
518.00000000	0.39231241
519.00000000	0.40542765
520.00000000	0.41533470
521.00000000	0.42236595
522.00000000	0.42982260
523.00000000	0.43624222
524.00000000	0.45454824
525.00000000	0.45852324
526.00000000	0.46356235
527.00000000	0.47517337
528.00000000	0.48391338
529.00000000	0.48741778
530.00000000	0.49314725
531.00000000	0.49996385
532.00000000	0.51020052
533.00000000	0.51033214
534.00000000	0.52122523
535.00000000	0.52810543
536.00000000	0.53093639
537.00000000	0.53861539
538.00000000	0.54819390
539.00000000	0.55567584
540.00000000	0.56473166
541.00000000	0.57069801
542.00000000	0.57562463
