#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.8057	0.7208	0.4124
#xyY coordinates: 0.4155	0.3718	0.7208
#sRGB: 255	116	66
#CCT Lindbloom (K):	3114
#CCT McCamy (K):	3126
#CCT Hernández-Andrés (K):	3114
#Melatonin: 0.416
#Chlorophyll a: 0.175
#Chlorophyll b: 0.733
#Beta Carotene: 0.175
#Manufacturer: Philips
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.00000000	0.12237468
476.00000000	0.11490366
477.00000000	0.11497524
478.00000000	0.10547903
479.00000000	0.10399725
480.00000000	0.10272373
481.00000000	0.10458085
482.00000000	0.09997957
483.00000000	0.10298411
484.00000000	0.10008911
485.00000000	0.10223988
486.00000000	0.10325979
487.00000000	0.10243106
488.00000000	0.10566321
489.00000000	0.10792406
490.00000000	0.10909125
491.00000000	0.11381903
492.00000000	0.12147987
493.00000000	0.12440221
494.00000000	0.13580668
495.00000000	0.13405463
496.00000000	0.14369903
497.00000000	0.15852049
498.00000000	0.16104314
499.00000000	0.17469837
500.00000000	0.18460811
501.00000000	0.19444509
502.00000000	0.20674372
503.00000000	0.21665678
504.00000000	0.22569553
505.00000000	0.24197171
506.00000000	0.24530610
507.00000000	0.26081580
508.00000000	0.27325655
509.00000000	0.28289132
510.00000000	0.29283907
511.00000000	0.30464443
512.00000000	0.32000186
513.00000000	0.32309698
514.00000000	0.34187561
515.00000000	0.35541557
516.00000000	0.36374845
517.00000000	0.37205698
518.00000000	0.37869890
519.00000000	0.39145916
520.00000000	0.39791149
521.00000000	0.41043182
522.00000000	0.42224349
523.00000000	0.43243545
524.00000000	0.43907189
525.00000000	0.45134337
526.00000000	0.46190792
527.00000000	0.46624023
528.00000000	0.47577077
529.00000000	0.48769744
530.00000000	0.49387153
531.00000000	0.49991427
532.00000000	0.51178870
533.00000000	0.51376350
534.00000000	0.52122617
535.00000000	0.52921868
536.00000000	0.53993260
537.00000000	0.54462145
538.00000000	0.55044874
539.00000000	0.56144198
540.00000000	0.56870441
541.00000000	0.57982109
542.00000000	0.58652056
543.00000000	0.59517498
544.00000000	0.59660887
545.00000000	0.61372780
546.00000000	0.61600528
547.00000000	0.62733424
548.00000000	0.63145540
549.00000000	0.64688658
550.00000000	0.65523181
551.00000000	0.66523943
552.00000000	0.67282325
553.00000000	0.68575890
554.00000000	0.68814038
555.00000000	0.70685957
556.00000000	0.71309845
557.00000000	0.72765040
558.00000000	0.73704888
559.00000000	0.75456908
560.00000000	0.76687302
561.00000000	0.77770073
562.00000000	0.78216469
563.00000000	0.78696579
564.00000000	0.79298449
565.00000000	0.80480766
566.00000000	0.81466006
567.00000000	0.83133085
568.00000000	0.83519431
569.00000000	0.85250638
570.00000000	0.85512334
571.00000000	0.86126895
572.00000000	0.86772869
573.00000000	0.87790385
574.00000000	0.88760865
575.00000000	0.89559548
576.00000000	0.89483992
577.00000000	0.91150299
578.00000000	0.91434720
579.00000000	0.91791830
580.00000000	0.92403404
581.00000000	0.92940008
582.00000000	0.93811290
583.00000000	0.95078662
584.00000000	0.95698648
585.00000000	0.97074650
586.00000000	0.97423096
587.00000000	0.98632189
588.00000000	0.97920451
589.00000000	0.98222972
590.00000000	0.98499514
591.00000000	0.98516044
592.00000000	0.98887367
593.00000000	1.00000000
594.00000000	0.99597422
595.00000000	0.99061638
596.00000000	0.98336602
597.00000000	0.98781281
598.00000000	0.99320827
599.00000000	0.99914001
600.00000000	0.99180964
601.00000000	0.98290898
602.00000000	0.98947652
603.00000000	0.99768527
604.00000000	0.98783016
605.00000000	0.97159928
606.00000000	0.97128290
607.00000000	0.95710610
608.00000000	0.94349122
609.00000000	0.93496244
610.00000000	0.93383496
611.00000000	0.92308848
612.00000000	0.92393396
613.00000000	0.91568490
614.00000000	0.91320449
615.00000000	0.90568278
616.00000000	0.90030974
617.00000000	0.89508361
618.00000000	0.89687825
619.00000000	0.88996042
620.00000000	0.88485441
621.00000000	0.86902846
622.00000000	0.85802181
623.00000000	0.84843425
624.00000000	0.83412960
625.00000000	0.82072434
626.00000000	0.81296304
627.00000000	0.80330333
628.00000000	0.79251004
629.00000000	0.78111256
630.00000000	0.77214589
631.00000000	0.75613682
632.00000000	0.73740907
633.00000000	0.73448449
634.00000000	0.72377059
635.00000000	0.71122220
636.00000000	0.69184937
637.00000000	0.68501317
638.00000000	0.67764048
639.00000000	0.65745248
640.00000000	0.64602922
641.00000000	0.63406278
642.00000000	0.62685815
643.00000000	0.60619390
644.00000000	0.59912819
645.00000000	0.58759802
646.00000000	0.58360520
647.00000000	0.56119933
648.00000000	0.54822580
649.00000000	0.54332618
650.00000000	0.52852928
651.00000000	0.51648745
652.00000000	0.51417592
653.00000000	0.49753114
654.00000000	0.48750797
655.00000000	0.47819847
656.00000000	0.47059155
657.00000000	0.46220811
658.00000000	0.43965136
659.00000000	0.44080903
660.00000000	0.42316837
661.00000000	0.41999149
662.00000000	0.40895113
663.00000000	0.39669607
664.00000000	0.39231467
665.00000000	0.38475914
666.00000000	0.37170705
667.00000000	0.36381767
668.00000000	0.35050036
669.00000000	0.34790108
670.00000000	0.33798258
671.00000000	0.33493777
672.00000000	0.32863127
673.00000000	0.31896438
674.00000000	0.30221057
675.00000000	0.30117355
676.00000000	0.29411958
677.00000000	0.28172903
678.00000000	0.27397722
679.00000000	0.26907910
680.00000000	0.26435352
681.00000000	0.25428595
682.00000000	0.25327879
683.00000000	0.23492102
684.00000000	0.23944784
685.00000000	0.23514927
686.00000000	0.22103583
687.00000000	0.22371787
688.00000000	0.21206327
689.00000000	0.20604309
690.00000000	0.20560964
691.00000000	0.19862360
692.00000000	0.19803698
693.00000000	0.18794779
694.00000000	0.18522553
695.00000000	0.17503452
696.00000000	0.17398115
697.00000000	0.16343552
698.00000000	0.16421991
699.00000000	0.15880219
700.00000000	0.15527994
701.00000000	0.15600417
702.00000000	0.14756623
703.00000000	0.14640687
704.00000000	0.13655306
705.00000000	0.13940792
706.00000000	0.13456443
707.00000000	0.12764405
708.00000000	0.12570037
709.00000000	0.11902862
710.00000000	0.12087083
711.00000000	0.11630838
712.00000000	0.11150375
713.00000000	0.10591853
714.00000000	0.10475053
715.00000000	0.10532947
716.00000000	0.09946320
717.00000000	0.09493256
718.00000000	0.09284018
719.00000000	0.09027433
720.00000000	0.09310642
721.00000000	0.08838583
722.00000000	0.08862766
723.00000000	0.08357051
724.00000000	0.08122211
725.00000000	0.07898908
