#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.8006	0.7304	0.3794
#xyY coordinates: 0.4191	0.3823	0.7304
#sRGB: 255	121	59
#CCT Lindbloom (K):	3140
#CCT McCamy (K):	3150
#CCT Hernández-Andrés (K):	3129
#Melatonin: 0.387
#Chlorophyll a: 0.182
#Chlorophyll b: 0.686
#Beta Carotene: 0.183
#Manufacturer: Philips
#Luminance manufacturer: Unknown
#Other data: Madrid streetlamp at Calle Espoz y Mina
#Begin Processed Spectral Data
W	S
475.00000000	0.15822543
476.00000000	0.15114682
477.00000000	0.14348346
478.00000000	0.13553334
479.00000000	0.13073374
480.00000000	0.12802328
481.00000000	0.12661936
482.00000000	0.12342364
483.00000000	0.12191178
484.00000000	0.11975745
485.00000000	0.12260967
486.00000000	0.12157152
487.00000000	0.12236420
488.00000000	0.12369626
489.00000000	0.12498070
490.00000000	0.12511107
491.00000000	0.13211360
492.00000000	0.13692344
493.00000000	0.14123404
494.00000000	0.14585286
495.00000000	0.15421379
496.00000000	0.15739439
497.00000000	0.16845099
498.00000000	0.17811814
499.00000000	0.18651792
500.00000000	0.19441245
501.00000000	0.20048526
502.00000000	0.21464020
503.00000000	0.22633129
504.00000000	0.23152511
505.00000000	0.24567420
506.00000000	0.25505247
507.00000000	0.26777146
508.00000000	0.27973030
509.00000000	0.29601795
510.00000000	0.30324238
511.00000000	0.31739147
512.00000000	0.32728718
513.00000000	0.33367440
514.00000000	0.34925000
515.00000000	0.36317768
516.00000000	0.37010754
517.00000000	0.37879506
518.00000000	0.39112553
519.00000000	0.39800044
520.00000000	0.40552139
521.00000000	0.41268128
522.00000000	0.42524470
523.00000000	0.43632438
524.00000000	0.44752908
525.00000000	0.45846538
526.00000000	0.46782105
527.00000000	0.47427426
528.00000000	0.48394580
529.00000000	0.49495607
530.00000000	0.50144359
531.00000000	0.50524064
532.00000000	0.51987954
533.00000000	0.52338820
534.00000000	0.53348793
535.00000000	0.54547099
536.00000000	0.55067652
537.00000000	0.55599047
538.00000000	0.56458631
539.00000000	0.57822706
540.00000000	0.58834321
541.00000000	0.59588188
542.00000000	0.60203711
543.00000000	0.61580271
544.00000000	0.61522040
545.00000000	0.62602388
546.00000000	0.63056809
547.00000000	0.64758760
548.00000000	0.65551009
549.00000000	0.66358653
550.00000000	0.67276598
551.00000000	0.68377754
552.00000000	0.68531314
553.00000000	0.70334707
554.00000000	0.71611809
555.00000000	0.72587887
556.00000000	0.73157437
557.00000000	0.74289172
558.00000000	0.75697318
559.00000000	0.76757427
560.00000000	0.78290001
561.00000000	0.79097694
562.00000000	0.80266055
563.00000000	0.81203768
564.00000000	0.81178245
565.00000000	0.82466402
566.00000000	0.84115926
567.00000000	0.85343803
568.00000000	0.85664984
569.00000000	0.87168898
570.00000000	0.87211685
571.00000000	0.88610029
572.00000000	0.88044917
573.00000000	0.89289278
574.00000000	0.90406919
575.00000000	0.90837426
576.00000000	0.92260333
577.00000000	0.92598080
578.00000000	0.92595593
579.00000000	0.93570891
580.00000000	0.94168597
581.00000000	0.95247937
582.00000000	0.95538508
583.00000000	0.95707056
584.00000000	0.96832208
585.00000000	0.98419355
586.00000000	0.97623042
587.00000000	0.98684630
588.00000000	0.98236387
589.00000000	0.98913897
590.00000000	0.98292993
591.00000000	0.99425833
592.00000000	0.98440993
593.00000000	0.99340925
594.00000000	0.98710543
595.00000000	0.98898437
596.00000000	0.99629675
597.00000000	0.98836044
598.00000000	0.98995001
599.00000000	0.99137165
600.00000000	1.00000000
601.00000000	0.98231787
602.00000000	0.98122640
603.00000000	0.98747478
604.00000000	0.97168459
605.00000000	0.96496558
606.00000000	0.95689304
607.00000000	0.95094248
608.00000000	0.93657978
609.00000000	0.93347867
610.00000000	0.92288798
611.00000000	0.90904468
612.00000000	0.91247417
613.00000000	0.90080584
614.00000000	0.90233363
615.00000000	0.89971697
616.00000000	0.89548603
617.00000000	0.88175002
618.00000000	0.89289652
619.00000000	0.88104042
620.00000000	0.87541353
621.00000000	0.85755224
622.00000000	0.85019207
623.00000000	0.84099051
624.00000000	0.83457745
625.00000000	0.81029969
626.00000000	0.79989710
627.00000000	0.78777000
628.00000000	0.78032091
629.00000000	0.77357084
630.00000000	0.76041015
631.00000000	0.75282970
632.00000000	0.73295553
633.00000000	0.70866867
634.00000000	0.71467434
635.00000000	0.69618815
636.00000000	0.68932267
637.00000000	0.66967592
638.00000000	0.65934860
639.00000000	0.64656311
640.00000000	0.63928308
641.00000000	0.61197428
642.00000000	0.61516789
643.00000000	0.60147350
644.00000000	0.59167646
645.00000000	0.57784649
646.00000000	0.57280028
647.00000000	0.55438058
648.00000000	0.54495891
649.00000000	0.53808806
650.00000000	0.52362034
651.00000000	0.52478123
652.00000000	0.51559511
653.00000000	0.49737537
654.00000000	0.48791111
655.00000000	0.47916636
656.00000000	0.46104107
657.00000000	0.45593439
658.00000000	0.43887618
659.00000000	0.43541255
660.00000000	0.42829281
661.00000000	0.41960155
662.00000000	0.41398945
663.00000000	0.39550765
664.00000000	0.38750908
665.00000000	0.38125875
666.00000000	0.37230917
667.00000000	0.36538565
