#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/18
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.8327	0.8256	0.4804
#xyY coordinates: 0.3893	0.3861	0.8256
#sRGB: 255	163	83
#CCT Lindbloom (K):	3836
#CCT McCamy (K):	3845
#CCT Hernández-Andrés (K):	3836
#Melatonin: 0.458
#Chlorophyll a: 0.133
#Chlorophyll b: 0.710
#Beta Carotene: 0.133
#Manufacturer: Lexman
#Luminance manufacturer: 470lm
#Other data: 4000K. 5W
#Begin Processed Spectral Data
W	S
475.00000000	0.28336892
476.00000000	0.27267520
477.00000000	0.26717244
478.00000000	0.25916108
479.00000000	0.26177999
480.00000000	0.26106589
481.00000000	0.26436830
482.00000000	0.26480790
483.00000000	0.27007675
484.00000000	0.27387213
485.00000000	0.28115249
486.00000000	0.28965709
487.00000000	0.29559428
488.00000000	0.30117811
489.00000000	0.31234144
490.00000000	0.31976654
491.00000000	0.32981280
492.00000000	0.34060784
493.00000000	0.35289694
494.00000000	0.36610110
495.00000000	0.37731410
496.00000000	0.39108069
497.00000000	0.40843888
498.00000000	0.42046153
499.00000000	0.43630916
500.00000000	0.44894097
501.00000000	0.46218966
502.00000000	0.47821561
503.00000000	0.49460476
504.00000000	0.50226945
505.00000000	0.51427418
506.00000000	0.52600553
507.00000000	0.53830357
508.00000000	0.54963984
509.00000000	0.56270322
510.00000000	0.57292087
511.00000000	0.58545190
512.00000000	0.59751664
513.00000000	0.60351730
514.00000000	0.61467810
515.00000000	0.62352453
516.00000000	0.63024735
517.00000000	0.63567490
518.00000000	0.63981788
519.00000000	0.64480693
520.00000000	0.65153721
521.00000000	0.65633322
522.00000000	0.66251306
523.00000000	0.66868807
524.00000000	0.67830485
525.00000000	0.68063644
526.00000000	0.68752842
527.00000000	0.69215028
528.00000000	0.69759484
529.00000000	0.70313339
530.00000000	0.70637038
531.00000000	0.70709854
532.00000000	0.71278455
533.00000000	0.71191800
534.00000000	0.71612923
535.00000000	0.72061673
536.00000000	0.72483565
537.00000000	0.72764111
538.00000000	0.73048453
539.00000000	0.73369966
540.00000000	0.73963448
541.00000000	0.74624718
542.00000000	0.74812443
543.00000000	0.75377157
544.00000000	0.75451815
545.00000000	0.75931596
546.00000000	0.76036406
547.00000000	0.76677110
548.00000000	0.77322153
549.00000000	0.77242210
550.00000000	0.77730124
551.00000000	0.78562405
552.00000000	0.78867923
553.00000000	0.79309486
554.00000000	0.79802620
555.00000000	0.80361285
556.00000000	0.81263817
557.00000000	0.81879677
