#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/22
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.7574	0.7579	0.4594
#xyY coordinates: 0.3836	0.3838	0.7579
#sRGB: 255	170	90
#CCT Lindbloom (K):	3969
#CCT McCamy (K):	3975
#CCT Hernández-Andrés (K):	3968
#Melatonin: 0.465
#Chlorophyll a: 0.094
#Chlorophyll b: 0.673
#Beta Carotene: 0.095
#Manufacturer: Philips
#Luminance manufacturer: Unknown
#Other data: New street lights on Villarrubia de los Ojos (Ciudad Real, Spain)
#Begin Processed Spectral Data
W	S
475.00000000	0.09937234
476.00000000	0.09877552
477.00000000	0.09817015
478.00000000	0.09243290
479.00000000	0.09482021
480.00000000	0.09436484
481.00000000	0.09830562
482.00000000	0.10114210
483.00000000	0.10191077
484.00000000	0.10399259
485.00000000	0.10860194
486.00000000	0.11280909
487.00000000	0.11656048
488.00000000	0.12506023
489.00000000	0.12976757
490.00000000	0.13708477
491.00000000	0.14855578
492.00000000	0.15642331
493.00000000	0.16528772
494.00000000	0.17646766
495.00000000	0.18995411
496.00000000	0.20464034
497.00000000	0.21640928
498.00000000	0.23631759
499.00000000	0.24890590
500.00000000	0.26247553
501.00000000	0.27968765
502.00000000	0.29575241
503.00000000	0.31473161
504.00000000	0.32755761
505.00000000	0.34233305
506.00000000	0.35926791
507.00000000	0.37859946
508.00000000	0.39904646
509.00000000	0.41646331
510.00000000	0.43152793
511.00000000	0.44976036
512.00000000	0.46836087
513.00000000	0.47995945
514.00000000	0.50220273
515.00000000	0.51839289
516.00000000	0.52932970
517.00000000	0.53889904
518.00000000	0.55426915
519.00000000	0.56481471
520.00000000	0.57440050
521.00000000	0.57595071
522.00000000	0.59613904
523.00000000	0.60889069
524.00000000	0.62149222
525.00000000	0.62303170
526.00000000	0.63868249
527.00000000	0.64815392
528.00000000	0.65947202
529.00000000	0.66843596
530.00000000	0.67126987
531.00000000	0.67553386
532.00000000	0.68614000
533.00000000	0.68787326
