#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/18
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.5343	0.5406	0.4208
#xyY coordinates: 0.3572	0.3614	0.5406
#sRGB: 176	131	93
#CCT Lindbloom (K):	4606
#CCT McCamy (K):	4613
#CCT Hernández-Andrés (K):	4619
#Melatonin: 0.553
#Chlorophyll a: 0.072
#Chlorophyll b: 0.813
#Beta Carotene: 0.073
#Manufacturer: alverlamp
#Luminance manufacturer: 950lm
#Other data: Projector lamp 4000K. 10W
#Begin Processed Spectral Data
W	S
475.00000000	0.08003222
476.00000000	0.07531257
477.00000000	0.07224745
478.00000000	0.06753244
479.00000000	0.06629285
480.00000000	0.06376542
481.00000000	0.06262242
482.00000000	0.06040403
483.00000000	0.05965923
484.00000000	0.05912612
485.00000000	0.05940119
486.00000000	0.06054162
487.00000000	0.06197613
488.00000000	0.06365576
489.00000000	0.06674055
490.00000000	0.07058914
491.00000000	0.07482309
492.00000000	0.07981359
493.00000000	0.08565375
494.00000000	0.09242471
495.00000000	0.09937923
496.00000000	0.10775093
497.00000000	0.11794595
498.00000000	0.12745286
499.00000000	0.13758861
500.00000000	0.14857137
501.00000000	0.15986822
502.00000000	0.17268515
503.00000000	0.18680169
504.00000000	0.19716522
505.00000000	0.21047603
506.00000000	0.22412068
507.00000000	0.23790139
508.00000000	0.25124933
509.00000000	0.26617692
510.00000000	0.28122970
511.00000000	0.29558173
512.00000000	0.31106341
513.00000000	0.32480890
514.00000000	0.33745922
515.00000000	0.35278882
516.00000000	0.36405929
517.00000000	0.37489590
