#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/25
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.4014	0.4071	0.4655
#xyY coordinates: 0.3151	0.3195	0.4071
#sRGB: 113	100	110
#CCT Lindbloom (K):	6442
#CCT McCamy (K):	6442
#CCT Hernández-Andrés (K):	6449
#Melatonin: 0.784
#Chlorophyll a: 0.086
#Chlorophyll b: 1.101
#Beta Carotene: 0.087
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: LED projector on ADIF parking in Almería train station
#Begin Processed Spectral Data
W	S
475.00000000	0.11632963
476.00000000	0.10975900
477.00000000	0.10580317
478.00000000	0.09892533
479.00000000	0.10177659
480.00000000	0.09693489
481.00000000	0.09454523
482.00000000	0.09199265
483.00000000	0.09052255
484.00000000	0.09467461
485.00000000	0.09247073
486.00000000	0.09713568
487.00000000	0.09783165
488.00000000	0.09881047
489.00000000	0.10357015
490.00000000	0.10580949
491.00000000	0.11147808
492.00000000	0.11682554
493.00000000	0.12373910
494.00000000	0.12759047
495.00000000	0.13479967
496.00000000	0.14530470
497.00000000	0.15649747
498.00000000	0.16254890
499.00000000	0.17054989
500.00000000	0.18330865
501.00000000	0.19326566
502.00000000	0.20189568
503.00000000	0.21669513
504.00000000	0.22104761
505.00000000	0.23317031
506.00000000	0.24167344
507.00000000	0.25537691
508.00000000	0.26272891
509.00000000	0.27618596
510.00000000	0.28616654
511.00000000	0.29946982
512.00000000	0.30753958
513.00000000	0.31573492
514.00000000	0.32844971
515.00000000	0.33943771
516.00000000	0.34467405
517.00000000	0.35551878
518.00000000	0.35768619
519.00000000	0.36173447
520.00000000	0.37209941
521.00000000	0.37465704
522.00000000	0.38026000
523.00000000	0.39008244
524.00000000	0.40209289
525.00000000	0.40158310
526.00000000	0.41110275
527.00000000	0.41711146
528.00000000	0.41385358
529.00000000	0.41712957
530.00000000	0.42368312
531.00000000	0.42798974
532.00000000	0.42885716
533.00000000	0.43178941
534.00000000	0.43447260
535.00000000	0.43497180
536.00000000	0.43594554
537.00000000	0.43982242
538.00000000	0.44652455
539.00000000	0.44752276
540.00000000	0.44910111
541.00000000	0.45136947
542.00000000	0.44868184
543.00000000	0.45339936
544.00000000	0.45570272
545.00000000	0.45308783
546.00000000	0.45300979
547.00000000	0.45739365
548.00000000	0.45770094
549.00000000	0.45062219
550.00000000	0.45619251
