#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.4123	0.3879	0.5153
#xyY coordinates: 0.3135	0.2948	0.3879
#sRGB: 123	89	125
#CCT Lindbloom (K):	6801
#CCT McCamy (K):	6785
#CCT Hernández-Andrés (K):	6816
#Melatonin: 0.885
#Chlorophyll a: 0.115
#Chlorophyll b: 1.266
#Beta Carotene: 0.116
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: Madrid streetlamp at Facultad de Farmacia
#Begin Processed Spectral Data
W	S
475.00000000	0.12504094
476.00000000	0.11182921
477.00000000	0.10542982
478.00000000	0.10108404
479.00000000	0.09482874
480.00000000	0.09155128
481.00000000	0.08523897
482.00000000	0.08059020
483.00000000	0.08015791
484.00000000	0.07661229
485.00000000	0.07538700
486.00000000	0.07284218
487.00000000	0.07120369
488.00000000	0.07180965
489.00000000	0.06998149
490.00000000	0.07168130
491.00000000	0.07596219
492.00000000	0.07717246
493.00000000	0.08129303
494.00000000	0.08461344
495.00000000	0.09052829
496.00000000	0.09374206
497.00000000	0.09992912
498.00000000	0.10539355
499.00000000	0.11085966
500.00000000	0.11962184
501.00000000	0.12902338
502.00000000	0.13687327
503.00000000	0.14430519
504.00000000	0.15095794
505.00000000	0.16021706
506.00000000	0.17093241
507.00000000	0.18132760
508.00000000	0.19979741
509.00000000	0.20191304
510.00000000	0.21515102
511.00000000	0.22852571
512.00000000	0.23579563
513.00000000	0.24153728
514.00000000	0.26165704
515.00000000	0.26642414
516.00000000	0.27920287
517.00000000	0.28509101
518.00000000	0.29709368
519.00000000	0.30175580
520.00000000	0.31057810
521.00000000	0.31603943
522.00000000	0.32953555
523.00000000	0.33686297
524.00000000	0.34002163
525.00000000	0.34885514
526.00000000	0.35889725
527.00000000	0.35965566
528.00000000	0.36980655
529.00000000	0.37925223
530.00000000	0.38001327
531.00000000	0.38396684
532.00000000	0.38872511
533.00000000	0.39324505
534.00000000	0.39421746
535.00000000	0.40030146
536.00000000	0.40305264
537.00000000	0.40613472
538.00000000	0.41088893
539.00000000	0.41487471
540.00000000	0.42444063
541.00000000	0.42018956
542.00000000	0.42238583
543.00000000	0.42460715
544.00000000	0.42727579
545.00000000	0.42748192
546.00000000	0.42918077
547.00000000	0.43332496
548.00000000	0.43413037
549.00000000	0.42924399
550.00000000	0.43212257
551.00000000	0.43393403
552.00000000	0.43028749
553.00000000	0.44180873
554.00000000	0.43914343
555.00000000	0.43984029
556.00000000	0.44585654
557.00000000	0.44717368
558.00000000	0.44406512
559.00000000	0.45009353
560.00000000	0.45334499
561.00000000	0.45262165
562.00000000	0.45030180
563.00000000	0.45372933
564.00000000	0.44655340
565.00000000	0.45020232
566.00000000	0.44808931
567.00000000	0.45139684
568.00000000	0.44795142
569.00000000	0.45044828
570.00000000	0.44710473
571.00000000	0.44086686
572.00000000	0.44587300
573.00000000	0.43450898
574.00000000	0.44251752
575.00000000	0.44015234
576.00000000	0.43595471
577.00000000	0.43317180
578.00000000	0.43320544
579.00000000	0.42837822
580.00000000	0.42695444
581.00000000	0.43054491
582.00000000	0.42726720
583.00000000	0.42863373
584.00000000	0.43290818
585.00000000	0.42465821
586.00000000	0.42771667
587.00000000	0.41866320
588.00000000	0.41774518
589.00000000	0.41184297
590.00000000	0.40546672
591.00000000	0.40737170
592.00000000	0.40896463
593.00000000	0.39867680
594.00000000	0.40043959
595.00000000	0.38741012
596.00000000	0.39743433
597.00000000	0.37988635
598.00000000	0.38175626
599.00000000	0.38474315
600.00000000	0.37813024
601.00000000	0.37888961
602.00000000	0.37374056
603.00000000	0.37181554
604.00000000	0.37001029
605.00000000	0.35930138
606.00000000	0.36306839
607.00000000	0.35443027
608.00000000	0.34909824
609.00000000	0.34212152
610.00000000	0.33823403
611.00000000	0.32823486
612.00000000	0.32663454
613.00000000	0.32375692
614.00000000	0.32402578
615.00000000	0.32195715
616.00000000	0.31686870
617.00000000	0.31325270
618.00000000	0.31485660
619.00000000	0.31222948
620.00000000	0.30256312
621.00000000	0.29758537
622.00000000	0.28586803
623.00000000	0.29009906
624.00000000	0.28465442
625.00000000	0.28433283
626.00000000	0.27856088
627.00000000	0.27312770
628.00000000	0.26540735
629.00000000	0.26007127
630.00000000	0.25469057
631.00000000	0.25526052
632.00000000	0.24519241
633.00000000	0.23908193
634.00000000	0.23691763
635.00000000	0.23246640
636.00000000	0.23068285
637.00000000	0.22137029
638.00000000	0.22176011
639.00000000	0.21140787
640.00000000	0.21477337
641.00000000	0.21002822
642.00000000	0.20550995
643.00000000	0.20224585
644.00000000	0.19986015
645.00000000	0.19318545
646.00000000	0.19379929
647.00000000	0.18650933
648.00000000	0.18523155
