#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/28
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.3522	0.3674	0.4341
#xyY coordinates: 0.3053	0.3184	0.3674
#sRGB: 92	93	103
#CCT Lindbloom (K):	7043
#CCT McCamy (K):	7041
#CCT Hernández-Andrés (K):	7040
#Melatonin: 0.802
#Chlorophyll a: 0.133
#Chlorophyll b: 1.106
#Beta Carotene: 0.132
#Manufacturer: Deco LED
#Luminance manufacturer: Unknown
#Other data: Cool white.
#Begin Processed Spectral Data
W	S
475.00000000	0.49049425
476.00000000	0.46529135
477.00000000	0.44596202
478.00000000	0.42137903
479.00000000	0.40544168
480.00000000	0.38648310
481.00000000	0.36993877
482.00000000	0.34625513
483.00000000	0.32707648
484.00000000	0.30948452
485.00000000	0.29323062
486.00000000	0.28059477
487.00000000	0.26362928
488.00000000	0.25048327
489.00000000	0.24134287
490.00000000	0.23306839
491.00000000	0.22385573
492.00000000	0.21822041
493.00000000	0.21344202
494.00000000	0.21082761
495.00000000	0.20669902
496.00000000	0.20542222
497.00000000	0.20531148
498.00000000	0.20331833
499.00000000	0.20405323
500.00000000	0.20287059
501.00000000	0.20482749
502.00000000	0.20558146
503.00000000	0.20907370
504.00000000	0.21071498
505.00000000	0.21453950
506.00000000	0.21817209
507.00000000	0.22239308
508.00000000	0.22825812
509.00000000	0.23404651
510.00000000	0.23950295
511.00000000	0.24757430
512.00000000	0.25486952
513.00000000	0.26069357
514.00000000	0.26735666
515.00000000	0.27541778
516.00000000	0.28106140
517.00000000	0.28651637
518.00000000	0.29186984
519.00000000	0.29669863
520.00000000	0.30419285
521.00000000	0.30896024
522.00000000	0.31562253
523.00000000	0.32099884
524.00000000	0.32871073
525.00000000	0.33336527
526.00000000	0.33830927
527.00000000	0.34303567
528.00000000	0.34719273
529.00000000	0.35358909
530.00000000	0.35700333
531.00000000	0.35938286
532.00000000	0.36444226
533.00000000	0.36550328
534.00000000	0.36749875
