#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.3118	0.3191	0.4117
#xyY coordinates: 0.2991	0.3060	0.3191
#sRGB: 80	80	99
#CCT Lindbloom (K):	7676
#CCT McCamy (K):	7664
#CCT Hernández-Andrés (K):	7673
#Melatonin: 0.894
#Chlorophyll a: 0.068
#Chlorophyll b: 1.116
#Beta Carotene: 0.070
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.00000000	0.06086912
476.00000000	0.05972507
477.00000000	0.05650948
478.00000000	0.05789400
479.00000000	0.05397247
480.00000000	0.05343357
481.00000000	0.05309897
482.00000000	0.05332476
483.00000000	0.05352634
484.00000000	0.05454556
485.00000000	0.05547585
486.00000000	0.05887937
487.00000000	0.05955487
488.00000000	0.06216547
489.00000000	0.06663238
490.00000000	0.07043743
491.00000000	0.07562068
492.00000000	0.08177839
493.00000000	0.08662151
494.00000000	0.09326457
495.00000000	0.09861359
496.00000000	0.10763694
497.00000000	0.11534749
498.00000000	0.12299579
499.00000000	0.13118751
500.00000000	0.14169216
501.00000000	0.14913343
502.00000000	0.16115322
503.00000000	0.17082470
504.00000000	0.18132406
505.00000000	0.18846442
506.00000000	0.20076509
507.00000000	0.21091936
508.00000000	0.22189179
509.00000000	0.23206074
510.00000000	0.24216223
511.00000000	0.25502022
512.00000000	0.26221770
513.00000000	0.26781400
514.00000000	0.27828957
515.00000000	0.29067423
516.00000000	0.29607203
517.00000000	0.30346017
518.00000000	0.30632555
519.00000000	0.31796130
520.00000000	0.32095339
521.00000000	0.32749720
522.00000000	0.33407239
523.00000000	0.34116312
524.00000000	0.34523890
525.00000000	0.34765628
526.00000000	0.35427077
527.00000000	0.35879865
528.00000000	0.36033870
529.00000000	0.36598326
530.00000000	0.36290572
531.00000000	0.36539592
532.00000000	0.37065072
533.00000000	0.37023367
534.00000000	0.36753030
535.00000000	0.37266691
536.00000000	0.37398150
537.00000000	0.37309445
538.00000000	0.37315704
539.00000000	0.37771024
