#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/17
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0536	0.0313	0.3373
#xyY coordinates: 0.1269	0.0743	0.0313
#sRGB: 0	5	90
#CCT Lindbloom (K):	0
#CCT McCamy (K):	2101
#CCT Hernández-Andrés (K):	0
#Melatonin: 6.435
#Chlorophyll a: -0.001
#Chlorophyll b: 6.904
#Beta Carotene: -0.020
#Manufacturer: Kingbright
#Luminance manufacturer: 1100mc
#Other data: Kingbright Blue 465nm
#Begin Processed Spectral Data
W	S
475.00000000	0.71151025
476.00000000	0.65916965
477.00000000	0.61822133
478.00000000	0.56379113
479.00000000	0.52954534
480.00000000	0.49051609
481.00000000	0.45683288
482.00000000	0.41848960
483.00000000	0.38741103
484.00000000	0.36257923
485.00000000	0.33539379
486.00000000	0.30829826
487.00000000	0.27962353
488.00000000	0.25564839
489.00000000	0.23363014
490.00000000	0.20860363
491.00000000	0.19215221
492.00000000	0.17700071
493.00000000	0.16170210
494.00000000	0.14538768
495.00000000	0.13434971
496.00000000	0.12134327
497.00000000	0.11193573
498.00000000	0.10147803
499.00000000	0.09266413
500.00000000	0.08621593
501.00000000	0.07674109
502.00000000	0.06928609
503.00000000	0.06563731
504.00000000	0.05869156
505.00000000	0.05239998
506.00000000	0.04876880
507.00000000	0.04453830
508.00000000	0.04008505
509.00000000	0.03585526
510.00000000	0.03403388
511.00000000	0.03012912
512.00000000	0.02746269
513.00000000	0.02523171
514.00000000	0.02224580
515.00000000	0.02097407
516.00000000	0.01908627
517.00000000	0.01774795
518.00000000	0.01601553
519.00000000	0.01397754
520.00000000	0.01324957
521.00000000	0.01219217
522.00000000	0.01109881
523.00000000	0.01064687
524.00000000	0.00942592
525.00000000	0.00834532
526.00000000	0.00791497
527.00000000	0.00709343
528.00000000	0.00701051
529.00000000	0.00634583
530.00000000	0.00586149
531.00000000	0.00578105
532.00000000	0.00466483
533.00000000	0.00426739
534.00000000	0.00417477
535.00000000	0.00421881
536.00000000	0.00351037
537.00000000	0.00333385
538.00000000	0.00276193
539.00000000	0.00314194
540.00000000	0.00318282
541.00000000	0.00233226
542.00000000	0.00185022
543.00000000	0.00204314
544.00000000	0.00181891
545.00000000	0.00165935
546.00000000	0.00125521
547.00000000	0.00197136
548.00000000	0.00155734
549.00000000	0.00078955
550.00000000	0.00121726
551.00000000	0.00138793
552.00000000	0.00093494
553.00000000	0.00095321
554.00000000	0.00070795
555.00000000	0.00069028
556.00000000	0.00086045
557.00000000	0.00106592
