#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0661	0.0408	0.4123
#xyY coordinates: 0.1273	0.0786	0.0408
#sRGB: 0	8	110
#CCT Lindbloom (K):	0
#CCT McCamy (K):	2216
#CCT Hernández-Andrés (K):	0
#Melatonin: 6.093
#Chlorophyll a: -0.003
#Chlorophyll b: 6.746
#Beta Carotene: -0.021
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.00000000	0.82756001
476.00000000	0.78678988
477.00000000	0.75701944
478.00000000	0.70938161
479.00000000	0.67101903
480.00000000	0.63077108
481.00000000	0.58782173
482.00000000	0.55090847
483.00000000	0.51683341
484.00000000	0.47626260
485.00000000	0.44356518
486.00000000	0.41418784
487.00000000	0.38159671
488.00000000	0.35490617
489.00000000	0.32813753
490.00000000	0.30012953
491.00000000	0.27757736
492.00000000	0.25249874
493.00000000	0.23541582
494.00000000	0.21519212
495.00000000	0.19839738
496.00000000	0.18322958
497.00000000	0.17095257
498.00000000	0.15470210
499.00000000	0.14237449
500.00000000	0.13152784
501.00000000	0.12027546
502.00000000	0.10985225
503.00000000	0.10062169
504.00000000	0.09301972
505.00000000	0.08637428
506.00000000	0.07931742
507.00000000	0.07220858
508.00000000	0.06692149
509.00000000	0.06055587
510.00000000	0.05593539
511.00000000	0.05040688
512.00000000	0.04623776
513.00000000	0.04322874
514.00000000	0.03948252
515.00000000	0.03672896
516.00000000	0.03410411
517.00000000	0.03123811
518.00000000	0.02791362
519.00000000	0.02603220
520.00000000	0.02414850
521.00000000	0.02187467
522.00000000	0.02011334
523.00000000	0.01824939
524.00000000	0.01674794
525.00000000	0.01536189
526.00000000	0.01402671
527.00000000	0.01312617
528.00000000	0.01249804
529.00000000	0.01092103
530.00000000	0.00978500
531.00000000	0.00923804
532.00000000	0.00862577
533.00000000	0.00828712
534.00000000	0.00777908
535.00000000	0.00645828
536.00000000	0.00653196
537.00000000	0.00615181
538.00000000	0.00533118
539.00000000	0.00528877
540.00000000	0.00458090
541.00000000	0.00416719
542.00000000	0.00389756
543.00000000	0.00391366
544.00000000	0.00304675
545.00000000	0.00315623
546.00000000	0.00257539
547.00000000	0.00267788
548.00000000	0.00245758
549.00000000	0.00168567
550.00000000	0.00295808
551.00000000	0.00169276
552.00000000	0.00166119
553.00000000	0.00141255
554.00000000	0.00151790
555.00000000	0.00173951
556.00000000	0.00129034
557.00000000	0.00110643
558.00000000	0.00100246
559.00000000	0.00129775
560.00000000	0.00101017
561.00000000	0.00087083
562.00000000	0.00084035
563.00000000	0.00072146
564.00000000	0.00085328
565.00000000	0.00080713
566.00000000	0.00099806
567.00000000	0.00082206
568.00000000	0.00072891
569.00000000	0.00006934
570.00000000	0.00085111
571.00000000	0.00094054
572.00000000	0.00008854
573.00000000	0.00075264
574.00000000	0.00022429
575.00000000	0.00055337
576.00000000	0.00088927
577.00000000	0.00039700
578.00000000	0.00060113
579.00000000	0.00004365
580.00000000	0.00004963
581.00000000	0.00003104
582.00000000	0.00035969
583.00000000	0.00023162
584.00000000	0.00008224
585.00000000	0.00022856
586.00000000	0.00000000
587.00000000	0.00000000
588.00000000	0.00017186
589.00000000	0.00003026
590.00000000	0.00068929
591.00000000	0.00020841
592.00000000	0.00000974
593.00000000	0.00005024
594.00000000	0.00000000
595.00000000	0.00000000
596.00000000	0.00013441
597.00000000	0.00011507
598.00000000	0.00062094
599.00000000	0.00021105
600.00000000	0.00038897
601.00000000	0.00000000
602.00000000	0.00021040
603.00000000	0.00000393
604.00000000	0.00003195
605.00000000	0.00000972
606.00000000	0.00000000
607.00000000	0.00000000
608.00000000	0.00013114
609.00000000	0.00044786
610.00000000	0.00000000
611.00000000	0.00027057
612.00000000	0.00000014
613.00000000	0.00001241
614.00000000	0.00000000
615.00000000	0.00000011
616.00000000	0.00016157
617.00000000	0.00000705
618.00000000	0.00032663
619.00000000	0.00000785
620.00000000	0.00000000
621.00000000	0.00000000
622.00000000	0.00000000
623.00000000	0.00023152
624.00000000	0.00005005
625.00000000	0.00000389
626.00000000	0.00012718
627.00000000	0.00000019
628.00000000	0.00000000
629.00000000	0.00002748
630.00000000	0.00000000
631.00000000	0.00033396
632.00000000	0.00061771
633.00000000	0.00000000
634.00000000	0.00018482
635.00000000	0.00000000
636.00000000	0.00018289
637.00000000	0.00001282
638.00000000	0.00044887
639.00000000	0.00000000
640.00000000	0.00000000
641.00000000	0.00000000
642.00000000	0.00000000
643.00000000	0.00000996
644.00000000	0.00000000
645.00000000	0.00000000
646.00000000	0.00000000
647.00000000	0.00000000
648.00000000	0.00000000
649.00000000	0.00036015
650.00000000	0.00065334
651.00000000	0.00000955
652.00000000	0.00014043
653.00000000	0.00039907
654.00000000	0.00011115
655.00000000	0.00037263
656.00000000	0.00000000
657.00000000	0.00000000
658.00000000	0.00000490
659.00000000	0.00027159
660.00000000	0.00046654
661.00000000	0.00046745
662.00000000	0.00000000
663.00000000	0.00000520
664.00000000	0.00000000
665.00000000	0.00000480
666.00000000	0.00010625
667.00000000	0.00002434
668.00000000	0.00002456
669.00000000	0.00000000
670.00000000	0.00000000
671.00000000	0.00007772
672.00000000	0.00000000
673.00000000	0.00000000
674.00000000	0.00000000
675.00000000	0.00038383
676.00000000	0.00000000
677.00000000	0.00050830
678.00000000	0.00000393
679.00000000	0.00005630
680.00000000	0.00004392
681.00000000	0.00002667
682.00000000	0.00000000
683.00000000	0.00013633
684.00000000	0.00056408
685.00000000	0.00000000
686.00000000	0.00000000
687.00000000	0.00001389
688.00000000	0.00000000
689.00000000	0.00037676
690.00000000	0.00000000
691.00000000	0.00000000
692.00000000	0.00000000
693.00000000	0.00000026
694.00000000	0.00020529
695.00000000	0.00056740
696.00000000	0.00000000
697.00000000	0.00088440
698.00000000	0.00000000
699.00000000	0.00002960
700.00000000	0.00000000
701.00000000	0.00000000
702.00000000	0.00000024
703.00000000	0.00086051
704.00000000	0.00000000
705.00000000	0.00000000
706.00000000	0.00000000
707.00000000	0.00025384
708.00000000	0.00000000
709.00000000	0.00006293
710.00000000	0.00000000
711.00000000	0.00000000
712.00000000	0.00000000
713.00000000	0.00000000
714.00000000	0.00058440
715.00000000	0.00000000
716.00000000	0.00023388
717.00000000	0.00095939
718.00000000	0.00000000
719.00000000	0.00000000
720.00000000	0.00000000
721.00000000	0.00000000
722.00000000	0.00000000
723.00000000	0.00000044
724.00000000	0.00000000
725.00000000	0.00000000
