#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.2801	0.1813	0.0005
#xyY coordinates: 0.6065	0.3926	0.1813
#sRGB: 160	18	0
#CCT Lindbloom (K):	0
#CCT McCamy (K):	1624
#CCT Hernández-Andrés (K):	693
#Melatonin: 0.018
#Chlorophyll a: 0.001
#Chlorophyll b: 0.217
#Beta Carotene: 0.003
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.00000000	0.00000000
476.00000000	0.00029462
477.00000000	0.00006032
478.00000000	0.00006475
479.00000000	0.00039516
480.00000000	0.00000000
481.00000000	0.00010497
482.00000000	0.00000000
483.00000000	0.00000000
484.00000000	0.00000000
485.00000000	0.00000000
486.00000000	0.00000000
487.00000000	0.00000000
488.00000000	0.00013905
489.00000000	0.00078231
490.00000000	0.00000000
491.00000000	0.00060134
492.00000000	0.00007651
493.00000000	0.00042310
494.00000000	0.00000000
495.00000000	0.00000000
496.00000000	0.00071858
497.00000000	0.00033109
498.00000000	0.00000000
499.00000000	0.00000000
500.00000000	0.00000000
501.00000000	0.00000000
502.00000000	0.00000000
503.00000000	0.00000000
504.00000000	0.00000000
505.00000000	0.00000000
506.00000000	0.00000000
507.00000000	0.00000000
508.00000000	0.00000000
509.00000000	0.00013240
510.00000000	0.00010548
511.00000000	0.00000000
512.00000000	0.00000000
513.00000000	0.00000000
514.00000000	0.00000000
515.00000000	0.00000000
516.00000000	0.00000000
517.00000000	0.00000000
518.00000000	0.00065127
519.00000000	0.00000000
520.00000000	0.00000000
521.00000000	0.00000000
522.00000000	0.00018216
523.00000000	0.00052074
524.00000000	0.00000000
525.00000000	0.00000000
526.00000000	0.00022408
527.00000000	0.00000000
528.00000000	0.00000000
529.00000000	0.00044628
530.00000000	0.00000000
531.00000000	0.00000000
532.00000000	0.00007003
533.00000000	0.00047627
534.00000000	0.00028661
535.00000000	0.00006901
536.00000000	0.00020039
537.00000000	0.00104916
538.00000000	0.00000000
539.00000000	0.00117781
540.00000000	0.00093345
541.00000000	0.00099378
542.00000000	0.00168373
543.00000000	0.00295594
544.00000000	0.00218743
545.00000000	0.00290686
546.00000000	0.00433686
547.00000000	0.00350071
548.00000000	0.00376483
549.00000000	0.00539675
550.00000000	0.00525992
551.00000000	0.00634844
552.00000000	0.00713041
553.00000000	0.00778236
554.00000000	0.00880766
555.00000000	0.01034978
556.00000000	0.01276657
557.00000000	0.01432097
558.00000000	0.01638724
559.00000000	0.01886708
560.00000000	0.02280010
561.00000000	0.02518996
562.00000000	0.02956244
563.00000000	0.03356276
564.00000000	0.03886937
565.00000000	0.04252054
566.00000000	0.04814666
567.00000000	0.05426233
568.00000000	0.06252045
569.00000000	0.06880499
570.00000000	0.07788324
571.00000000	0.08449001
572.00000000	0.09711294
573.00000000	0.10643572
574.00000000	0.11868325
575.00000000	0.13190735
576.00000000	0.15010681
577.00000000	0.16094956
578.00000000	0.18169855
579.00000000	0.20120344
580.00000000	0.21892032
581.00000000	0.24349581
582.00000000	0.27139088
583.00000000	0.30493047
584.00000000	0.33988847
585.00000000	0.38189031
586.00000000	0.42317239
587.00000000	0.47796534
588.00000000	0.53430690
589.00000000	0.59101141
590.00000000	0.66339822
591.00000000	0.73715453
592.00000000	0.81370524
593.00000000	0.87868644
594.00000000	0.93671531
595.00000000	0.97110195
596.00000000	0.99955525
597.00000000	1.00000000
598.00000000	0.99192983
599.00000000	0.97104862
600.00000000	0.95468608
601.00000000	0.92808776
602.00000000	0.92086107
603.00000000	0.92639040
604.00000000	0.92999181
605.00000000	0.92156704
606.00000000	0.91436899
607.00000000	0.86696817
608.00000000	0.80727109
609.00000000	0.73489246
610.00000000	0.65673845
611.00000000	0.57393933
612.00000000	0.49379163
613.00000000	0.42028751
614.00000000	0.35226806
615.00000000	0.30624630
616.00000000	0.25371354
617.00000000	0.21149886
618.00000000	0.18177812
619.00000000	0.15011925
620.00000000	0.12886145
621.00000000	0.10742932
622.00000000	0.09224289
623.00000000	0.07678655
624.00000000	0.06431613
625.00000000	0.05449033
626.00000000	0.04535720
627.00000000	0.04021315
628.00000000	0.03404925
629.00000000	0.02947860
630.00000000	0.02514089
631.00000000	0.02096522
632.00000000	0.01875751
633.00000000	0.01341904
634.00000000	0.01125717
635.00000000	0.01110653
636.00000000	0.01026680
637.00000000	0.00812487
638.00000000	0.00649737
639.00000000	0.00538738
640.00000000	0.00501011
641.00000000	0.00655156
642.00000000	0.00315633
643.00000000	0.00294622
644.00000000	0.00334309
645.00000000	0.00342045
646.00000000	0.00204123
647.00000000	0.00294213
648.00000000	0.00191786
649.00000000	0.00044798
650.00000000	0.00174115
651.00000000	0.00050387
652.00000000	0.00148879
653.00000000	0.00196983
654.00000000	0.00000000
655.00000000	0.00250898
656.00000000	0.00279150
657.00000000	0.00138280
658.00000000	0.00136184
659.00000000	0.00067496
660.00000000	0.00108272
661.00000000	0.00106040
662.00000000	0.00082150
663.00000000	0.00129794
664.00000000	0.00049859
665.00000000	0.00000000
666.00000000	0.00071227
667.00000000	0.00000000
668.00000000	0.00131106
669.00000000	0.00006100
670.00000000	0.00109687
671.00000000	0.00000000
672.00000000	0.00012081
673.00000000	0.00000000
674.00000000	0.00000000
675.00000000	0.00000000
676.00000000	0.00074874
677.00000000	0.00000000
678.00000000	0.00000000
679.00000000	0.00000000
680.00000000	0.00000000
681.00000000	0.00020022
682.00000000	0.00000000
683.00000000	0.00049518
684.00000000	0.00135332
685.00000000	0.00000000
686.00000000	0.00000000
687.00000000	0.00207446
688.00000000	0.00000000
689.00000000	0.00000000
690.00000000	0.00000000
691.00000000	0.00180965
692.00000000	0.00181289
693.00000000	0.00194393
694.00000000	0.00182891
695.00000000	0.00081111
696.00000000	0.00152986
697.00000000	0.00000000
698.00000000	0.00000000
699.00000000	0.00228439
700.00000000	0.00000000
701.00000000	0.00000000
702.00000000	0.00290362
703.00000000	0.00088693
704.00000000	0.00000000
705.00000000	0.00000000
706.00000000	0.00000000
707.00000000	0.00000000
708.00000000	0.00000000
709.00000000	0.00000000
710.00000000	0.00000000
711.00000000	0.00000000
712.00000000	0.00000000
713.00000000	0.00000000
714.00000000	0.00091249
715.00000000	0.00000000
716.00000000	0.00027162
717.00000000	0.00000000
718.00000000	0.00000000
719.00000000	0.00000000
720.00000000	0.00000000
721.00000000	0.00000000
722.00000000	0.00000000
723.00000000	0.00091113
724.00000000	0.00000000
725.00000000	0.00210087
