#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/17
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1937	0.1307	0.0004
#xyY coordinates: 0.5965	0.4024	0.1307
#sRGB: 109	15	0
#CCT Lindbloom (K):	0
#CCT McCamy (K):	1627
#CCT Hernández-Andrés (K):	874
#Melatonin: 0.018
#Chlorophyll a: 0.004
#Chlorophyll b: 0.213
#Beta Carotene: 0.006
#Manufacturer: Kingbright
#Luminance manufacturer: 600mc
#Other data: Kingbright Yellow 590nm
#Begin Processed Spectral Data
W	S
475.00000000	0.00000000
476.00000000	0.00050934
477.00000000	0.00000071
478.00000000	0.00000440
479.00000000	0.00007465
480.00000000	0.00001839
481.00000000	0.00042345
482.00000000	0.00000000
483.00000000	0.00000000
484.00000000	0.00000068
485.00000000	0.00075671
486.00000000	0.00000000
487.00000000	0.00002533
488.00000000	0.00000578
489.00000000	0.00000000
490.00000000	0.00028898
491.00000000	0.00000000
492.00000000	0.00023986
493.00000000	0.00006247
494.00000000	0.00015317
495.00000000	0.00011876
496.00000000	0.00003993
497.00000000	0.00001805
498.00000000	0.00000000
499.00000000	0.00029526
500.00000000	0.00007906
501.00000000	0.00017569
502.00000000	0.00000000
503.00000000	0.00000000
504.00000000	0.00002001
505.00000000	0.00065244
506.00000000	0.00000011
507.00000000	0.00007697
508.00000000	0.00000000
509.00000000	0.00000000
510.00000000	0.00000000
511.00000000	0.00000000
512.00000000	0.00008840
513.00000000	0.00002943
514.00000000	0.00000000
515.00000000	0.00049385
516.00000000	0.00012723
517.00000000	0.00000000
518.00000000	0.00000103
519.00000000	0.00017806
520.00000000	0.00023143
521.00000000	0.00065829
522.00000000	0.00000094
523.00000000	0.00012658
524.00000000	0.00000488
525.00000000	0.00021162
526.00000000	0.00034547
527.00000000	0.00000764
528.00000000	0.00004888
529.00000000	0.00041277
530.00000000	0.00000084
531.00000000	0.00000000
532.00000000	0.00073739
533.00000000	0.00074122
534.00000000	0.00025314
535.00000000	0.00028721
536.00000000	0.00014785
537.00000000	0.00095245
538.00000000	0.00111235
539.00000000	0.00110457
540.00000000	0.00118051
541.00000000	0.00143079
542.00000000	0.00173007
543.00000000	0.00158774
544.00000000	0.00081256
545.00000000	0.00183777
546.00000000	0.00202093
547.00000000	0.00167294
548.00000000	0.00256088
549.00000000	0.00362546
550.00000000	0.00288635
551.00000000	0.00451737
552.00000000	0.00442391
553.00000000	0.00455141
554.00000000	0.00558440
555.00000000	0.00624874
556.00000000	0.00777185
557.00000000	0.00895506
558.00000000	0.00960592
559.00000000	0.01172406
560.00000000	0.01328190
561.00000000	0.01560833
562.00000000	0.01727029
563.00000000	0.02085750
564.00000000	0.02290787
565.00000000	0.02647902
566.00000000	0.03053574
567.00000000	0.03246417
568.00000000	0.03879444
569.00000000	0.04410076
570.00000000	0.04980953
571.00000000	0.05432975
572.00000000	0.06556392
573.00000000	0.07087850
574.00000000	0.07891345
575.00000000	0.08780353
576.00000000	0.09983162
577.00000000	0.11677774
578.00000000	0.13035982
579.00000000	0.14774894
580.00000000	0.16553492
581.00000000	0.18780997
582.00000000	0.21310626
583.00000000	0.24889698
584.00000000	0.28603351
585.00000000	0.32284072
586.00000000	0.37043559
587.00000000	0.41415897
588.00000000	0.47329669
589.00000000	0.53462252
590.00000000	0.60482952
591.00000000	0.67350793
592.00000000	0.75362711
593.00000000	0.81978917
594.00000000	0.89728142
595.00000000	0.96566189
596.00000000	0.99764936
597.00000000	1.00000000
598.00000000	0.95279174
599.00000000	0.88152858
