#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0180	0.0068	0.0000
#xyY coordinates: 0.7235	0.2754	0.0068
#sRGB: 12	0	0
#CCT Lindbloom (K):	---
#CCT McCamy (K):	5554
#CCT Hernández-Andrés (K):	---
#Melatonin: 0.015
#Chlorophyll a: 22.070
#Chlorophyll b: 1.691
#Beta Carotene: 21.681
#Manufacturer: Umknowm
#Luminance manufacturer: Unknown
#Other data: 
#Begin Processed Spectral Data
W	S
475.00000000	0.00000000
476.00000000	0.00000000
477.00000000	0.00000000
478.00000000	0.00000000
479.00000000	0.00000000
480.00000000	0.00000000
481.00000000	0.00000000
482.00000000	0.00015610
483.00000000	0.00000000
484.00000000	0.00000000
485.00000000	0.00000000
486.00000000	0.00000000
487.00000000	0.00000000
488.00000000	0.00000000
489.00000000	0.00016547
490.00000000	0.00000000
491.00000000	0.00000000
492.00000000	0.00041736
493.00000000	0.00000000
494.00000000	0.00000000
495.00000000	0.00044130
496.00000000	0.00000000
497.00000000	0.00011991
498.00000000	0.00000000
499.00000000	0.00000000
500.00000000	0.00000000
501.00000000	0.00004269
502.00000000	0.00000000
503.00000000	0.00000000
504.00000000	0.00000000
505.00000000	0.00027358
506.00000000	0.00018135
507.00000000	0.00000000
508.00000000	0.00011271
509.00000000	0.00000000
510.00000000	0.00036963
511.00000000	0.00000000
512.00000000	0.00000000
513.00000000	0.00000000
514.00000000	0.00000000
515.00000000	0.00000000
516.00000000	0.00000000
517.00000000	0.00000000
518.00000000	0.00007384
519.00000000	0.00000000
520.00000000	0.00000000
521.00000000	0.00049588
522.00000000	0.00000000
523.00000000	0.00000000
524.00000000	0.00040183
525.00000000	0.00000000
526.00000000	0.00000000
527.00000000	0.00010603
528.00000000	0.00000000
529.00000000	0.00001926
530.00000000	0.00000000
531.00000000	0.00000000
532.00000000	0.00003098
533.00000000	0.00002612
534.00000000	0.00000000
535.00000000	0.00000000
536.00000000	0.00027367
537.00000000	0.00000000
538.00000000	0.00005970
539.00000000	0.00010768
540.00000000	0.00000000
541.00000000	0.00000000
542.00000000	0.00000000
543.00000000	0.00084296
544.00000000	0.00000000
545.00000000	0.00000000
546.00000000	0.00043584
547.00000000	0.00000000
548.00000000	0.00000000
549.00000000	0.00000000
550.00000000	0.00000000
551.00000000	0.00000000
552.00000000	0.00000000
553.00000000	0.00000000
554.00000000	0.00000000
555.00000000	0.00000000
556.00000000	0.00000000
557.00000000	0.00000000
558.00000000	0.00000000
559.00000000	0.00000000
560.00000000	0.00000000
561.00000000	0.00000000
562.00000000	0.00000000
563.00000000	0.00000000
564.00000000	0.00011106
565.00000000	0.00000000
566.00000000	0.00000000
567.00000000	0.00000000
568.00000000	0.00000000
569.00000000	0.00000000
570.00000000	0.00030083
571.00000000	0.00000000
572.00000000	0.00000000
573.00000000	0.00028911
574.00000000	0.00000000
575.00000000	0.00026525
576.00000000	0.00059818
577.00000000	0.00000000
578.00000000	0.00002351
579.00000000	0.00000000
580.00000000	0.00000000
581.00000000	0.00000000
582.00000000	0.00000000
583.00000000	0.00000000
584.00000000	0.00000000
585.00000000	0.00000000
586.00000000	0.00000000
587.00000000	0.00033258
588.00000000	0.00000000
589.00000000	0.00050942
590.00000000	0.00060582
591.00000000	0.00033441
592.00000000	0.00039705
593.00000000	0.00036998
594.00000000	0.00038456
595.00000000	0.00000000
596.00000000	0.00024000
597.00000000	0.00028156
598.00000000	0.00100174
599.00000000	0.00088218
600.00000000	0.00079697
601.00000000	0.00192496
602.00000000	0.00069111
603.00000000	0.00129997
604.00000000	0.00160912
605.00000000	0.00147776
606.00000000	0.00122040
607.00000000	0.00232496
608.00000000	0.00291412
609.00000000	0.00140895
610.00000000	0.00291256
611.00000000	0.00252479
612.00000000	0.00286362
613.00000000	0.00406580
614.00000000	0.00481210
615.00000000	0.00449852
616.00000000	0.00523952
617.00000000	0.00515440
618.00000000	0.00557471
619.00000000	0.00762088
620.00000000	0.00781932
621.00000000	0.00752439
622.00000000	0.00863486
623.00000000	0.01064598
624.00000000	0.01009760
625.00000000	0.01077795
626.00000000	0.01301641
