#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/17
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.6250	0.4680	0.0054
#xyY coordinates: 0.5690	0.4261	0.4680
#sRGB: 255	53	0
#CCT Lindbloom (K):	1766
#CCT McCamy (K):	1789
#CCT Hernández-Andrés (K):	1354
#Melatonin: 0.037
#Chlorophyll a: 0.142
#Chlorophyll b: 0.337
#Beta Carotene: 0.143
#Manufacturer: Wave Tecnica Canaria
#Luminance manufacturer: Unknown
#Other data: La Palma streetlight
#Begin Processed Spectral Data
W	S
475.00000000	0.00342848
476.00000000	0.00344990
477.00000000	0.00356824
478.00000000	0.00213262
479.00000000	0.00198187
480.00000000	0.00068677
481.00000000	0.00150231
482.00000000	0.00224579
483.00000000	0.00176555
484.00000000	0.00201900
485.00000000	0.00058730
486.00000000	0.00217325
487.00000000	0.00130500
488.00000000	0.00198594
489.00000000	0.00105471
490.00000000	0.00060475
491.00000000	0.00147270
492.00000000	0.00066199
493.00000000	0.00060393
494.00000000	0.00103611
495.00000000	0.00106918
496.00000000	0.00132288
497.00000000	0.00128111
498.00000000	0.00178129
499.00000000	0.00123319
500.00000000	0.00152178
501.00000000	0.00150440
502.00000000	0.00143307
503.00000000	0.00203567
504.00000000	0.00193413
505.00000000	0.00212878
506.00000000	0.00235623
507.00000000	0.00278752
508.00000000	0.00314261
509.00000000	0.00291612
510.00000000	0.00369292
511.00000000	0.00405944
512.00000000	0.00409388
513.00000000	0.00461029
514.00000000	0.00520915
515.00000000	0.00580062
516.00000000	0.00724811
517.00000000	0.00806816
518.00000000	0.00998209
519.00000000	0.01046673
520.00000000	0.01166850
521.00000000	0.01293610
522.00000000	0.01451849
523.00000000	0.01661519
524.00000000	0.01880355
525.00000000	0.02052569
526.00000000	0.02387501
527.00000000	0.02577362
