#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/27
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.6756	0.5585	0.0029
#xyY coordinates: 0.5462	0.4515	0.5585
#sRGB: 255	75	0
#CCT Lindbloom (K):	2071
#CCT McCamy (K):	2075
#CCT Hernández-Andrés (K):	1822
#Melatonin: 0.042
#Chlorophyll a: 0.164
#Chlorophyll b: 0.298
#Beta Carotene: 0.165
#Manufacturer: Philips
#Luminance manufacturer: Unknown
#Other data: New lamp with amber filter to transform 3000K into PC Amber.
#Begin Processed Spectral Data
W	S
475.00000000	0.00099007
476.00000000	0.00037023
477.00000000	0.00035022
478.00000000	0.00000549
479.00000000	0.00014096
480.00000000	0.00116943
481.00000000	0.00017384
482.00000000	0.00094972
483.00000000	0.00000838
484.00000000	0.00019614
485.00000000	0.00050863
486.00000000	0.00099006
487.00000000	0.00049892
488.00000000	0.00047623
489.00000000	0.00004416
490.00000000	0.00054699
491.00000000	0.00123432
492.00000000	0.00034109
493.00000000	0.00106444
494.00000000	0.00159607
495.00000000	0.00059347
496.00000000	0.00092038
497.00000000	0.00134974
498.00000000	0.00199487
499.00000000	0.00178361
500.00000000	0.00209905
501.00000000	0.00248511
502.00000000	0.00302670
503.00000000	0.00347269
504.00000000	0.00284566
505.00000000	0.00383636
506.00000000	0.00478122
507.00000000	0.00513725
508.00000000	0.00510150
509.00000000	0.00598625
510.00000000	0.00657346
511.00000000	0.00813571
512.00000000	0.00753126
513.00000000	0.01071459
514.00000000	0.01031515
515.00000000	0.01346597
516.00000000	0.01370476
517.00000000	0.01613952
518.00000000	0.01920294
519.00000000	0.02121120
520.00000000	0.02387636
521.00000000	0.02793312
522.00000000	0.03063949
523.00000000	0.03647696
524.00000000	0.04104531
525.00000000	0.04674066
526.00000000	0.05247787
527.00000000	0.05966024
528.00000000	0.06931064
529.00000000	0.07798572
530.00000000	0.08681834
531.00000000	0.09876444
532.00000000	0.10952624
533.00000000	0.12235589
534.00000000	0.13954426
535.00000000	0.15341044
536.00000000	0.16922907
537.00000000	0.18260233
538.00000000	0.20247987
539.00000000	0.22069026
540.00000000	0.24166344
541.00000000	0.26062918
542.00000000	0.28481075
543.00000000	0.30808057
544.00000000	0.32462679
545.00000000	0.34888367
