#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/06/28
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.7072	0.5759	0.1032
#xyY coordinates: 0.5101	0.4154	0.5759
#sRGB: 255	75	6
#CCT Lindbloom (K):	2159
#CCT McCamy (K):	2139
#CCT Hernández-Andrés (K):	1922
#Melatonin: 0.181
#Chlorophyll a: 0.612
#Chlorophyll b: 0.519
#Beta Carotene: 0.611
#Manufacturer: Ignialight
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.00000000	0.03592289
476.00000000	0.03513647
477.00000000	0.03493561
478.00000000	0.03472557
479.00000000	0.03512933
480.00000000	0.03548868
481.00000000	0.03662429
482.00000000	0.03743077
483.00000000	0.03815945
484.00000000	0.03900202
485.00000000	0.04050210
486.00000000	0.04276069
487.00000000	0.04402228
488.00000000	0.04617976
489.00000000	0.04870888
490.00000000	0.05124387
491.00000000	0.05458451
492.00000000	0.05745111
493.00000000	0.06196396
494.00000000	0.06641514
495.00000000	0.07078434
496.00000000	0.07588077
497.00000000	0.08158343
498.00000000	0.08716539
499.00000000	0.09337401
500.00000000	0.09966223
501.00000000	0.10669185
502.00000000	0.11345794
503.00000000	0.12102903
504.00000000	0.12698373
505.00000000	0.13474502
506.00000000	0.14193918
507.00000000	0.14943698
508.00000000	0.15732868
509.00000000	0.16481647
510.00000000	0.17341268
511.00000000	0.18242230
512.00000000	0.19086178
513.00000000	0.19756897
514.00000000	0.20632763
515.00000000	0.21347885
516.00000000	0.22125597
517.00000000	0.22811738
518.00000000	0.23521241
519.00000000	0.24142558
520.00000000	0.24882959
521.00000000	0.25475874
522.00000000	0.26263979
523.00000000	0.27021618
524.00000000	0.27951824
525.00000000	0.28455575
526.00000000	0.29219538
527.00000000	0.29869443
528.00000000	0.30753347
529.00000000	0.31313938
