#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.8060	0.7209	0.4103
#xyY coordinates: 0.4160	0.3722	0.7209
#sRGB: 255	116	65
#CCT Lindbloom (K):	2973
#CCT McCamy (K):	3119
#CCT Hernández-Andrés (K):	3106
#Melatonin: 0.414
#Chlorophyll a: 0.175
#Chlorophyll b: 0.731
#Beta Carotene: 0.176
#Manufacturer: Philips
#Luminance manufacturer: Unknown
#Other data: Madrid streetlamp tested in laboratory
#Begin Processed Spectral Data
W	S
475.00000000	0.12054356
476.00000000	0.11342124
477.00000000	0.11294549
478.00000000	0.10411121
479.00000000	0.10272303
480.00000000	0.10153037
481.00000000	0.10307444
482.00000000	0.09895093
483.00000000	0.10174460
484.00000000	0.09908281
485.00000000	0.10127861
486.00000000	0.10235139
487.00000000	0.10182777
488.00000000	0.10485519
489.00000000	0.10712929
490.00000000	0.10879770
491.00000000	0.11320897
492.00000000	0.12084473
493.00000000	0.12437553
494.00000000	0.13469651
495.00000000	0.13356540
496.00000000	0.14367914
497.00000000	0.15704289
498.00000000	0.16060412
499.00000000	0.17400765
500.00000000	0.18397457
501.00000000	0.19374682
502.00000000	0.20615642
503.00000000	0.21575156
504.00000000	0.22514141
505.00000000	0.24099013
506.00000000	0.24462058
507.00000000	0.25957599
508.00000000	0.27217887
509.00000000	0.28222590
510.00000000	0.29191636
511.00000000	0.30424725
512.00000000	0.31923239
513.00000000	0.32334068
514.00000000	0.34102947
515.00000000	0.35443537
516.00000000	0.36264568
517.00000000	0.37126615
518.00000000	0.37768957
519.00000000	0.39036377
520.00000000	0.39733132
521.00000000	0.41008758
522.00000000	0.42204474
523.00000000	0.43206539
524.00000000	0.43896400
525.00000000	0.45136788
526.00000000	0.46200719
527.00000000	0.46646341
528.00000000	0.47576310
529.00000000	0.48706769
530.00000000	0.49327186
531.00000000	0.49957568
532.00000000	0.51120515
533.00000000	0.51361266
534.00000000	0.52091263
535.00000000	0.52877001
536.00000000	0.53987642
537.00000000	0.54448321
538.00000000	0.55050205
539.00000000	0.56142885
540.00000000	0.56866938
541.00000000	0.57946486
542.00000000	0.58605393
543.00000000	0.59444678
544.00000000	0.59654880
545.00000000	0.61299287
546.00000000	0.61586594
547.00000000	0.62706306
548.00000000	0.63156296
549.00000000	0.64664997
550.00000000	0.65488498
551.00000000	0.66408518
552.00000000	0.67219696
553.00000000	0.68501728
554.00000000	0.68658940
555.00000000	0.70568450
556.00000000	0.71223575
557.00000000	0.72597576
558.00000000	0.73542939
559.00000000	0.75249072
560.00000000	0.76496131
561.00000000	0.77625068
562.00000000	0.78184931
563.00000000	0.78742310
564.00000000	0.79454333
565.00000000	0.80714203
566.00000000	0.81747236
567.00000000	0.83341193
568.00000000	0.83732470
569.00000000	0.85280401
570.00000000	0.85649015
571.00000000	0.86293031
572.00000000	0.86954185
573.00000000	0.87918765
574.00000000	0.88856522
575.00000000	0.89695277
576.00000000	0.89728283
577.00000000	0.91269934
578.00000000	0.91539545
579.00000000	0.91865803
580.00000000	0.92523482
581.00000000	0.93121974
582.00000000	0.93998870
583.00000000	0.95265663
584.00000000	0.95869347
585.00000000	0.97114703
586.00000000	0.97415519
587.00000000	0.98525365
588.00000000	0.97892373
589.00000000	0.98284112
590.00000000	0.98590175
591.00000000	0.98628861
592.00000000	0.98940172
593.00000000	0.99962054
594.00000000	0.99527011
595.00000000	0.99050743
596.00000000	0.98448148
597.00000000	0.98810495
598.00000000	0.99428177
599.00000000	1.00000000
600.00000000	0.99303217
601.00000000	0.98529691
602.00000000	0.99006015
603.00000000	0.99617584
604.00000000	0.98506231
605.00000000	0.97058210
606.00000000	0.96970707
607.00000000	0.95561064
608.00000000	0.94278390
609.00000000	0.93343689
610.00000000	0.93197224
611.00000000	0.92168252
612.00000000	0.92222205
613.00000000	0.91502953
614.00000000	0.91376472
615.00000000	0.90735623
616.00000000	0.90342448
617.00000000	0.89796052
618.00000000	0.89953696
619.00000000	0.89361553
620.00000000	0.88674735
621.00000000	0.87183995
622.00000000	0.86126692
623.00000000	0.85096367
624.00000000	0.83786591
625.00000000	0.82461533
626.00000000	0.81664939
627.00000000	0.80634432
628.00000000	0.79603310
629.00000000	0.78418620
630.00000000	0.77414210
631.00000000	0.75826938
632.00000000	0.73890451
633.00000000	0.73462051
634.00000000	0.72496661
635.00000000	0.71255339
636.00000000	0.69317330
637.00000000	0.68585979
638.00000000	0.67740511
639.00000000	0.65849869
640.00000000	0.64699551
641.00000000	0.63483237
642.00000000	0.62723514
643.00000000	0.60709586
644.00000000	0.59988785
645.00000000	0.58838384
646.00000000	0.58386929
647.00000000	0.56301660
648.00000000	0.54918993
649.00000000	0.54399169
650.00000000	0.52951566
651.00000000	0.51680057
652.00000000	0.51361000
653.00000000	0.49787572
654.00000000	0.48878397
655.00000000	0.47848043
656.00000000	0.47029663
657.00000000	0.46257715
658.00000000	0.44032553
659.00000000	0.44049146
660.00000000	0.42422937
661.00000000	0.42069661
662.00000000	0.40926517
663.00000000	0.39707370
664.00000000	0.39198431
665.00000000	0.38508515
666.00000000	0.37200162
667.00000000	0.36457883
668.00000000	0.35264610
669.00000000	0.34904552
670.00000000	0.33885349
671.00000000	0.33532156
672.00000000	0.32911851
673.00000000	0.31841793
674.00000000	0.30280423
675.00000000	0.30178448
676.00000000	0.29481204
677.00000000	0.28263858
678.00000000	0.27508097
679.00000000	0.27057787
680.00000000	0.26506200
681.00000000	0.25585022
682.00000000	0.25382566
683.00000000	0.23643874
684.00000000	0.23976677
685.00000000	0.23542345
686.00000000	0.22179314
687.00000000	0.22335842
688.00000000	0.21261347
689.00000000	0.20645186
690.00000000	0.20599271
691.00000000	0.19975016
692.00000000	0.19735438
693.00000000	0.18827113
694.00000000	0.18487263
695.00000000	0.17559624
696.00000000	0.17419201
697.00000000	0.16418936
698.00000000	0.16453644
699.00000000	0.15927707
700.00000000	0.15570119
701.00000000	0.15650936
702.00000000	0.14878639
703.00000000	0.14657454
704.00000000	0.13727833
705.00000000	0.13899000
706.00000000	0.13475150
707.00000000	0.12781228
708.00000000	0.12523953
709.00000000	0.11948502
710.00000000	0.12071731
711.00000000	0.11647783
712.00000000	0.11162025
713.00000000	0.10620876
714.00000000	0.10487082
715.00000000	0.10521316
716.00000000	0.09972101
717.00000000	0.09549660
718.00000000	0.09284180
719.00000000	0.09075834
720.00000000	0.09330680
721.00000000	0.08865047
722.00000000	0.08843694
723.00000000	0.08370580
724.00000000	0.08155968
725.00000000	0.07899434
