#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.7866	0.7148	0.3125
#xyY coordinates: 0.4337	0.3941	0.7148
#sRGB: 255	116	45
#CCT Lindbloom (K):	3107
#CCT McCamy (K):	2977
#CCT Hernández-Andrés (K):	2932
#Melatonin: 0.341
#Chlorophyll a: 0.174
#Chlorophyll b: 0.617
#Beta Carotene: 0.175
#Manufacturer: Philips
#Luminance manufacturer: Unknown
#Other data: Madrid streetlamp tested in laboratory
#Begin Processed Spectral Data
W	S
475.00000000	0.09666724
476.00000000	0.09791866
477.00000000	0.09026396
478.00000000	0.08831282
479.00000000	0.08479173
480.00000000	0.08489851
481.00000000	0.08336896
482.00000000	0.08682382
483.00000000	0.08415061
484.00000000	0.08691547
485.00000000	0.08762463
486.00000000	0.08932054
487.00000000	0.09045933
488.00000000	0.09545999
489.00000000	0.09602196
490.00000000	0.10078363
491.00000000	0.10569431
492.00000000	0.11211287
493.00000000	0.11582989
494.00000000	0.12163525
495.00000000	0.13101474
496.00000000	0.13912046
497.00000000	0.14728061
498.00000000	0.15635642
499.00000000	0.16744014
500.00000000	0.17816617
501.00000000	0.18668278
502.00000000	0.19420917
503.00000000	0.20829785
504.00000000	0.21594186
505.00000000	0.23169103
506.00000000	0.23767843
507.00000000	0.25140579
508.00000000	0.25908035
509.00000000	0.27363088
510.00000000	0.28555138
511.00000000	0.29932373
512.00000000	0.31033067
513.00000000	0.31816298
514.00000000	0.33099955
515.00000000	0.34553605
516.00000000	0.35393282
517.00000000	0.36259551
518.00000000	0.37102395
519.00000000	0.38513651
520.00000000	0.39074510
521.00000000	0.40186021
522.00000000	0.41198802
523.00000000	0.42239272
524.00000000	0.43512236
525.00000000	0.44547555
526.00000000	0.44950945
527.00000000	0.46516948
528.00000000	0.47063115
529.00000000	0.47996871
530.00000000	0.48712351
531.00000000	0.49334572
532.00000000	0.50051011
533.00000000	0.50507432
534.00000000	0.51154218
535.00000000	0.52423586
536.00000000	0.53119598
537.00000000	0.54159360
538.00000000	0.54687086
539.00000000	0.55819163
540.00000000	0.56089872
541.00000000	0.57505530
542.00000000	0.57971213
543.00000000	0.59365195
544.00000000	0.59469438
545.00000000	0.60383878
546.00000000	0.61421321
547.00000000	0.62147771
548.00000000	0.63089289
549.00000000	0.63808546
550.00000000	0.64516944
551.00000000	0.65480472
552.00000000	0.66448678
553.00000000	0.68057131
554.00000000	0.69116361
555.00000000	0.69576657
556.00000000	0.71040013
557.00000000	0.72319046
558.00000000	0.74056750
559.00000000	0.73920889
560.00000000	0.75660106
561.00000000	0.76397096
562.00000000	0.77404725
563.00000000	0.78642683
564.00000000	0.79504231
565.00000000	0.80670814
566.00000000	0.81847215
567.00000000	0.83029393
568.00000000	0.83826620
569.00000000	0.84477127
570.00000000	0.84765347
571.00000000	0.86020982
572.00000000	0.87234042
573.00000000	0.87984626
574.00000000	0.88471430
575.00000000	0.89048924
576.00000000	0.89948603
577.00000000	0.91192393
578.00000000	0.91405003
579.00000000	0.91935965
580.00000000	0.92940109
581.00000000	0.92771588
582.00000000	0.94110192
583.00000000	0.94779515
584.00000000	0.95747833
585.00000000	0.96703598
586.00000000	0.97708533
587.00000000	0.97528445
588.00000000	0.98223123
589.00000000	0.97735208
590.00000000	0.98763584
591.00000000	0.98541045
592.00000000	0.98358888
593.00000000	0.99281465
594.00000000	0.99415715
595.00000000	0.99021392
596.00000000	0.99263677
597.00000000	0.98744810
598.00000000	0.99542065
599.00000000	0.99531942
600.00000000	1.00000000
601.00000000	0.99975102
602.00000000	0.99122303
603.00000000	0.99161531
604.00000000	0.99113652
605.00000000	0.96787775
606.00000000	0.95926019
607.00000000	0.95188432
608.00000000	0.94908350
609.00000000	0.94308527
610.00000000	0.93554429
611.00000000	0.93167369
612.00000000	0.91716662
613.00000000	0.91748739
614.00000000	0.91040494
615.00000000	0.91974332
616.00000000	0.90693828
617.00000000	0.90052818
618.00000000	0.89838515
619.00000000	0.89520287
620.00000000	0.88959081
621.00000000	0.87251108
622.00000000	0.85313375
623.00000000	0.85486007
624.00000000	0.83678719
625.00000000	0.83015215
626.00000000	0.81466500
627.00000000	0.80594135
628.00000000	0.79930617
629.00000000	0.77669630
630.00000000	0.77586077
631.00000000	0.75787636
632.00000000	0.73806342
633.00000000	0.73854013
634.00000000	0.72207013
635.00000000	0.70823737
636.00000000	0.69797154
637.00000000	0.67183044
638.00000000	0.66924610
639.00000000	0.65110005
640.00000000	0.65242242
641.00000000	0.62555591
642.00000000	0.61993774
643.00000000	0.61570846
644.00000000	0.60200318
645.00000000	0.58558372
646.00000000	0.57479868
647.00000000	0.56783204
648.00000000	0.55309391
649.00000000	0.54810395
650.00000000	0.53059374
651.00000000	0.52022126
652.00000000	0.50649306
653.00000000	0.49490152
654.00000000	0.48985671
655.00000000	0.47687100
656.00000000	0.46212593
657.00000000	0.46120306
658.00000000	0.44435550
659.00000000	0.44024244
660.00000000	0.42696901
661.00000000	0.41548481
662.00000000	0.40677518
663.00000000	0.39110766
664.00000000	0.38765447
665.00000000	0.38257578
666.00000000	0.36742940
667.00000000	0.36270410
668.00000000	0.35043089
669.00000000	0.34532415
670.00000000	0.33556571
671.00000000	0.32909021
672.00000000	0.32191139
673.00000000	0.31713721
674.00000000	0.30561843
675.00000000	0.29910364
676.00000000	0.28805115
677.00000000	0.28929465
678.00000000	0.28285734
679.00000000	0.27001980
680.00000000	0.26643442
681.00000000	0.25220757
682.00000000	0.25154410
683.00000000	0.24674562
684.00000000	0.23823846
685.00000000	0.22905906
686.00000000	0.22606453
687.00000000	0.22082934
688.00000000	0.21221969
689.00000000	0.20543287
690.00000000	0.19614642
691.00000000	0.19370941
692.00000000	0.19446232
693.00000000	0.18829551
694.00000000	0.18230075
695.00000000	0.17628488
696.00000000	0.17295014
697.00000000	0.16720075
698.00000000	0.16363119
699.00000000	0.15834379
700.00000000	0.15477562
701.00000000	0.15585818
702.00000000	0.15038915
703.00000000	0.14550681
704.00000000	0.13984948
705.00000000	0.13639198
706.00000000	0.12850955
707.00000000	0.12409044
708.00000000	0.12512829
709.00000000	0.12306690
710.00000000	0.11782407
711.00000000	0.11540026
712.00000000	0.11483454
713.00000000	0.10843278
714.00000000	0.10365541
715.00000000	0.09847521
716.00000000	0.09750110
717.00000000	0.09975454
718.00000000	0.09658837
719.00000000	0.09717353
720.00000000	0.08807218
721.00000000	0.08073644
722.00000000	0.08384762
723.00000000	0.08844113
724.00000000	0.07962278
725.00000000	0.07440855
