#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0281	0.0208	0.0001
#xyY coordinates: 0.5735	0.4247	0.0208
#sRGB: 15	3	0
#CCT Lindbloom (K):	1701
#CCT McCamy (K):	1761
#CCT Hernández-Andrés (K):	1298
#Melatonin: 0.020
#Chlorophyll a: 0.012
#Chlorophyll b: 0.207
#Beta Carotene: 0.013
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.00000000	0.00000000
476.00000000	0.00000000
477.00000000	0.00000000
478.00000000	0.00000000
479.00000000	0.00137384
480.00000000	0.00045057
481.00000000	0.00000000
482.00000000	0.00000000
483.00000000	0.00000000
484.00000000	0.00041630
485.00000000	0.00000000
486.00000000	0.00000000
487.00000000	0.00018272
488.00000000	0.00000000
489.00000000	0.00000000
490.00000000	0.00000000
491.00000000	0.00000000
492.00000000	0.00000000
493.00000000	0.00000000
494.00000000	0.00000000
495.00000000	0.00000000
496.00000000	0.00000000
497.00000000	0.00000000
498.00000000	0.00064158
499.00000000	0.00066840
500.00000000	0.00000000
501.00000000	0.00000000
502.00000000	0.00000000
503.00000000	0.00000000
504.00000000	0.00000000
505.00000000	0.00000000
506.00000000	0.00000000
507.00000000	0.00000000
508.00000000	0.00000000
509.00000000	0.00000000
510.00000000	0.00000000
511.00000000	0.00000000
512.00000000	0.00000000
513.00000000	0.00000000
514.00000000	0.00000000
515.00000000	0.00000000
516.00000000	0.00000000
517.00000000	0.00000000
518.00000000	0.00000000
519.00000000	0.00040386
520.00000000	0.00000000
521.00000000	0.00000000
522.00000000	0.00000000
523.00000000	0.00000000
524.00000000	0.00000000
525.00000000	0.00000000
526.00000000	0.00000000
527.00000000	0.00000000
528.00000000	0.00000000
529.00000000	0.00000000
530.00000000	0.00000000
531.00000000	0.00000000
532.00000000	0.00000000
533.00000000	0.00000000
534.00000000	0.00000000
535.00000000	0.00000000
536.00000000	0.00000000
537.00000000	0.00019267
538.00000000	0.00000000
539.00000000	0.00000000
540.00000000	0.00000000
541.00000000	0.00000000
542.00000000	0.00000000
543.00000000	0.00000000
544.00000000	0.00000000
545.00000000	0.00000000
546.00000000	0.00000000
547.00000000	0.00000000
548.00000000	0.00000000
549.00000000	0.00000000
550.00000000	0.00000000
551.00000000	0.00000000
552.00000000	0.00000000
553.00000000	0.00000000
554.00000000	0.00026039
555.00000000	0.00000000
556.00000000	0.00000000
557.00000000	0.00032563
558.00000000	0.00000000
559.00000000	0.00000000
560.00000000	0.00000000
561.00000000	0.00000000
562.00000000	0.00000000
563.00000000	0.00000000
564.00000000	0.00000000
565.00000000	0.00000000
566.00000000	0.00000000
567.00000000	0.00000000
568.00000000	0.00277062
569.00000000	0.00779106
570.00000000	0.00327924
571.00000000	0.00057884
572.00000000	0.00000000
573.00000000	0.00000000
574.00000000	0.00000000
575.00000000	0.00070433
576.00000000	0.00083950
577.00000000	0.00000000
578.00000000	0.00000000
579.00000000	0.00038755
580.00000000	0.00015507
581.00000000	0.00000000
582.00000000	0.00083619
583.00000000	0.00052244
584.00000000	0.00000000
585.00000000	0.00118670
586.00000000	0.00140645
587.00000000	0.00420195
588.00000000	0.08746912
589.00000000	0.96088410
590.00000000	1.00000000
591.00000000	0.42171374
592.00000000	0.17777548
593.00000000	0.04694732
594.00000000	0.00978989
595.00000000	0.00356672
596.00000000	0.00323390
597.00000000	0.00074994
598.00000000	0.00036405
599.00000000	0.00069659
600.00000000	0.00111538
601.00000000	0.00000000
602.00000000	0.00000000
603.00000000	0.00000000
604.00000000	0.00059791
605.00000000	0.00000000
606.00000000	0.00000000
607.00000000	0.00000000
608.00000000	0.00000000
609.00000000	0.00000000
610.00000000	0.00000000
611.00000000	0.00000000
612.00000000	0.00000000
613.00000000	0.00000000
614.00000000	0.00158364
615.00000000	0.00093902
616.00000000	0.00205108
617.00000000	0.00168758
618.00000000	0.00000000
619.00000000	0.00000000
620.00000000	0.00125801
621.00000000	0.00000000
622.00000000	0.00000000
623.00000000	0.00000000
624.00000000	0.00000000
625.00000000	0.00000000
626.00000000	0.00000000
