#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1358	0.1320	0.0782
#xyY coordinates: 0.3924	0.3815	0.1320
#sRGB: 50	30	16
#CCT Lindbloom (K):	3723
#CCT McCamy (K):	3738
#CCT Hernández-Andrés (K):	3733
#Melatonin: 0.512
#Chlorophyll a: 0.132
#Chlorophyll b: 0.782
#Beta Carotene: 0.134
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.00000000	0.02331548
476.00000000	0.02362875
477.00000000	0.02040180
478.00000000	0.01760737
479.00000000	0.01824200
480.00000000	0.01552487
481.00000000	0.01807627
482.00000000	0.01790220
483.00000000	0.01732315
484.00000000	0.01608699
485.00000000	0.01662208
486.00000000	0.01770565
487.00000000	0.01579444
488.00000000	0.02086362
489.00000000	0.01905448
490.00000000	0.02049351
491.00000000	0.01915503
492.00000000	0.02111753
493.00000000	0.01950216
494.00000000	0.01858053
495.00000000	0.01996196
496.00000000	0.02143484
497.00000000	0.03494265
498.00000000	0.07290382
499.00000000	0.07850708
500.00000000	0.05201720
501.00000000	0.03511773
502.00000000	0.02293147
503.00000000	0.02125269
504.00000000	0.02044652
505.00000000	0.02010874
506.00000000	0.02022319
507.00000000	0.01933087
508.00000000	0.02071507
509.00000000	0.01959386
510.00000000	0.02053418
511.00000000	0.01973307
512.00000000	0.02066934
513.00000000	0.02107003
514.00000000	0.02463930
515.00000000	0.03216540
516.00000000	0.03471755
517.00000000	0.02817422
518.00000000	0.02542753
519.00000000	0.02615412
520.00000000	0.02849936
521.00000000	0.02971228
522.00000000	0.03113362
523.00000000	0.02797842
524.00000000	0.02874947
525.00000000	0.02546139
526.00000000	0.02365907
527.00000000	0.02318815
528.00000000	0.02435079
529.00000000	0.02444325
530.00000000	0.02782027
531.00000000	0.03281493
532.00000000	0.03981174
533.00000000	0.05758661
534.00000000	0.18370261
535.00000000	0.75340613
536.00000000	1.00000000
537.00000000	0.76110655
538.00000000	0.62434235
539.00000000	0.43775613
540.00000000	0.28098753
541.00000000	0.17158987
542.00000000	0.09467416
543.00000000	0.05508979
544.00000000	0.03622175
545.00000000	0.04017024
546.00000000	0.15027882
547.00000000	0.12381446
548.00000000	0.07088524
549.00000000	0.05186865
550.00000000	0.03002808
551.00000000	0.02189666
552.00000000	0.02224151
553.00000000	0.02917694
554.00000000	0.02774978
555.00000000	0.02375936
556.00000000	0.02458246
557.00000000	0.02079769
558.00000000	0.02055869
559.00000000	0.02148739
560.00000000	0.02180293
561.00000000	0.02123627
562.00000000	0.02070674
563.00000000	0.02253104
564.00000000	0.02172360
565.00000000	0.02295218
566.00000000	0.02629535
567.00000000	0.04386381
568.00000000	0.15040742
569.00000000	0.32757781
570.00000000	0.20576197
571.00000000	0.13455689
572.00000000	0.08439734
573.00000000	0.04320468
574.00000000	0.03043962
575.00000000	0.02742641
576.00000000	0.03303093
577.00000000	0.05437305
578.00000000	0.04414929
579.00000000	0.06612831
580.00000000	0.05467470
581.00000000	0.04677698
582.00000000	0.03844295
583.00000000	0.03938352
584.00000000	0.04101733
585.00000000	0.05135403
586.00000000	0.07114545
587.00000000	0.12770156
588.00000000	0.38173663
589.00000000	0.52982837
590.00000000	0.70544832
591.00000000	0.90454494
592.00000000	0.80269434
593.00000000	0.68386013
594.00000000	0.55461773
595.00000000	0.43263187
596.00000000	0.33743929
597.00000000	0.27919153
598.00000000	0.24366857
599.00000000	0.21293664
600.00000000	0.18932457
601.00000000	0.16548007
602.00000000	0.15423388
603.00000000	0.13779496
604.00000000	0.12323213
605.00000000	0.11633460
606.00000000	0.10011700
607.00000000	0.09571023
608.00000000	0.08596698
609.00000000	0.07837975
610.00000000	0.08562668
611.00000000	0.08362225
612.00000000	0.07122579
613.00000000	0.06798621
614.00000000	0.06097247
615.00000000	0.07633237
616.00000000	0.11458331
617.00000000	0.09401326
618.00000000	0.07216637
619.00000000	0.06730485
620.00000000	0.05366693
621.00000000	0.05026465
622.00000000	0.05042230
623.00000000	0.04326354
624.00000000	0.04281612
625.00000000	0.04474931
626.00000000	0.04120858
627.00000000	0.04195892
628.00000000	0.04121338
629.00000000	0.03693167
630.00000000	0.03274596
631.00000000	0.03697512
632.00000000	0.03371154
633.00000000	0.03672754
634.00000000	0.03438255
635.00000000	0.02918780
636.00000000	0.03239100
637.00000000	0.03380123
638.00000000	0.03494795
639.00000000	0.03065032
640.00000000	0.03018926
641.00000000	0.02973400
642.00000000	0.02966908
643.00000000	0.02999447
644.00000000	0.02937703
645.00000000	0.02720383
646.00000000	0.02827123
647.00000000	0.02763787
648.00000000	0.02607429
649.00000000	0.03082464
650.00000000	0.02534719
651.00000000	0.02395415
652.00000000	0.02232109
653.00000000	0.02696863
654.00000000	0.03148555
655.00000000	0.06550758
656.00000000	0.06416051
657.00000000	0.04772084
658.00000000	0.04197003
659.00000000	0.03249307
660.00000000	0.02803122
661.00000000	0.02506853
662.00000000	0.02503266
663.00000000	0.02085604
664.00000000	0.02016331
665.00000000	0.02266999
666.00000000	0.01939959
667.00000000	0.02207376
668.00000000	0.02582468
669.00000000	0.02346125
670.00000000	0.05889629
671.00000000	0.16229986
672.00000000	0.09484039
673.00000000	0.06945758
674.00000000	0.05806233
675.00000000	0.03777422
676.00000000	0.02316263
677.00000000	0.02951269
678.00000000	0.01918206
679.00000000	0.02407642
680.00000000	0.01918611
681.00000000	0.01832890
682.00000000	0.02268060
683.00000000	0.01699043
684.00000000	0.02006175
685.00000000	0.03169599
686.00000000	0.02859132
687.00000000	0.02141084
688.00000000	0.02196209
689.00000000	0.01434606
690.00000000	0.02215309
691.00000000	0.01948927
692.00000000	0.02139694
693.00000000	0.01961913
694.00000000	0.01530634
695.00000000	0.01221860
696.00000000	0.01599604
697.00000000	0.01309879
698.00000000	0.01358309
699.00000000	0.01194095
700.00000000	0.01691362
701.00000000	0.01527729
702.00000000	0.01467828
703.00000000	0.01406841
704.00000000	0.01634645
705.00000000	0.01076870
706.00000000	0.01215822
707.00000000	0.00963537
708.00000000	0.01334915
709.00000000	0.01527527
710.00000000	0.00438883
711.00000000	0.01456485
712.00000000	0.01357097
713.00000000	0.01200032
714.00000000	0.00683866
715.00000000	0.01355556
716.00000000	0.01250382
717.00000000	0.01276556
718.00000000	0.01388020
719.00000000	0.00964901
720.00000000	0.01558854
721.00000000	0.00946838
722.00000000	0.01340094
723.00000000	0.01469243
724.00000000	0.00661508
725.00000000	0.00761426
