#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1768	0.1751	0.1288
#xyY coordinates: 0.3678	0.3642	0.1751
#sRGB: 61	41	28
#CCT Lindbloom (K):	4280
#CCT McCamy (K):	4291
#CCT Hernández-Andrés (K):	4301
#Melatonin: 0.791
#Chlorophyll a: 0.183
#Chlorophyll b: 0.680
#Beta Carotene: 0.188
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.00000000	0.36251480
476.00000000	0.23038830
477.00000000	0.11835556
478.00000000	0.10567627
479.00000000	0.09667610
480.00000000	0.07678104
481.00000000	0.06711534
482.00000000	0.07709990
483.00000000	0.11219409
484.00000000	0.13722735
485.00000000	0.12887888
486.00000000	0.10246154
487.00000000	0.08831243
488.00000000	0.08557683
489.00000000	0.07467733
490.00000000	0.06845778
491.00000000	0.07220097
492.00000000	0.07597644
493.00000000	0.07837534
494.00000000	0.08522463
495.00000000	0.08665389
496.00000000	0.08031479
497.00000000	0.07781353
498.00000000	0.11425263
499.00000000	0.13312703
500.00000000	0.11487160
501.00000000	0.08396839
502.00000000	0.09542709
503.00000000	0.10485999
504.00000000	0.10582180
505.00000000	0.09264156
506.00000000	0.12067948
507.00000000	0.21979383
508.00000000	0.43208667
509.00000000	0.56416430
510.00000000	0.47773692
511.00000000	0.30267333
512.00000000	0.18152332
513.00000000	0.09555464
514.00000000	0.06267864
515.00000000	0.06442185
516.00000000	0.07390884
517.00000000	0.06512749
518.00000000	0.05592156
519.00000000	0.04645455
520.00000000	0.05826130
521.00000000	0.09111686
522.00000000	0.10725121
523.00000000	0.09506428
524.00000000	0.07541709
525.00000000	0.05642467
526.00000000	0.07049680
527.00000000	0.05863579
528.00000000	0.06158422
529.00000000	0.06193965
530.00000000	0.06458335
531.00000000	0.06601738
532.00000000	0.06356822
533.00000000	0.07087313
534.00000000	0.11125826
535.00000000	0.20877877
536.00000000	0.22232643
537.00000000	0.17258554
538.00000000	0.12914673
539.00000000	0.12377557
540.00000000	0.12378572
541.00000000	0.09833479
542.00000000	0.07872817
543.00000000	0.08026484
544.00000000	0.10857291
545.00000000	0.16160598
546.00000000	0.33337908
547.00000000	0.33051225
548.00000000	0.33550353
549.00000000	0.24612327
550.00000000	0.16463016
551.00000000	0.14548791
552.00000000	0.20823355
553.00000000	0.19275859
554.00000000	0.16010357
555.00000000	0.10735894
556.00000000	0.09199277
557.00000000	0.09028076
558.00000000	0.08986478
559.00000000	0.09497608
560.00000000	0.08423347
561.00000000	0.07708561
562.00000000	0.06424006
563.00000000	0.05414777
564.00000000	0.05614699
565.00000000	0.06682352
566.00000000	0.08146729
567.00000000	0.18908439
568.00000000	0.28961602
569.00000000	0.42474657
570.00000000	0.39046574
571.00000000	0.40917649
572.00000000	0.35613820
573.00000000	0.24750613
574.00000000	0.14240949
575.00000000	0.07708699
576.00000000	0.08854938
577.00000000	0.14660293
578.00000000	0.13851462
579.00000000	0.16724297
580.00000000	0.13986675
581.00000000	0.11075223
582.00000000	0.06994144
583.00000000	0.04904139
584.00000000	0.04157006
585.00000000	0.04564441
586.00000000	0.05653900
587.00000000	0.08599158
588.00000000	0.26191048
589.00000000	0.56918586
590.00000000	0.85652467
591.00000000	1.00000000
592.00000000	0.84752051
593.00000000	0.65921076
594.00000000	0.47492003
595.00000000	0.36852336
596.00000000	0.30030131
597.00000000	0.26561803
598.00000000	0.24460288
599.00000000	0.22218259
600.00000000	0.19914579
601.00000000	0.17129289
602.00000000	0.14991800
603.00000000	0.13795619
604.00000000	0.12736433
605.00000000	0.11269336
606.00000000	0.09838074
607.00000000	0.08782315
608.00000000	0.08232000
609.00000000	0.07883374
610.00000000	0.07694808
611.00000000	0.07889136
612.00000000	0.07288910
613.00000000	0.06641430
614.00000000	0.06182624
615.00000000	0.07928782
616.00000000	0.09959041
617.00000000	0.10293960
618.00000000	0.10447290
619.00000000	0.10443525
620.00000000	0.11047148
621.00000000	0.16148658
622.00000000	0.14424428
623.00000000	0.13049178
624.00000000	0.16311346
625.00000000	0.15545189
626.00000000	0.18511838
627.00000000	0.14735252
628.00000000	0.13221901
629.00000000	0.09856207
630.00000000	0.12402959
631.00000000	0.17060799
632.00000000	0.12698047
633.00000000	0.11354053
634.00000000	0.07154988
635.00000000	0.06573601
636.00000000	0.05379480
637.00000000	0.05659493
638.00000000	0.07301526
639.00000000	0.06570282
640.00000000	0.05876011
641.00000000	0.06912193
642.00000000	0.07711419
643.00000000	0.05807859
644.00000000	0.05301662
645.00000000	0.05064660
646.00000000	0.06876050
647.00000000	0.06231906
648.00000000	0.05236799
649.00000000	0.04142792
650.00000000	0.03836978
651.00000000	0.03829356
652.00000000	0.03390911
653.00000000	0.04589596
654.00000000	0.04463650
655.00000000	0.04520369
656.00000000	0.04069016
657.00000000	0.03391664
658.00000000	0.04702450
659.00000000	0.07671220
660.00000000	0.07507825
661.00000000	0.06199036
662.00000000	0.04312702
663.00000000	0.03148623
664.00000000	0.02712590
665.00000000	0.02591823
666.00000000	0.03694466
667.00000000	0.04105358
668.00000000	0.03801680
669.00000000	0.03319978
670.00000000	0.03234523
671.00000000	0.05858693
672.00000000	0.05917455
673.00000000	0.05381646
674.00000000	0.05554338
675.00000000	0.04791516
676.00000000	0.04652923
677.00000000	0.03635657
678.00000000	0.04054356
679.00000000	0.03728811
680.00000000	0.03726890
681.00000000	0.03512846
682.00000000	0.04342483
683.00000000	0.05330951
684.00000000	0.05477397
685.00000000	0.04051897
686.00000000	0.03566614
687.00000000	0.02622725
688.00000000	0.02843223
689.00000000	0.02895624
690.00000000	0.02542342
691.00000000	0.03524371
692.00000000	0.03374576
693.00000000	0.02923960
694.00000000	0.02775840
695.00000000	0.03192433
696.00000000	0.02674788
697.00000000	0.02740220
698.00000000	0.02210189
699.00000000	0.03769225
700.00000000	0.04117575
701.00000000	0.04016093
702.00000000	0.03570902
703.00000000	0.03157935
704.00000000	0.02345816
705.00000000	0.02004919
706.00000000	0.02095091
707.00000000	0.02160492
708.00000000	0.02530156
709.00000000	0.02546506
710.00000000	0.02004151
711.00000000	0.01935507
712.00000000	0.01715317
713.00000000	0.01818658
714.00000000	0.02501681
715.00000000	0.02468935
716.00000000	0.02320999
717.00000000	0.03582427
718.00000000	0.03109699
719.00000000	0.02725037
720.00000000	0.02433422
721.00000000	0.02666060
722.00000000	0.03341445
723.00000000	0.02643163
724.00000000	0.02200108
725.00000000	0.01884428
