#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1255	0.1640	0.0579
#xyY coordinates: 0.3612	0.4721	0.1640
#sRGB: 32	48	9
#CCT Lindbloom (K):	4884
#CCT McCamy (K):	4860
#CCT Hernández-Andrés (K):	4787
#Melatonin: 0.398
#Chlorophyll a: 0.352
#Chlorophyll b: 0.377
#Beta Carotene: 0.353
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.00000000	0.01124579
476.00000000	0.01122954
477.00000000	0.01114800
478.00000000	0.01079290
479.00000000	0.01127976
480.00000000	0.01063336
481.00000000	0.00892313
482.00000000	0.00772191
483.00000000	0.00916183
484.00000000	0.01334481
485.00000000	0.01113323
486.00000000	0.01372768
487.00000000	0.01215039
488.00000000	0.01269693
489.00000000	0.01247743
490.00000000	0.01161064
491.00000000	0.01580780
492.00000000	0.01902797
493.00000000	0.01958426
494.00000000	0.01481309
495.00000000	0.01620338
496.00000000	0.01303845
497.00000000	0.01240062
498.00000000	0.01581341
499.00000000	0.01589111
500.00000000	0.01544737
501.00000000	0.01208746
502.00000000	0.01132024
503.00000000	0.00956775
504.00000000	0.01165968
505.00000000	0.01268128
506.00000000	0.01257994
507.00000000	0.01163841
508.00000000	0.01180622
509.00000000	0.01565122
510.00000000	0.01288158
511.00000000	0.01543674
512.00000000	0.01422223
513.00000000	0.01471796
514.00000000	0.01600928
515.00000000	0.01656705
516.00000000	0.02155359
517.00000000	0.05141345
518.00000000	0.09893522
519.00000000	0.10650823
520.00000000	0.10050276
521.00000000	0.07961950
522.00000000	0.04627151
523.00000000	0.02938540
524.00000000	0.02506712
525.00000000	0.02314093
526.00000000	0.02009033
527.00000000	0.01924156
528.00000000	0.01926372
529.00000000	0.01988176
530.00000000	0.02035947
531.00000000	0.02319351
532.00000000	0.02841669
533.00000000	0.03702814
534.00000000	0.08862476
535.00000000	0.58563354
536.00000000	0.86475128
537.00000000	0.95124955
538.00000000	1.00000000
539.00000000	0.69848640
540.00000000	0.44146436
541.00000000	0.30657311
542.00000000	0.19855908
543.00000000	0.11740276
544.00000000	0.07683449
545.00000000	0.10753987
546.00000000	0.65712314
547.00000000	0.78175090
548.00000000	0.82129018
549.00000000	0.80524664
550.00000000	0.43095507
551.00000000	0.19169184
552.00000000	0.10087559
553.00000000	0.06915630
554.00000000	0.05112009
555.00000000	0.04169503
556.00000000	0.03373234
557.00000000	0.03281090
558.00000000	0.02689317
559.00000000	0.02540982
560.00000000	0.02537053
561.00000000	0.02511232
562.00000000	0.02503197
563.00000000	0.02305614
564.00000000	0.02265967
565.00000000	0.02074884
566.00000000	0.02089035
567.00000000	0.02047527
568.00000000	0.02751859
569.00000000	0.03597967
570.00000000	0.03470046
571.00000000	0.03186228
572.00000000	0.03730348
573.00000000	0.03640745
574.00000000	0.04222266
575.00000000	0.06521942
576.00000000	0.16262461
577.00000000	0.33759785
