#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1504	0.1489	0.1391
#xyY coordinates: 0.3431	0.3396	0.1489
#sRGB: 48	36	32
#CCT Lindbloom (K):	5040
#CCT McCamy (K):	5046
#CCT Hernández-Andrés (K):	5067
#Melatonin: 0.963
#Chlorophyll a: 0.077
#Chlorophyll b: 0.771
#Beta Carotene: 0.085
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.00000000	0.31292759
476.00000000	0.19592482
477.00000000	0.09829917
478.00000000	0.06775122
479.00000000	0.05726531
480.00000000	0.04406677
481.00000000	0.03378219
482.00000000	0.03506325
483.00000000	0.04818986
484.00000000	0.06291020
485.00000000	0.06350064
486.00000000	0.05331007
487.00000000	0.04272398
488.00000000	0.03827682
489.00000000	0.03578521
490.00000000	0.03504046
491.00000000	0.03996267
492.00000000	0.04966370
493.00000000	0.04581505
494.00000000	0.04605816
495.00000000	0.04494162
496.00000000	0.04406202
497.00000000	0.04009063
498.00000000	0.05715895
499.00000000	0.06485743
500.00000000	0.05524140
501.00000000	0.04275745
502.00000000	0.04976958
503.00000000	0.05880396
504.00000000	0.05578886
505.00000000	0.05011691
506.00000000	0.05906749
507.00000000	0.11948964
508.00000000	0.30713456
509.00000000	0.45413070
510.00000000	0.35042880
511.00000000	0.23807664
512.00000000	0.12615610
513.00000000	0.06053136
514.00000000	0.03508889
515.00000000	0.02806632
516.00000000	0.02807819
517.00000000	0.02787734
518.00000000	0.02504837
519.00000000	0.01905188
520.00000000	0.02420271
521.00000000	0.03623249
522.00000000	0.04975201
523.00000000	0.04418452
524.00000000	0.03782171
525.00000000	0.03185347
526.00000000	0.03497636
527.00000000	0.02785265
528.00000000	0.02934429
529.00000000	0.03004346
530.00000000	0.02974765
531.00000000	0.02876501
532.00000000	0.02661337
533.00000000	0.03007266
534.00000000	0.05481738
535.00000000	0.11144715
536.00000000	0.12805276
537.00000000	0.09371907
538.00000000	0.07570491
539.00000000	0.06915953
540.00000000	0.06270674
541.00000000	0.04897616
542.00000000	0.04205092
543.00000000	0.04171808
544.00000000	0.05935119
545.00000000	0.13253743
546.00000000	0.72217388
547.00000000	0.82819456
548.00000000	0.59759324
549.00000000	0.41938843
550.00000000	0.18682729
551.00000000	0.12383708
552.00000000	0.14726299
553.00000000	0.12930272
554.00000000	0.09659671
555.00000000	0.07152769
556.00000000	0.04851653
557.00000000	0.04276790
558.00000000	0.03688252
559.00000000	0.04076440
560.00000000	0.03735591
561.00000000	0.03347735
562.00000000	0.02750104
563.00000000	0.02250927
564.00000000	0.02674608
565.00000000	0.03561095
566.00000000	0.04731026
567.00000000	0.13611994
568.00000000	0.21303872
569.00000000	0.27874632
570.00000000	0.26731291
571.00000000	0.27968313
572.00000000	0.23951558
573.00000000	0.16269556
574.00000000	0.10185676
575.00000000	0.06368582
576.00000000	0.13360696
577.00000000	0.42728277
578.00000000	0.43015400
579.00000000	0.59787528
580.00000000	0.51503384
581.00000000	0.31489382
582.00000000	0.19312244
583.00000000	0.08737667
584.00000000	0.03780438
585.00000000	0.03135064
586.00000000	0.02729616
587.00000000	0.03768876
588.00000000	0.15307050
589.00000000	0.64763465
590.00000000	0.99843215
591.00000000	0.85042298
592.00000000	0.65508077
593.00000000	0.42067448
594.00000000	0.25608487
595.00000000	0.16648319
596.00000000	0.12927091
597.00000000	0.11119811
598.00000000	0.09466610
599.00000000	0.09164672
600.00000000	0.07933989
601.00000000	0.06611095
602.00000000	0.06007838
603.00000000	0.05622356
604.00000000	0.05126954
605.00000000	0.04451666
606.00000000	0.03773458
607.00000000	0.03609717
608.00000000	0.03592623
609.00000000	0.03063153
610.00000000	0.02973887
611.00000000	0.02973934
612.00000000	0.02814229
613.00000000	0.02774842
614.00000000	0.02467730
615.00000000	0.03177085
616.00000000	0.03464232
617.00000000	0.03499488
618.00000000	0.03787394
619.00000000	0.04256064
620.00000000	0.04357794
621.00000000	0.08758227
622.00000000	0.08705617
623.00000000	0.07102960
624.00000000	0.10224848
625.00000000	0.09638447
626.00000000	0.10379069
627.00000000	0.09299378
628.00000000	0.07159464
629.00000000	0.05550967
630.00000000	0.07563392
631.00000000	0.12299048
632.00000000	0.08143859
633.00000000	0.07048451
634.00000000	0.04975676
635.00000000	0.03116546
636.00000000	0.02402038
637.00000000	0.02188773
638.00000000	0.03087772
639.00000000	0.02814727
640.00000000	0.02511722
641.00000000	0.03061372
