#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/01/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1025	0.1025	0.1033
#xyY coordinates: 0.3324	0.3326	0.1025
#sRGB: 31	25	24
#CCT Lindbloom (K):	5494
#CCT McCamy (K):	5501
#CCT Hernández-Andrés (K):	5517
#Melatonin: 0.863
#Chlorophyll a: 0.192
#Chlorophyll b: 1.072
#Beta Carotene: 0.197
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.00000000	0.01582703
476.00000000	0.01598457
477.00000000	0.01467722
478.00000000	0.01549505
479.00000000	0.01472228
480.00000000	0.01345297
481.00000000	0.01394608
482.00000000	0.01442517
483.00000000	0.01420880
484.00000000	0.01560954
485.00000000	0.01538820
486.00000000	0.01454702
487.00000000	0.01664548
488.00000000	0.01624062
489.00000000	0.01514412
490.00000000	0.01664618
491.00000000	0.01711477
492.00000000	0.02003196
493.00000000	0.01847139
494.00000000	0.01698950
495.00000000	0.01675205
496.00000000	0.01657239
497.00000000	0.01765702
498.00000000	0.02452090
499.00000000	0.02737278
500.00000000	0.02195413
501.00000000	0.01835552
502.00000000	0.01654068
503.00000000	0.01581653
504.00000000	0.01504433
505.00000000	0.01473794
506.00000000	0.01652829
507.00000000	0.01563257
508.00000000	0.01713204
509.00000000	0.01651703
510.00000000	0.01623919
511.00000000	0.01805921
512.00000000	0.01700401
513.00000000	0.01618546
514.00000000	0.01734061
515.00000000	0.01865815
516.00000000	0.01923903
517.00000000	0.01929375
518.00000000	0.01868438
519.00000000	0.01934718
520.00000000	0.01933458
521.00000000	0.02169359
522.00000000	0.02290419
523.00000000	0.02228200
524.00000000	0.02046099
525.00000000	0.02043191
526.00000000	0.01860216
527.00000000	0.01838189
528.00000000	0.01876477
529.00000000	0.01865163
530.00000000	0.02136337
531.00000000	0.02206676
532.00000000	0.02505382
533.00000000	0.03122467
534.00000000	0.07285982
535.00000000	0.72736761
536.00000000	0.91726108
537.00000000	0.63734283
538.00000000	0.42534394
539.00000000	0.26139895
540.00000000	0.16869716
541.00000000	0.10059545
542.00000000	0.05650070
543.00000000	0.03629457
544.00000000	0.02788688
545.00000000	0.03763842
546.00000000	0.40271510
547.00000000	0.35640995
548.00000000	0.21659640
549.00000000	0.10684549
550.00000000	0.04401934
551.00000000	0.02713250
552.00000000	0.02210880
553.00000000	0.02310843
554.00000000	0.02251050
555.00000000	0.02015864
556.00000000	0.02038771
557.00000000	0.01806471
558.00000000	0.01860084
559.00000000	0.01729921
560.00000000	0.01869788
561.00000000	0.01754443
562.00000000	0.01714395
563.00000000	0.01688711
564.00000000	0.01791304
565.00000000	0.01683435
566.00000000	0.01815167
567.00000000	0.02063763
568.00000000	0.03512740
569.00000000	0.07112746
570.00000000	0.05459105
571.00000000	0.03753904
572.00000000	0.02916760
573.00000000	0.02176022
574.00000000	0.02217222
575.00000000	0.02385427
576.00000000	0.05042205
577.00000000	0.18582818
578.00000000	0.14011956
579.00000000	0.22098616
580.00000000	0.15401255
581.00000000	0.09672944
582.00000000	0.05754613
583.00000000	0.03316214
584.00000000	0.02776661
585.00000000	0.02710569
586.00000000	0.03003533
587.00000000	0.04473534
588.00000000	0.16153294
589.00000000	0.72901532
590.00000000	1.00000000
591.00000000	0.76415108
592.00000000	0.52428713
593.00000000	0.31418522
594.00000000	0.19417773
595.00000000	0.14199579
596.00000000	0.10957005
597.00000000	0.09111101
598.00000000	0.07855986
599.00000000	0.07089268
600.00000000	0.06265120
601.00000000	0.05839984
602.00000000	0.05343701
603.00000000	0.04943354
604.00000000	0.04369963
605.00000000	0.04287481
606.00000000	0.03994328
607.00000000	0.03564709
608.00000000	0.03323154
609.00000000	0.03355928
610.00000000	0.03408389
611.00000000	0.03247181
612.00000000	0.02995918
613.00000000	0.02866587
614.00000000	0.02502984
615.00000000	0.02901136
616.00000000	0.03688544
617.00000000	0.03223874
618.00000000	0.02841526
619.00000000	0.02604466
620.00000000	0.02407245
621.00000000	0.02549336
622.00000000	0.02455743
623.00000000	0.02248124
624.00000000	0.02421601
625.00000000	0.02218779
626.00000000	0.02122382
627.00000000	0.02274328
628.00000000	0.02354952
629.00000000	0.02046441
630.00000000	0.01966926
631.00000000	0.02057509
632.00000000	0.02160745
633.00000000	0.02036014
634.00000000	0.01919097
635.00000000	0.01890132
636.00000000	0.02007183
637.00000000	0.02112409
638.00000000	0.02008676
639.00000000	0.02086262
640.00000000	0.01809999
641.00000000	0.01868828
642.00000000	0.01891539
643.00000000	0.01682477
644.00000000	0.01802639
645.00000000	0.01860880
646.00000000	0.01847943
647.00000000	0.01978379
648.00000000	0.01935371
649.00000000	0.01854347
650.00000000	0.01712511
651.00000000	0.01818832
652.00000000	0.01675936
653.00000000	0.01851630
654.00000000	0.01915369
655.00000000	0.03926622
656.00000000	0.03229201
657.00000000	0.02629852
658.00000000	0.02168485
659.00000000	0.01840545
660.00000000	0.01753000
661.00000000	0.01811727
662.00000000	0.01605211
663.00000000	0.01515088
664.00000000	0.01674788
665.00000000	0.01645575
666.00000000	0.01639794
667.00000000	0.01723026
668.00000000	0.01698068
669.00000000	0.01699382
670.00000000	0.04069255
671.00000000	0.11950565
672.00000000	0.07042045
673.00000000	0.05266650
674.00000000	0.03290633
675.00000000	0.02116150
676.00000000	0.01834481
677.00000000	0.01659740
678.00000000	0.01583547
679.00000000	0.01459394
680.00000000	0.01584381
681.00000000	0.01604680
682.00000000	0.01492738
683.00000000	0.01659276
684.00000000	0.01626211
685.00000000	0.01652227
686.00000000	0.01932919
687.00000000	0.01692371
688.00000000	0.01469404
689.00000000	0.01556408
690.00000000	0.01737751
691.00000000	0.01818137
692.00000000	0.01394438
693.00000000	0.01582070
694.00000000	0.01882326
695.00000000	0.01722762
696.00000000	0.01235279
697.00000000	0.01472123
698.00000000	0.01161080
699.00000000	0.01170157
700.00000000	0.01483743
701.00000000	0.01302081
702.00000000	0.01456630
703.00000000	0.01283534
704.00000000	0.01297546
705.00000000	0.01352811
706.00000000	0.01376717
707.00000000	0.01305909
708.00000000	0.01470683
709.00000000	0.01482660
710.00000000	0.00806862
711.00000000	0.01353027
712.00000000	0.01112396
713.00000000	0.01244788
714.00000000	0.01284859
715.00000000	0.01267621
716.00000000	0.01125118
717.00000000	0.01452742
718.00000000	0.01318919
719.00000000	0.01383173
720.00000000	0.01541155
721.00000000	0.01281394
722.00000000	0.01255333
723.00000000	0.01508435
724.00000000	0.01345265
725.00000000	0.01271517
