#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/25
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1794	0.1954	0.1649
#xyY coordinates: 0.3324	0.3621	0.1954
#sRGB: 51	51	37
#CCT Lindbloom (K):	5506
#CCT McCamy (K):	5506
#CCT Hernández-Andrés (K):	5490
#Melatonin: 0.808
#Chlorophyll a: 0.510
#Chlorophyll b: 0.805
#Beta Carotene: 0.513
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: New street lamp in Calle Ronda in Almería
#Begin Processed Spectral Data
W	S
475.00000000	0.16567050
476.00000000	0.13008316
477.00000000	0.13409072
478.00000000	0.15996831
479.00000000	0.16465599
480.00000000	0.17771697
481.00000000	0.17674447
482.00000000	0.18406379
483.00000000	0.18468415
484.00000000	0.16013553
485.00000000	0.14324879
486.00000000	0.13450094
487.00000000	0.11899168
488.00000000	0.13330143
489.00000000	0.16586142
490.00000000	0.16941312
491.00000000	0.15802966
492.00000000	0.16905624
493.00000000	0.14942989
494.00000000	0.13363490
495.00000000	0.13289299
496.00000000	0.14007418
497.00000000	0.13241182
498.00000000	0.12447957
499.00000000	0.12049487
500.00000000	0.12691105
501.00000000	0.14311547
502.00000000	0.13942375
503.00000000	0.16242614
504.00000000	0.16805931
505.00000000	0.19582729
506.00000000	0.17951893
507.00000000	0.15746269
508.00000000	0.14869010
509.00000000	0.12955022
510.00000000	0.12177681
511.00000000	0.14835028
512.00000000	0.17599685
513.00000000	0.18587070
514.00000000	0.16919921
515.00000000	0.14936479
516.00000000	0.15095133
517.00000000	0.15550650
518.00000000	0.14698676
519.00000000	0.14246848
520.00000000	0.14011294
521.00000000	0.11934228
522.00000000	0.11474266
523.00000000	0.12355036
524.00000000	0.12634121
525.00000000	0.11058501
526.00000000	0.12876161
527.00000000	0.16081191
528.00000000	0.16514656
529.00000000	0.15103996
530.00000000	0.14718874
531.00000000	0.15988248
