#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1107	0.1148	0.1094
#xyY coordinates: 0.3306	0.3428	0.1148
#sRGB: 33	29	25
#CCT Lindbloom (K):	5582
#CCT McCamy (K):	5583
#CCT Hernández-Andrés (K):	5585
#Melatonin: 0.804
#Chlorophyll a: 0.182
#Chlorophyll b: 1.007
#Beta Carotene: 0.186
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.00000000	0.01582239
476.00000000	0.01690003
477.00000000	0.01536346
478.00000000	0.01648106
479.00000000	0.01533935
480.00000000	0.01462685
481.00000000	0.01567502
482.00000000	0.01449555
483.00000000	0.01539976
484.00000000	0.01551863
485.00000000	0.01559585
486.00000000	0.01647350
487.00000000	0.01585259
488.00000000	0.01616902
489.00000000	0.01573250
490.00000000	0.01612371
491.00000000	0.01760303
492.00000000	0.02068517
493.00000000	0.01792335
494.00000000	0.01542290
495.00000000	0.01518589
496.00000000	0.01755090
497.00000000	0.01914690
498.00000000	0.02209678
499.00000000	0.02415268
500.00000000	0.02223148
501.00000000	0.01868092
502.00000000	0.01702280
503.00000000	0.01687445
504.00000000	0.01643453
505.00000000	0.01587817
506.00000000	0.01482172
507.00000000	0.01600313
508.00000000	0.01631858
509.00000000	0.01655681
510.00000000	0.01640944
511.00000000	0.01714800
512.00000000	0.01732753
513.00000000	0.01837448
514.00000000	0.01926042
515.00000000	0.01917321
516.00000000	0.02077798
517.00000000	0.02060260
518.00000000	0.01944408
519.00000000	0.02080941
520.00000000	0.02193430
521.00000000	0.02402358
522.00000000	0.02563297
523.00000000	0.02583564
524.00000000	0.02395878
525.00000000	0.02200446
526.00000000	0.01901658
527.00000000	0.01860735
528.00000000	0.01805879
529.00000000	0.01933033
530.00000000	0.02048616
531.00000000	0.02106761
532.00000000	0.02438652
533.00000000	0.03183429
534.00000000	0.09454483
535.00000000	0.62132474
536.00000000	1.00000000
537.00000000	0.84399352
538.00000000	0.55892162
539.00000000	0.37860754
540.00000000	0.25565281
541.00000000	0.15425555
542.00000000	0.08247689
543.00000000	0.04782329
544.00000000	0.03489329
545.00000000	0.06043638
546.00000000	0.41887637
547.00000000	0.50228134
548.00000000	0.32854614
549.00000000	0.13654997
550.00000000	0.06288154
551.00000000	0.03751603
552.00000000	0.02836605
553.00000000	0.02622733
554.00000000	0.02532946
555.00000000	0.02199764
556.00000000	0.02091659
557.00000000	0.01930207
558.00000000	0.01875034
559.00000000	0.01858178
560.00000000	0.01812699
561.00000000	0.01797718
562.00000000	0.01755115
563.00000000	0.01733240
564.00000000	0.01805538
565.00000000	0.01777306
566.00000000	0.01752070
567.00000000	0.02041138
568.00000000	0.03163138
569.00000000	0.05377663
570.00000000	0.05126887
571.00000000	0.03722274
572.00000000	0.02656714
573.00000000	0.02328087
574.00000000	0.02341557
575.00000000	0.02855800
576.00000000	0.06756334
577.00000000	0.17678860
578.00000000	0.19219737
579.00000000	0.22981157
580.00000000	0.19076360
581.00000000	0.12056048
582.00000000	0.06258070
583.00000000	0.03834788
584.00000000	0.02985098
585.00000000	0.02783771
586.00000000	0.03064825
587.00000000	0.04301799
588.00000000	0.16176811
589.00000000	0.54974972
590.00000000	0.87765863
591.00000000	0.82000965
592.00000000	0.57481367
593.00000000	0.36518573
594.00000000	0.24318222
595.00000000	0.17807330
596.00000000	0.14330984
597.00000000	0.11851384
598.00000000	0.10189589
599.00000000	0.08937341
600.00000000	0.08127063
601.00000000	0.07214332
602.00000000	0.06647449
603.00000000	0.06126824
604.00000000	0.05622690
605.00000000	0.05094222
606.00000000	0.04856381
607.00000000	0.04421134
608.00000000	0.04164025
609.00000000	0.03823632
610.00000000	0.04028857
611.00000000	0.04072362
612.00000000	0.03741981
613.00000000	0.03458661
614.00000000	0.03201552
615.00000000	0.03228298
616.00000000	0.03599091
617.00000000	0.03684006
618.00000000	0.03326124
619.00000000	0.02999908
620.00000000	0.02728598
621.00000000	0.02741362
622.00000000	0.02634401
623.00000000	0.02495628
624.00000000	0.02609482
625.00000000	0.02596815
626.00000000	0.02461452
627.00000000	0.02366501
628.00000000	0.02350838
629.00000000	0.02333275
630.00000000	0.02230383
631.00000000	0.02262025
632.00000000	0.02266848
633.00000000	0.02235377
634.00000000	0.02160473
635.00000000	0.02074217
636.00000000	0.02115189
637.00000000	0.02037094
638.00000000	0.01974248
639.00000000	0.02019678
640.00000000	0.01923435
641.00000000	0.01973785
642.00000000	0.02118185
643.00000000	0.02065765
644.00000000	0.01895374
645.00000000	0.01965065
646.00000000	0.01945480
647.00000000	0.02051028
648.00000000	0.02067348
649.00000000	0.02105982
650.00000000	0.02008253
651.00000000	0.01986671
652.00000000	0.01765126
653.00000000	0.01995392
654.00000000	0.01968767
655.00000000	0.03386339
656.00000000	0.03562869
657.00000000	0.03195779
658.00000000	0.02575039
659.00000000	0.02151021
660.00000000	0.02132119
661.00000000	0.01877738
662.00000000	0.01896811
663.00000000	0.01876154
664.00000000	0.01799667
665.00000000	0.01864803
666.00000000	0.01772434
667.00000000	0.01863074
668.00000000	0.01804953
669.00000000	0.01943483
670.00000000	0.05015932
671.00000000	0.15131932
672.00000000	0.12479164
673.00000000	0.08107576
674.00000000	0.03749142
675.00000000	0.02416120
676.00000000	0.02044767
677.00000000	0.01860126
678.00000000	0.01853111
679.00000000	0.01801348
680.00000000	0.01797207
681.00000000	0.01664329
682.00000000	0.01485119
683.00000000	0.01569913
684.00000000	0.01557344
685.00000000	0.01961581
686.00000000	0.01774699
687.00000000	0.01652636
688.00000000	0.01602822
689.00000000	0.01460371
690.00000000	0.01509186
691.00000000	0.01730512
692.00000000	0.01868652
693.00000000	0.01826389
694.00000000	0.01505971
695.00000000	0.01427925
696.00000000	0.01497372
697.00000000	0.01535932
698.00000000	0.01507408
699.00000000	0.01670759
700.00000000	0.01538441
701.00000000	0.01550036
702.00000000	0.01417109
703.00000000	0.01515958
704.00000000	0.01253514
705.00000000	0.01627839
706.00000000	0.01292781
707.00000000	0.01371631
708.00000000	0.01416305
709.00000000	0.01306105
710.00000000	0.01583311
711.00000000	0.01286521
712.00000000	0.01336968
713.00000000	0.01354969
714.00000000	0.01316945
715.00000000	0.01428533
716.00000000	0.01338332
717.00000000	0.01645085
718.00000000	0.01454086
719.00000000	0.01224015
720.00000000	0.01402007
721.00000000	0.01351413
722.00000000	0.01425513
723.00000000	0.01676265
724.00000000	0.01244794
725.00000000	0.01059275
