#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/17
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.4779	0.4939	0.5188
#xyY coordinates: 0.3206	0.3314	0.4939
#sRGB: 135	124	121
#CCT Lindbloom (K):	6075
#CCT McCamy (K):	6076
#CCT Hernández-Andrés (K):	6078
#Melatonin: 1.039
#Chlorophyll a: 0.482
#Chlorophyll b: 0.957
#Beta Carotene: 0.488
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: Madrid, Picasso Tower facade illumination
#Begin Processed Spectral Data
W	S
475.00000000	0.42942253
476.00000000	0.43367213
477.00000000	0.41611316
478.00000000	0.44738123
479.00000000	0.44863056
480.00000000	0.41914366
481.00000000	0.40229686
482.00000000	0.39455493
483.00000000	0.41569196
484.00000000	0.40479607
485.00000000	0.38408369
486.00000000	0.36791088
487.00000000	0.37094973
488.00000000	0.40790207
489.00000000	0.43115849
490.00000000	0.40075474
491.00000000	0.39196228
492.00000000	0.41384987
493.00000000	0.41629966
494.00000000	0.41880781
495.00000000	0.41724640
496.00000000	0.44508725
497.00000000	0.43477787
498.00000000	0.43858830
499.00000000	0.43341456
500.00000000	0.44373974
501.00000000	0.43604573
502.00000000	0.44267988
503.00000000	0.46365245
504.00000000	0.50866385
505.00000000	0.51369838
506.00000000	0.48689277
507.00000000	0.53408907
508.00000000	0.50561880
509.00000000	0.45193212
510.00000000	0.39701706
511.00000000	0.41206407
512.00000000	0.44207540
513.00000000	0.44226777
514.00000000	0.42942030
515.00000000	0.41941252
516.00000000	0.41670792
517.00000000	0.42890788
518.00000000	0.43323539
519.00000000	0.44296411
520.00000000	0.39992908
521.00000000	0.39864424
522.00000000	0.42429990
523.00000000	0.41636782
524.00000000	0.40425211
525.00000000	0.38339619
526.00000000	0.39099892
527.00000000	0.39296011
528.00000000	0.39780027
529.00000000	0.40888622
530.00000000	0.45141556
531.00000000	0.48717164
532.00000000	0.44982919
533.00000000	0.43343569
534.00000000	0.42812799
535.00000000	0.43440628
536.00000000	0.44434899
537.00000000	0.42021977
538.00000000	0.42290252
539.00000000	0.42322359
540.00000000	0.43443050
541.00000000	0.45088481
542.00000000	0.45046909
543.00000000	0.44895509
544.00000000	0.43130336
545.00000000	0.49262163
546.00000000	0.95899674
547.00000000	1.00000000
548.00000000	0.69702616
549.00000000	0.57426682
550.00000000	0.48064624
551.00000000	0.44134101
552.00000000	0.41545639
553.00000000	0.41892703
554.00000000	0.41478129
555.00000000	0.43325378
556.00000000	0.44101337
557.00000000	0.44236318
558.00000000	0.42955567
559.00000000	0.41383224
560.00000000	0.41551711
561.00000000	0.41910013
562.00000000	0.42688877
563.00000000	0.47306217
564.00000000	0.49476443
565.00000000	0.48937056
566.00000000	0.48128976
567.00000000	0.48547945
568.00000000	0.53376735
569.00000000	0.49819476
570.00000000	0.46837834
571.00000000	0.45486200
572.00000000	0.44288906
573.00000000	0.43397843
574.00000000	0.43734791
575.00000000	0.45834203
576.00000000	0.58789025
577.00000000	0.88516029
578.00000000	0.76447669
579.00000000	0.89208846
580.00000000	0.78937105
581.00000000	0.60795292
582.00000000	0.51788551
583.00000000	0.45920040
584.00000000	0.44095192
585.00000000	0.43431142
586.00000000	0.47061998
587.00000000	0.46301568
588.00000000	0.45967875
589.00000000	0.55791078
590.00000000	0.59630126
591.00000000	0.49112959
592.00000000	0.48213950
593.00000000	0.47917645
594.00000000	0.45920977
595.00000000	0.46387673
596.00000000	0.44426200
597.00000000	0.48069745
598.00000000	0.53949770
599.00000000	0.52737436
600.00000000	0.46130118
601.00000000	0.47880510
602.00000000	0.45176244
603.00000000	0.42399863
604.00000000	0.40010598
605.00000000	0.38949913
606.00000000	0.37987377
607.00000000	0.36998685
608.00000000	0.38203629
609.00000000	0.40535392
610.00000000	0.42712903
611.00000000	0.44759893
612.00000000	0.40344014
613.00000000	0.39686999
614.00000000	0.38534216
615.00000000	0.35275291
616.00000000	0.38686882
617.00000000	0.38474247
618.00000000	0.36919974
619.00000000	0.36578229
620.00000000	0.36802892
621.00000000	0.39086361
622.00000000	0.39489652
623.00000000	0.36910270
624.00000000	0.35005258
625.00000000	0.33266724
626.00000000	0.39333697
627.00000000	0.34943801
628.00000000	0.32185202
