# Metal Halide
# average spectrum 
# W	S
475	0.154350902
476	0.118115653
477	0.090947271
478	0.090724787
479	0.088076988
480	0.082064178
481	0.078714881
482	0.079726301
483	0.087220442
484	0.089012308
485	0.083347015
486	0.076731995
487	0.071570982
488	0.077193009
489	0.080890081
490	0.077530758
491	0.077795272
492	0.083163969
493	0.079747207
494	0.079186818
495	0.078473415
496	0.082059988
497	0.082235772
498	0.099290374
499	0.101665648
500	0.093335969
501	0.084535778
502	0.085380285
503	0.091099228
504	0.095687718
505	0.095305895
506	0.096621615
507	0.12123955
508	0.172745461
509	0.201199928
510	0.16354199
511	0.134664232
512	0.111336767
513	0.091820998
514	0.081485786
515	0.079368186
516	0.081002124
517	0.082096797
518	0.084355778
519	0.084148478
520	0.081615354
521	0.084878595
522	0.088657712
523	0.084414393
524	0.07943106
525	0.071590818
526	0.076425153
527	0.075714438
528	0.077860751
529	0.078062907
530	0.083724124
531	0.090951859
532	0.089927882
533	0.098688604
534	0.167403128
535	0.553916858
536	0.738175304
537	0.616479399
538	0.506337208
539	0.38090401
540	0.277993328
541	0.196228942
542	0.142255979
543	0.114277892
544	0.099346874
545	0.129974384
546	0.443765015
547	0.447237525
548	0.338193733
549	0.253541973
550	0.150324408
551	0.115405342
552	0.116843109
553	0.109762644
554	0.097827364
555	0.091792611
556	0.084108025
557	0.081002994
558	0.076894995
559	0.076298113
560	0.074392149
561	0.074107928
562	0.072919638
563	0.077014854
564	0.08648141
565	0.091399389
566	0.092694998
567	0.124038708
568	0.176106303
569	0.238473463
570	0.20356294
571	0.188577666
572	0.161059675
573	0.123558914
574	0.101832778
575	0.095712422
576	0.134025322
577	0.247880248
578	0.230114874
579	0.298158066
580	0.259648156
581	0.189286998
582	0.14487581
583	0.10665253
584	0.090118208
585	0.089648727
586	0.099883191
587	0.122881727
588	0.257946992
589	0.521392326
590	0.723984752
591	0.709196866
592	0.58754236
593	0.459892318
594	0.353769942
595	0.284752594
596	0.240951682
597	0.221666955
598	0.211618481
599	0.198762312
600	0.174289752
601	0.164655678
602	0.152195152
603	0.140968767
604	0.128085877
605	0.119622622
606	0.112028447
607	0.106661121
608	0.106675631
609	0.113410325
610	0.131537244
611	0.139859574
612	0.113958112
613	0.107929658
614	0.097598418
615	0.097081816
616	0.112536744
617	0.111133235
618	0.100309391
619	0.095330282
620	0.092131822
621	0.104883522
622	0.099800499
623	0.092420802
624	0.102079544
625	0.098772245
626	0.120966648
627	0.105921238
628	0.093425015
629	0.082349237
630	0.086558875
631	0.100736307
632	0.082539799
633	0.080232978
634	0.073494963
635	0.069498242
636	0.066879864
637	0.066508582
638	0.072245633
639	0.068548149
640	0.065374118
641	0.066763676
642	0.071627405
643	0.069158806
644	0.066163186
645	0.063047712
646	0.068794652
647	0.066359025
648	0.061494832
649	0.061772467
650	0.055735904
651	0.054831695
652	0.05311725
653	0.054050754
654	0.056522322
655	0.075608178
656	0.076172162
657	0.067056911
658	0.073648673
659	0.070456695
660	0.069559915
661	0.069559858
662	0.058927181
663	0.057192332
664	0.055029122
665	0.053587227
666	0.058950971
667	0.066437595
668	0.061348236
669	0.063476492
670	0.111559586
671	0.218820995
672	0.179142527
673	0.143825559
674	0.111620386
675	0.084687133
676	0.067843055
677	0.064293885
678	0.064452935
679	0.062013279
680	0.054448843
681	0.051366295
682	0.055001996
683	0.061603123
684	0.069017285
685	0.074704681
686	0.069360416
687	0.055321195
688	0.049940848
689	0.047694538
690	0.048536599
691	0.049372758
692	0.048514154
693	0.045614985
694	0.046217803
695	0.047878697
696	0.050698872
697	0.059843043
698	0.063716511
699	0.05941376
700	0.055777412
701	0.049785464
702	0.045704093
703	0.042011754
704	0.036704329
705	0.035414795
706	0.034990872
707	0.033058575
708	0.033236325
709	0.033903821
710	0.032641396
711	0.031656739
712	0.031721219
713	0.032462648
714	0.030387288
715	0.030424129
716	0.030882725
717	0.032615066
718	0.03172268
719	0.03061871
720	0.032433655
721	0.032097674
722	0.034907435
723	0.035638653
724	0.034436763
725	0.034055451
