#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/26
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0586	0.0619	0.0315
#xyY coordinates: 0.3855	0.4070	0.0619
#sRGB: 20	15	6
#CCT Lindbloom (K):	4075
#CCT McCamy (K):	4069
#CCT Hernández-Andrés (K):	4042
#Melatonin: 0.387
#Chlorophyll a: 0.065
#Chlorophyll b: 0.420
#Beta Carotene: 0.066
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: Riba-Roja de Turia streetlamps
#Begin Processed Spectral Data
W	S
475.00000000	0.00374038
476.00000000	0.00398617
477.00000000	0.00309234
478.00000000	0.00338797
479.00000000	0.00297851
480.00000000	0.00234369
481.00000000	0.00344226
482.00000000	0.00091713
483.00000000	0.00344903
484.00000000	0.00412669
485.00000000	0.00280043
486.00000000	0.00361207
487.00000000	0.00340369
488.00000000	0.00408040
489.00000000	0.00255393
490.00000000	0.00312031
491.00000000	0.00412014
492.00000000	0.01228718
493.00000000	0.00941417
494.00000000	0.00708414
495.00000000	0.00521739
496.00000000	0.00396932
497.00000000	0.00565690
498.00000000	0.00230133
499.00000000	0.00351904
500.00000000	0.00309990
501.00000000	0.00096112
502.00000000	0.00329617
503.00000000	0.00282588
504.00000000	0.00291058
505.00000000	0.00307010
506.00000000	0.00321750
507.00000000	0.00249182
508.00000000	0.00193976
509.00000000	0.00201747
510.00000000	0.00383738
511.00000000	0.00161830
512.00000000	0.00348683
513.00000000	0.00359823
514.00000000	0.00398205
515.00000000	0.00251719
516.00000000	0.00321042
517.00000000	0.00281985
518.00000000	0.00275784
519.00000000	0.00233338
520.00000000	0.00279510
521.00000000	0.00243063
522.00000000	0.00323213
523.00000000	0.00359479
524.00000000	0.00352662
525.00000000	0.00322836
526.00000000	0.00272798
527.00000000	0.00282586
528.00000000	0.00360347
529.00000000	0.00272139
530.00000000	0.00511596
531.00000000	0.00395562
532.00000000	0.00289999
533.00000000	0.00517453
534.00000000	0.00445180
535.00000000	0.00491392
536.00000000	0.00600564
537.00000000	0.00586668
538.00000000	0.00826065
539.00000000	0.01011287
540.00000000	0.00881491
541.00000000	0.00911043
542.00000000	0.00872072
543.00000000	0.01046548
544.00000000	0.01183677
545.00000000	0.04073345
546.00000000	0.52580518
547.00000000	1.00000000
548.00000000	0.52544081
549.00000000	0.41122950
550.00000000	0.20750918
551.00000000	0.06506646
552.00000000	0.02768666
553.00000000	0.01964912
554.00000000	0.01413128
555.00000000	0.01018603
556.00000000	0.00829773
557.00000000	0.00687465
558.00000000	0.00597647
559.00000000	0.00659535
560.00000000	0.00579571
561.00000000	0.00681875
562.00000000	0.00649908
563.00000000	0.00607400
564.00000000	0.00484555
565.00000000	0.00475582
566.00000000	0.00517866
567.00000000	0.00428034
568.00000000	0.00503218
569.00000000	0.00312637
570.00000000	0.00490688
571.00000000	0.00639641
572.00000000	0.00707950
573.00000000	0.00767381
574.00000000	0.00975818
575.00000000	0.01707686
576.00000000	0.06315670
577.00000000	0.32507385
578.00000000	0.43010122
579.00000000	0.46599059
580.00000000	0.54310009
581.00000000	0.29125260
582.00000000	0.19723906
583.00000000	0.10506108
584.00000000	0.03860078
585.00000000	0.02089636
586.00000000	0.01336041
587.00000000	0.01265582
588.00000000	0.01149806
589.00000000	0.01207926
590.00000000	0.01217662
591.00000000	0.01426407
592.00000000	0.02176068
593.00000000	0.03251981
594.00000000	0.04262264
595.00000000	0.04645088
596.00000000	0.04186860
597.00000000	0.03300603
598.00000000	0.02539236
599.00000000	0.01536080
600.00000000	0.01185846
601.00000000	0.00793735
602.00000000	0.00698113
603.00000000	0.00655525
604.00000000	0.00588073
605.00000000	0.00555712
606.00000000	0.00793280
607.00000000	0.00761988
608.00000000	0.00920214
609.00000000	0.01102990
610.00000000	0.01761561
611.00000000	0.02199595
612.00000000	0.02205556
613.00000000	0.03046771
614.00000000	0.05835012
615.00000000	0.08302642
616.00000000	0.08108823
617.00000000	0.07668754
618.00000000	0.09028083
619.00000000	0.12273647
620.00000000	0.17875073
621.00000000	0.18895160
622.00000000	0.14205409
623.00000000	0.10100566
624.00000000	0.06813964
625.00000000	0.03995965
626.00000000	0.02387435
627.00000000	0.02185580
628.00000000	0.01584970
629.00000000	0.01340885
630.00000000	0.01333497
631.00000000	0.01192649
632.00000000	0.01044252
633.00000000	0.01123057
634.00000000	0.00829716
635.00000000	0.00734290
636.00000000	0.00717042
637.00000000	0.00668988
638.00000000	0.00588779
639.00000000	0.00401409
640.00000000	0.00384380
641.00000000	0.00435890
642.00000000	0.00436428
643.00000000	0.00071784
644.00000000	0.00249696
645.00000000	0.00251543
646.00000000	0.00417382
647.00000000	0.00196117
648.00000000	0.00216694
649.00000000	0.00678684
650.00000000	0.00856657
651.00000000	0.01025437
652.00000000	0.00957952
653.00000000	0.01135797
654.00000000	0.00715796
655.00000000	0.00439091
656.00000000	0.00687452
657.00000000	0.00599707
658.00000000	0.00667537
659.00000000	0.00476092
660.00000000	0.00483927
661.00000000	0.00584357
662.00000000	0.00464207
663.00000000	0.00453067
664.00000000	0.00191042
665.00000000	0.00220626
666.00000000	0.00299394
667.00000000	0.00337730
668.00000000	0.00169868
669.00000000	0.00255380
670.00000000	0.00577318
671.00000000	0.00554223
672.00000000	0.00544670
673.00000000	0.00114397
674.00000000	0.00675917
675.00000000	0.00421642
676.00000000	0.00198489
677.00000000	0.00376507
678.00000000	0.00220853
679.00000000	0.00237323
680.00000000	0.00206693
681.00000000	0.00243290
682.00000000	0.00116355
683.00000000	0.00272916
684.00000000	0.00018218
685.00000000	0.00637126
686.00000000	0.00528036
687.00000000	0.00050254
688.00000000	0.00168481
689.00000000	0.00313288
690.00000000	0.00973849
691.00000000	0.01201273
692.00000000	0.01288495
693.00000000	0.01394759
694.00000000	0.01371586
695.00000000	0.02192093
696.00000000	0.03645094
697.00000000	0.05380577
698.00000000	0.06543188
699.00000000	0.06937909
700.00000000	0.06051255
701.00000000	0.04179245
702.00000000	0.03770350
703.00000000	0.04341553
704.00000000	0.04719081
705.00000000	0.04965356
706.00000000	0.03961727
707.00000000	0.03035728
708.00000000	0.02097554
709.00000000	0.01532287
710.00000000	0.00801664
711.00000000	0.00820744
712.00000000	0.00781182
713.00000000	0.00453383
714.00000000	0.00017711
715.00000000	0.00087438
716.00000000	0.00196632
717.00000000	0.00018898
718.00000000	0.00174663
719.00000000	0.00383844
720.00000000	0.00224159
721.00000000	0.00005719
722.00000000	0.00160562
723.00000000	0.00008615
724.00000000	0.00500891
725.00000000	0.00314603
