#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0581	0.0623	0.0383
#xyY coordinates: 0.3663	0.3926	0.0623
#sRGB: 19	16	8
#CCT Lindbloom (K):	4495
#CCT McCamy (K):	4484
#CCT Hernández-Andrés (K):	4464
#Melatonin: 0.535
#Chlorophyll a: 0.183
#Chlorophyll b: 0.503
#Beta Carotene: 0.185
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: Madrid streetlamp at Facultad de Telecomunicaciones
#Begin Processed Spectral Data
W	S
475.00000000	0.00452717
476.00000000	0.00427518
477.00000000	0.00880068
478.00000000	0.00935099
479.00000000	0.00606226
480.00000000	0.00672077
481.00000000	0.00545009
482.00000000	0.00584467
483.00000000	0.00782426
484.00000000	0.00758182
485.00000000	0.00895283
486.00000000	0.00753358
487.00000000	0.00741391
488.00000000	0.00799217
489.00000000	0.00533305
490.00000000	0.00724051
491.00000000	0.01514215
492.00000000	0.02190042
493.00000000	0.01463770
494.00000000	0.00973888
495.00000000	0.00603718
496.00000000	0.00706256
497.00000000	0.00951412
498.00000000	0.00751304
499.00000000	0.00749417
500.00000000	0.00863850
501.00000000	0.00491649
502.00000000	0.00350107
503.00000000	0.00788278
504.00000000	0.00649076
505.00000000	0.00455296
506.00000000	0.00579690
507.00000000	0.00560510
508.00000000	0.00374302
509.00000000	0.00648264
510.00000000	0.00655477
511.00000000	0.00573933
512.00000000	0.00726917
513.00000000	0.00736901
514.00000000	0.00539324
515.00000000	0.00687554
516.00000000	0.00677905
517.00000000	0.00578663
518.00000000	0.00710866
519.00000000	0.00617165
520.00000000	0.00569897
521.00000000	0.00243030
522.00000000	0.00548926
523.00000000	0.00602572
524.00000000	0.00611696
525.00000000	0.00545653
526.00000000	0.00483361
527.00000000	0.00552198
528.00000000	0.00743828
529.00000000	0.00718605
530.00000000	0.00644514
531.00000000	0.00547397
532.00000000	0.00732148
533.00000000	0.00967415
534.00000000	0.00788445
535.00000000	0.01057963
536.00000000	0.01278804
537.00000000	0.01385594
538.00000000	0.01385594
539.00000000	0.01431382
540.00000000	0.01144714
541.00000000	0.01137668
542.00000000	0.01162269
543.00000000	0.01180613
544.00000000	0.01282578
545.00000000	0.06716948
546.00000000	0.87576369
547.00000000	0.81890228
548.00000000	0.38320543
549.00000000	0.17889481
550.00000000	0.06203181
551.00000000	0.02845304
552.00000000	0.01820230
553.00000000	0.01663306
554.00000000	0.01406709
555.00000000	0.01161410
556.00000000	0.01017598
557.00000000	0.00953538
558.00000000	0.01005966
559.00000000	0.01137763
560.00000000	0.00927336
561.00000000	0.01132556
562.00000000	0.01066060
563.00000000	0.01048027
564.00000000	0.01133870
565.00000000	0.00796375
566.00000000	0.00914916
567.00000000	0.01180088
568.00000000	0.01407139
569.00000000	0.01558880
570.00000000	0.01415594
571.00000000	0.01221433
572.00000000	0.01350651
573.00000000	0.01585082
574.00000000	0.01672955
575.00000000	0.02515500
576.00000000	0.12423893
577.00000000	0.59288326
578.00000000	0.46985554
579.00000000	0.71654537
580.00000000	0.53225088
581.00000000	0.24361296
582.00000000	0.11929999
583.00000000	0.04716003
584.00000000	0.02444251
585.00000000	0.02001064
586.00000000	0.01816624
587.00000000	0.01946128
588.00000000	0.01682032
589.00000000	0.01675009
590.00000000	0.01645272
591.00000000	0.01570656
592.00000000	0.01709523
593.00000000	0.02355828
594.00000000	0.03261763
595.00000000	0.03456020
596.00000000	0.02366290
597.00000000	0.02004623
598.00000000	0.01839434
599.00000000	0.01599055
600.00000000	0.01510943
601.00000000	0.01060543
602.00000000	0.01271328
603.00000000	0.01274099
604.00000000	0.01217181
605.00000000	0.01195923
606.00000000	0.01265333
607.00000000	0.01029254
608.00000000	0.01394695
609.00000000	0.02281546
610.00000000	0.01938055
611.00000000	0.01908318
612.00000000	0.02000921
613.00000000	0.02264086
614.00000000	0.02907405
615.00000000	0.06537165
616.00000000	0.07913206
617.00000000	0.05190551
618.00000000	0.05419274
619.00000000	0.09553104
620.00000000	0.09989913
621.00000000	0.06172632
622.00000000	0.04469223
623.00000000	0.02834006
624.00000000	0.02177741
625.00000000	0.02053969
626.00000000	0.01695933
627.00000000	0.01927187
628.00000000	0.01367848
629.00000000	0.01571898
630.00000000	0.01136020
631.00000000	0.01125773
632.00000000	0.00875410
633.00000000	0.01009835
634.00000000	0.00983036
635.00000000	0.01011435
636.00000000	0.00974485
637.00000000	0.00919932
638.00000000	0.01096920
639.00000000	0.00750277
640.00000000	0.01060495
641.00000000	0.01029707
642.00000000	0.00885012
643.00000000	0.01016905
644.00000000	0.00857210
645.00000000	0.00977901
646.00000000	0.00874192
647.00000000	0.00737020
648.00000000	0.01015185
649.00000000	0.00956070
650.00000000	0.00801343
651.00000000	0.01016451
652.00000000	0.01304959
653.00000000	0.00998896
654.00000000	0.01007542
655.00000000	0.01174976
656.00000000	0.01172994
657.00000000	0.00757872
658.00000000	0.00618312
659.00000000	0.00952439
660.00000000	0.01411844
661.00000000	0.01265309
662.00000000	0.00809153
663.00000000	0.00797521
664.00000000	0.00707212
665.00000000	0.01126418
666.00000000	0.00633168
667.00000000	0.01230772
668.00000000	0.00821502
669.00000000	0.00729568
670.00000000	0.01181234
671.00000000	0.01209992
672.00000000	0.01420658
673.00000000	0.00706065
674.00000000	0.00425631
675.00000000	0.00333029
676.00000000	0.00867456
677.00000000	0.00926787
678.00000000	0.00782736
679.00000000	0.00769671
680.00000000	0.00829718
681.00000000	0.00838675
682.00000000	0.00807648
683.00000000	0.00898889
684.00000000	0.00742609
685.00000000	0.00618670
686.00000000	0.00985353
687.00000000	0.01093887
688.00000000	0.00652587
689.00000000	0.00484388
690.00000000	0.01496158
691.00000000	0.01896089
692.00000000	0.01997171
693.00000000	0.01594612
694.00000000	0.01103775
695.00000000	0.00337687
696.00000000	0.01014540
697.00000000	0.00957240
698.00000000	0.02802574
699.00000000	0.03844797
700.00000000	0.02638531
701.00000000	0.01935046
702.00000000	0.01841416
703.00000000	0.02051222
704.00000000	0.02262581
705.00000000	0.02870766
706.00000000	0.02104152
707.00000000	0.01850660
708.00000000	0.01658242
709.00000000	0.01212715
710.00000000	0.00866023
711.00000000	0.00943984
712.00000000	0.00558169
713.00000000	0.00812019
714.00000000	0.00242672
715.00000000	0.00956452
716.00000000	0.00865378
717.00000000	0.00676639
718.00000000	0.01298319
719.00000000	0.01456963
720.00000000	0.00884200
721.00000000	0.00345449
722.00000000	0.00716885
723.00000000	0.01260174
724.00000000	0.00000000
725.00000000	0.00677809
