#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0107	0.0128	0.0218
#xyY coordinates: 0.2360	0.2825	0.0128
#sRGB: 1	4	5
#CCT Lindbloom (K):	24382
#CCT McCamy (K):	16213
#CCT Hernández-Andrés (K):	18973
#Melatonin: 1.418
#Chlorophyll a: 0.231
#Chlorophyll b: 1.077
#Beta Carotene: 0.238
#Manufacturer: Oriel
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.00000000	0.00177546
476.00000000	0.00000000
477.00000000	0.00000000
478.00000000	0.00000000
479.00000000	0.00251750
480.00000000	0.00000000
481.00000000	0.00262203
482.00000000	0.00232031
483.00000000	0.00155530
484.00000000	0.00000000
485.00000000	0.00089520
486.00000000	0.00000000
487.00000000	0.00014129
488.00000000	0.00059501
489.00000000	0.00000000
490.00000000	0.00133935
491.00000000	0.00000000
492.00000000	0.00000000
493.00000000	0.00000000
494.00000000	0.00093885
495.00000000	0.00000000
496.00000000	0.00000000
497.00000000	0.00000000
498.00000000	0.00414593
499.00000000	0.00267602
500.00000000	0.00177737
501.00000000	0.00000000
502.00000000	0.00056859
503.00000000	0.00000000
504.00000000	0.00000000
505.00000000	0.00395946
506.00000000	0.00002757
507.00000000	0.00255349
508.00000000	0.00000000
509.00000000	0.00033771
510.00000000	0.00000000
511.00000000	0.00000000
512.00000000	0.00199524
513.00000000	0.00000000
514.00000000	0.00081173
515.00000000	0.00081900
516.00000000	0.00000000
517.00000000	0.00376917
518.00000000	0.00000000
519.00000000	0.00000000
520.00000000	0.00133322
521.00000000	0.00287091
522.00000000	0.00000000
523.00000000	0.00041697
524.00000000	0.00025998
525.00000000	0.00079105
526.00000000	0.00000000
527.00000000	0.00108320
528.00000000	0.00000000
529.00000000	0.00000000
530.00000000	0.00000000
531.00000000	0.00000000
532.00000000	0.00052724
533.00000000	0.00000000
534.00000000	0.00098020
535.00000000	0.00000000
536.00000000	0.00000000
537.00000000	0.00000000
538.00000000	0.00000000
539.00000000	0.00000000
540.00000000	0.00374083
541.00000000	0.00196269
542.00000000	0.00073936
543.00000000	0.00004288
544.00000000	0.00232031
545.00000000	0.01876083
546.00000000	0.43720991
547.00000000	0.36613256
548.00000000	0.13825421
549.00000000	0.04586330
550.00000000	0.00946963
551.00000000	0.00189262
552.00000000	0.00036375
553.00000000	0.00280811
554.00000000	0.00000000
555.00000000	0.00000000
556.00000000	0.00033311
557.00000000	0.00168548
558.00000000	0.00203697
559.00000000	0.00121185
560.00000000	0.00153960
561.00000000	0.00000000
562.00000000	0.00000000
563.00000000	0.00000000
564.00000000	0.00156487
565.00000000	0.00000000
566.00000000	0.00160775
567.00000000	0.00000000
568.00000000	0.00000000
569.00000000	0.00155798
570.00000000	0.00157444
571.00000000	0.00030516
572.00000000	0.00000000
573.00000000	0.00000000
574.00000000	0.00000000
575.00000000	0.00000000
576.00000000	0.00000000
577.00000000	0.04667885
578.00000000	0.03405421
579.00000000	0.06629238
580.00000000	0.04181577
581.00000000	0.01608749
582.00000000	0.00573990
583.00000000	0.00000000
584.00000000	0.00042577
585.00000000	0.00000000
586.00000000	0.00000000
587.00000000	0.00000000
588.00000000	0.00038136
589.00000000	0.00509971
590.00000000	0.00000000
591.00000000	0.00000000
592.00000000	0.00000000
593.00000000	0.00000000
594.00000000	0.00000000
595.00000000	0.00245279
596.00000000	0.00279854
597.00000000	0.00003408
598.00000000	0.00183825
599.00000000	0.00000000
600.00000000	0.00000000
601.00000000	0.00000000
602.00000000	0.00243058
603.00000000	0.00000000
604.00000000	0.00089749
605.00000000	0.00000000
606.00000000	0.00000000
607.00000000	0.00000000
608.00000000	0.00000000
609.00000000	0.00106252
610.00000000	0.00000000
611.00000000	0.00433355
612.00000000	0.00000000
613.00000000	0.00233103
614.00000000	0.00000000
615.00000000	0.00003752
616.00000000	0.00000000
617.00000000	0.00000000
618.00000000	0.00000000
619.00000000	0.00211968
620.00000000	0.00000000
621.00000000	0.00044185
622.00000000	0.00000000
623.00000000	0.00255196
624.00000000	0.00000000
625.00000000	0.00000000
626.00000000	0.00000000
627.00000000	0.00000000
628.00000000	0.00000000
629.00000000	0.00000000
630.00000000	0.00000000
631.00000000	0.00000000
632.00000000	0.00000000
633.00000000	0.00106290
634.00000000	0.00111306
635.00000000	0.00099283
636.00000000	0.00000000
637.00000000	0.00000000
638.00000000	0.00000000
639.00000000	0.00000000
