#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/17
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0714	0.1635	0.0398
#xyY coordinates: 0.2599	0.5952	0.1635
#sRGB: 0	61	3
#CCT Lindbloom (K):	6801
#CCT McCamy (K):	6833
#CCT Hernández-Andrés (K):	6739
#Melatonin: 0.375
#Chlorophyll a: 0.004
#Chlorophyll b: 0.206
#Beta Carotene: 0.005
#Manufacturer: unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.00000000	0.00105948
476.00000000	0.00134319
477.00000000	0.00140232
478.00000000	0.00287643
479.00000000	0.00144468
480.00000000	0.00226869
481.00000000	0.00203862
482.00000000	0.00341699
483.00000000	0.00242994
484.00000000	0.00350150
485.00000000	0.00575296
486.00000000	0.00536294
487.00000000	0.00443334
488.00000000	0.00903097
489.00000000	0.01070042
490.00000000	0.01095378
491.00000000	0.01614626
492.00000000	0.01937534
493.00000000	0.02079292
494.00000000	0.01996610
495.00000000	0.02666985
496.00000000	0.02748815
497.00000000	0.03382518
498.00000000	0.03791501
499.00000000	0.04319477
500.00000000	0.05041968
501.00000000	0.05700880
502.00000000	0.06362284
503.00000000	0.06941205
504.00000000	0.08011276
505.00000000	0.09092941
506.00000000	0.10000966
507.00000000	0.11073703
508.00000000	0.12043135
509.00000000	0.13435625
510.00000000	0.14913390
511.00000000	0.16209384
512.00000000	0.17702184
513.00000000	0.18949170
514.00000000	0.20595252
515.00000000	0.22596005
516.00000000	0.23755851
517.00000000	0.25095367
518.00000000	0.27029475
519.00000000	0.27825557
520.00000000	0.29293273
521.00000000	0.30552566
522.00000000	0.31583435
523.00000000	0.32265356
524.00000000	0.33019667
525.00000000	0.33629290
526.00000000	0.34144880
527.00000000	0.34612224
528.00000000	0.34859741
529.00000000	0.35012003
530.00000000	0.34937633
531.00000000	0.35253242
532.00000000	0.34289663
533.00000000	0.34297878
534.00000000	0.33995650
535.00000000	0.33605968
536.00000000	0.32974127
537.00000000	0.31925953
538.00000000	0.31572325
539.00000000	0.30804987
540.00000000	0.29693124
541.00000000	0.29402973
542.00000000	0.28284471
543.00000000	0.28219382
544.00000000	0.26931383
545.00000000	0.30244006
