#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/17
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0788	0.0456	0.0128
#xyY coordinates: 0.5743	0.3322	0.0456
#sRGB: 46	2	2
#CCT Lindbloom (K):	0
#CCT McCamy (K):	1848
#CCT Hernández-Andrés (K):	281
#Melatonin: 0.215
#Chlorophyll a: 0.078
#Chlorophyll b: 0.458
#Beta Carotene: 0.077
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.00000000	0.00000000
476.00000000	0.00000000
477.00000000	0.00066250
478.00000000	0.00000000
479.00000000	0.00084366
480.00000000	0.00007499
481.00000000	0.00005557
482.00000000	0.00000000
483.00000000	0.00032740
484.00000000	0.00000000
485.00000000	0.00010879
486.00000000	0.00000000
487.00000000	0.00021485
488.00000000	0.00000000
489.00000000	0.00000000
490.00000000	0.00000000
491.00000000	0.00086431
492.00000000	0.00174775
493.00000000	0.00074848
494.00000000	0.00009798
495.00000000	0.00105661
496.00000000	0.00000000
497.00000000	0.00000000
498.00000000	0.00035393
499.00000000	0.00024855
500.00000000	0.00000000
501.00000000	0.00006475
502.00000000	0.00000000
503.00000000	0.00010888
504.00000000	0.00000000
505.00000000	0.00000000
506.00000000	0.00000000
507.00000000	0.00007061
508.00000000	0.00001244
509.00000000	0.00006663
510.00000000	0.00043021
511.00000000	0.00000075
512.00000000	0.00000000
513.00000000	0.00000000
514.00000000	0.00000000
515.00000000	0.00000000
516.00000000	0.00000000
517.00000000	0.00011038
518.00000000	0.00000081
519.00000000	0.00001261
520.00000000	0.00023013
521.00000000	0.00000124
522.00000000	0.00115697
523.00000000	0.00014557
524.00000000	0.00000000
525.00000000	0.00001300
526.00000000	0.00000000
527.00000000	0.00057387
528.00000000	0.00053759
529.00000000	0.00007745
530.00000000	0.00070262
531.00000000	0.00070164
532.00000000	0.00093747
533.00000000	0.00124066
534.00000000	0.00152328
535.00000000	0.00116579
536.00000000	0.00152319
537.00000000	0.00491611
538.00000000	0.00855678
539.00000000	0.01071064
540.00000000	0.00546170
541.00000000	0.00472163
542.00000000	0.00402363
543.00000000	0.00335407
544.00000000	0.00489691
545.00000000	0.01601886
546.00000000	0.26846837
547.00000000	0.22715495
548.00000000	0.11952830
549.00000000	0.06452902
550.00000000	0.01522572
551.00000000	0.00608238
552.00000000	0.00399431
553.00000000	0.00475586
554.00000000	0.00474390
555.00000000	0.00547531
556.00000000	0.00600920
557.00000000	0.00552904
558.00000000	0.00543290
559.00000000	0.00634631
560.00000000	0.00569277
561.00000000	0.00679209
562.00000000	0.00664373
563.00000000	0.00796557
564.00000000	0.00633066
565.00000000	0.00632460
566.00000000	0.00757255
567.00000000	0.00758092
568.00000000	0.00641396
569.00000000	0.00735968
570.00000000	0.00748371
571.00000000	0.00725439
572.00000000	0.00753522
573.00000000	0.00894148
574.00000000	0.00975714
575.00000000	0.01029004
576.00000000	0.01062720
577.00000000	0.05350942
578.00000000	0.04018017
579.00000000	0.06341113
580.00000000	0.05050077
581.00000000	0.02802462
582.00000000	0.02335619
583.00000000	0.01490454
584.00000000	0.01380516
585.00000000	0.01639041
586.00000000	0.02145665
587.00000000	0.02455349
588.00000000	0.02721525
589.00000000	0.02604612
590.00000000	0.02489998
591.00000000	0.02606948
592.00000000	0.02558686
593.00000000	0.06119830
594.00000000	0.13213690
595.00000000	0.19007214
596.00000000	0.11757620
597.00000000	0.08360121
598.00000000	0.05121031
599.00000000	0.03376210
600.00000000	0.02867578
601.00000000	0.02384693
602.00000000	0.02352465
603.00000000	0.02461569
604.00000000	0.02621798
605.00000000	0.02774897
606.00000000	0.03105408
607.00000000	0.03163248
608.00000000	0.03972006
609.00000000	0.07664790
610.00000000	0.11051295
611.00000000	0.09847113
612.00000000	0.09473409
613.00000000	0.10386346
614.00000000	0.14857673
615.00000000	0.48307470
616.00000000	0.69108195
617.00000000	0.40950529
618.00000000	0.38537804
619.00000000	0.85107435
620.00000000	1.00000000
621.00000000	0.59800454
622.00000000	0.42376880
623.00000000	0.23339722
624.00000000	0.12572560
625.00000000	0.09278527
626.00000000	0.08011272
627.00000000	0.07083776
