#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0220	0.0130	0.0000
#xyY coordinates: 0.6274	0.3713	0.0130
#sRGB: 13	1	0
#CCT Lindbloom (K):	---
#CCT McCamy (K):	1781
#CCT Hernández-Andrés (K):	319
#Melatonin: 0.021
#Chlorophyll a: 1.247
#Chlorophyll b: 0.713
#Beta Carotene: 1.249
#Manufacturer: Photron
#Luminance manufacturer: Unknown
#Other data: Calibration lamp tested in laboratory
#Begin Processed Spectral Data
W	S
475.00000000	0.00000074
476.00000000	0.00000000
477.00000000	0.00000000
478.00000000	0.00000000
479.00000000	0.00003313
480.00000000	0.00000000
481.00000000	0.00000000
482.00000000	0.00001308
483.00000000	0.00008611
484.00000000	0.00013005
485.00000000	0.00000004
486.00000000	0.00000000
487.00000000	0.00000353
488.00000000	0.00000000
489.00000000	0.00003755
490.00000000	0.00000000
491.00000000	0.00000000
492.00000000	0.00000000
493.00000000	0.00000000
494.00000000	0.00000000
495.00000000	0.00000000
496.00000000	0.00000000
497.00000000	0.00000000
498.00000000	0.00000000
499.00000000	0.00000000
500.00000000	0.00000000
501.00000000	0.00004083
502.00000000	0.00011965
503.00000000	0.00020804
504.00000000	0.00120331
505.00000000	0.00030221
506.00000000	0.00000575
507.00000000	0.00000001
508.00000000	0.00061497
509.00000000	0.00044305
510.00000000	0.00000413
511.00000000	0.00015993
512.00000000	0.00101992
513.00000000	0.00029701
514.00000000	0.00009184
515.00000000	0.00052915
516.00000000	0.00031594
517.00000000	0.00011566
518.00000000	0.00003120
519.00000000	0.00017003
520.00000000	0.00049617
521.00000000	0.00067575
522.00000000	0.00033568
523.00000000	0.00020709
524.00000000	0.00013384
525.00000000	0.00000000
526.00000000	0.00000000
527.00000000	0.00000000
528.00000000	0.00000000
529.00000000	0.00013810
530.00000000	0.00019781
531.00000000	0.00016536
532.00000000	0.00004734
533.00000000	0.00239801
534.00000000	0.00428787
535.00000000	0.00329854
536.00000000	0.00042863
537.00000000	0.00015747
538.00000000	0.00006244
539.00000000	0.00027876
540.00000000	0.00448482
541.00000000	0.00356476
542.00000000	0.00045353
543.00000000	0.00013324
544.00000000	0.00000000
545.00000000	0.00014770
546.00000000	0.00000000
547.00000000	0.00000000
548.00000000	0.00000000
549.00000000	0.00000000
550.00000000	0.00009831
551.00000000	0.00000000
552.00000000	0.00000002
553.00000000	0.00000582
554.00000000	0.00002514
555.00000000	0.00000000
556.00000000	0.00015971
557.00000000	0.00031890
558.00000000	0.00007259
559.00000000	0.00002339
560.00000000	0.00000000
561.00000000	0.00000000
562.00000000	0.00000000
563.00000000	0.00000000
564.00000000	0.00005302
565.00000000	0.00041470
566.00000000	0.00123730
567.00000000	0.00035336
568.00000000	0.00012314
569.00000000	0.00056267
570.00000000	0.00022120
571.00000000	0.00010830
572.00000000	0.00041797
573.00000000	0.00016820
574.00000000	0.00027713
575.00000000	0.00204106
576.00000000	0.00594740
577.00000000	0.00936269
578.00000000	0.00215888
579.00000000	0.00068591
580.00000000	0.00133581
581.00000000	0.00215420
582.00000000	0.00587469
583.00000000	0.00353264
584.00000000	0.00671747
585.00000000	0.29330098
586.00000000	0.27796091
587.00000000	0.05186730
588.00000000	0.04097867
589.00000000	0.02703302
590.00000000	0.00899023
591.00000000	0.00679064
592.00000000	0.00314035
593.00000000	0.00136075
594.00000000	0.02781678
595.00000000	0.04912723
596.00000000	0.01180653
597.00000000	0.01331581
598.00000000	0.02054134
599.00000000	0.00649251
600.00000000	0.00222791
601.00000000	0.00069684
602.00000000	0.00234377
603.00000000	0.02239493
604.00000000	0.01066401
605.00000000	0.00177710
606.00000000	0.00136632
607.00000000	0.04173889
608.00000000	0.05907757
609.00000000	0.05070556
610.00000000	0.10019914
611.00000000	0.02339510
612.00000000	0.00607172
613.00000000	0.00758166
614.00000000	0.08295085
615.00000000	0.08064529
616.00000000	0.04869005
617.00000000	0.04170588
618.00000000	0.00990329
619.00000000	0.00333982
620.00000000	0.00146302
621.00000000	0.01177503
622.00000000	0.03334960
623.00000000	0.00915157
624.00000000	0.00168558
625.00000000	0.00151864
626.00000000	0.03087259
627.00000000	0.07433300
628.00000000	0.01787834
629.00000000	0.00443212
630.00000000	0.02682546
631.00000000	0.03875080
632.00000000	0.00910369
633.00000000	0.05872119
634.00000000	0.07182242
635.00000000	0.01455354
636.00000000	0.00418159
637.00000000	0.00444575
638.00000000	0.10532614
639.00000000	0.09372291
640.00000000	0.21086508
641.00000000	0.13922492
642.00000000	0.03054925
643.00000000	0.00914954
644.00000000	0.00327504
645.00000000	0.00120299
646.00000000	0.00045265
647.00000000	0.00028273
648.00000000	0.00039583
649.00000000	0.00127994
650.00000000	0.09205127
651.00000000	0.19027415
652.00000000	0.04191432
653.00000000	0.04993611
654.00000000	0.03346570
655.00000000	0.00636683
656.00000000	0.00140118
657.00000000	0.00055696
658.00000000	0.00018545
659.00000000	0.02031247
660.00000000	0.09274366
661.00000000	0.02817422
662.00000000	0.00577443
663.00000000	0.00170421
664.00000000	0.00056113
665.00000000	0.00063205
666.00000000	0.00069741
667.00000000	0.05715109
668.00000000	0.18177548
669.00000000	0.04792561
670.00000000	0.01037971
671.00000000	0.05041790
672.00000000	0.10201533
673.00000000	0.02264925
674.00000000	0.00500470
675.00000000	0.00159747
676.00000000	0.00045667
677.00000000	0.00021352
678.00000000	0.00000000
679.00000000	0.00019696
680.00000000	0.00000000
681.00000000	0.00000000
682.00000000	0.00000008
683.00000000	0.00001768
684.00000000	0.00000000
685.00000000	0.00003813
686.00000000	0.00000000
687.00000000	0.00000036
688.00000000	0.00000000
689.00000000	0.00000005
690.00000000	0.00012851
691.00000000	0.00047177
692.00000000	0.04033320
693.00000000	0.18006310
694.00000000	0.05353179
695.00000000	0.01070583
696.00000000	0.00340512
697.00000000	0.00042106
698.00000000	0.00026692
699.00000000	0.00025601
700.00000000	0.00016141
701.00000000	0.00053888
702.00000000	0.02233626
703.00000000	0.18878544
704.00000000	0.09725151
705.00000000	0.02206973
706.00000000	0.01162836
707.00000000	0.00342676
708.00000000	0.00033738
709.00000000	0.00021034
710.00000000	0.00000000
711.00000000	0.00001567
712.00000000	0.00000016
713.00000000	0.00349468
714.00000000	0.01125396
715.00000000	0.01955408
716.00000000	0.00955809
717.00000000	0.01014147
718.00000000	0.00362755
719.00000000	0.00155127
720.00000000	0.00431299
721.00000000	0.00701400
722.00000000	0.00291541
723.00000000	0.00112305
724.00000000	0.00129404
725.00000000	0.00133687
