#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/01/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0749	0.0443	0.0001
#xyY coordinates: 0.6274	0.3717	0.0443
#sRGB: 44	3	0
#CCT Lindbloom (K):	---
#CCT McCamy (K):	1780
#CCT Hernández-Andrés (K):	319
#Melatonin: 0.021
#Chlorophyll a: 2.621
#Chlorophyll b: 0.713
#Beta Carotene: 2.607
#Manufacturer: Photron
#Luminance manufacturer: Unknown
#Other data: Calibration lamp tested in laboratory
#Begin Processed Spectral Data
W	S
475.00000000	0.00000251
476.00000000	0.00000000
477.00000000	0.00000000
478.00000000	0.00000000
479.00000000	0.00011296
480.00000000	0.00000000
481.00000000	0.00000000
482.00000000	0.00004459
483.00000000	0.00029358
484.00000000	0.00044340
485.00000000	0.00000015
486.00000000	0.00000000
487.00000000	0.00001204
488.00000000	0.00000000
489.00000000	0.00012801
490.00000000	0.00000000
491.00000000	0.00000000
492.00000000	0.00000000
493.00000000	0.00000000
494.00000000	0.00000000
495.00000000	0.00000000
496.00000000	0.00000000
497.00000000	0.00000000
498.00000000	0.00000000
499.00000000	0.00000000
500.00000000	0.00000000
501.00000000	0.00013921
502.00000000	0.00040794
503.00000000	0.00070930
504.00000000	0.00410264
505.00000000	0.00103036
506.00000000	0.00001962
507.00000000	0.00000002
508.00000000	0.00209673
509.00000000	0.00151057
510.00000000	0.00001408
511.00000000	0.00054526
512.00000000	0.00347739
513.00000000	0.00101266
514.00000000	0.00031314
515.00000000	0.00180412
516.00000000	0.00107720
517.00000000	0.00039435
518.00000000	0.00010639
519.00000000	0.00057970
520.00000000	0.00169167
521.00000000	0.00230394
522.00000000	0.00114448
523.00000000	0.00070608
524.00000000	0.00045632
525.00000000	0.00000000
526.00000000	0.00000000
527.00000000	0.00000000
528.00000000	0.00000000
529.00000000	0.00047084
530.00000000	0.00067441
531.00000000	0.00056380
532.00000000	0.00016142
533.00000000	0.00817594
534.00000000	0.01461934
535.00000000	0.01124626
536.00000000	0.00146141
537.00000000	0.00053690
538.00000000	0.00021290
539.00000000	0.00095042
540.00000000	0.01529085
541.00000000	0.01215394
542.00000000	0.00154631
543.00000000	0.00045427
544.00000000	0.00000000
545.00000000	0.00050357
546.00000000	0.00000000
547.00000000	0.00000000
548.00000000	0.00000000
549.00000000	0.00000000
550.00000000	0.00033520
551.00000000	0.00000000
552.00000000	0.00000008
553.00000000	0.00001985
554.00000000	0.00008570
555.00000000	0.00000000
556.00000000	0.00054452
557.00000000	0.00108729
558.00000000	0.00024750
559.00000000	0.00007976
560.00000000	0.00000000
561.00000000	0.00000000
562.00000000	0.00000000
563.00000000	0.00000000
564.00000000	0.00018076
565.00000000	0.00141392
566.00000000	0.00421853
567.00000000	0.00120477
568.00000000	0.00041985
569.00000000	0.00191839
570.00000000	0.00075416
571.00000000	0.00036926
572.00000000	0.00142506
573.00000000	0.00057346
574.00000000	0.00094488
575.00000000	0.00695893
576.00000000	0.02027747
577.00000000	0.03192178
578.00000000	0.00736064
579.00000000	0.00233859
580.00000000	0.00455440
581.00000000	0.00734469
582.00000000	0.02002957
583.00000000	0.01204443
