# Ceramic Metal Halide
#
# average spectrum made of:
# CMH_Ceramic_Metal_Halide_2378K_SFH_1_Mayo_cor
# CMH_Ceramic_Metal_Halide_2586K_SFH_Panos_H_cor
# CMH_Ceramic_Metal_Halide_2620K_SFH_Panos_L_cor
# CMH_Ceramic_Metal_Halide_2691K_SFH_Police_cor
# CMH_Ceramic_Metal_Halide_2829K_Almeria_Calle_Gregorio_Maranon_cor
# CMH_Ceramic_Metal_Halide_2832K_SFH_Eugenia_cor
# CMH_Ceramic_Metal_Halide_5381K_SFH_Saramago_cor
# CMH_Ceramic_Metal_Halide_6545K_SFH_P_General_cor
#
# W	S
450	0.0918215952381
471	0.208810738095
492	0.201115130952
513	0.219188809524
534	0.521883392857
555	0.285924011905
576	0.436501845238
597	0.646482083333
618	0.616198678571
639	0.441839130952
660	0.36555372619
681	0.30236922619
702	0.178483071429
723	0.136517345238
744	0.10061597619
