# High Pressure Sodium
#
# average spectrum made of:
# HPS_High_Pressure_Sodium_1732K_SFH_Toledo_cor
# HPS_High_Pressure_Sodium_1819K_Riba_Roja_Plaza_Ajuntament_cor
# HPS_High_Pressure_Sodium_1869K_Riba_Roja_cor
# HPS_High_Pressure_Sodium_1895K_Ager_cor
# HPS_High_Pressure_Sodium_1920K_SFH_Alix_cor
# HPS_High_Pressure_Sodium_2005K_F_Fisicas_cor
# HPS_High_Pressure_Sodium_2038K_Riba_Roja_Plaza_Ajuntament_cor
# HPS_High_Pressure_Sodium_2176K_Riba_Roja_cor
# HPS_High_Pressure_Sodium_2255K_Paraninfo_UCM_cor
#
# W	S
475	0.0175002
495	0.142409675
515	0.05621575
535	0.04164195
555	0.2763467
575	1.211442925
595	1.330968625
615	0.85080215
635	0.376053575
655	0.254678925
675	0.2121841
695	0.1238585
715	0.104231275
735	0.0022714
