#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/006/28
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.4247	0.5979	0.0164
#xyY coordinates: 0.4088	0.5755	0.5979
#sRGB: 115	181	0
#CCT Lindbloom (K):	4349
#CCT McCamy (K):	4309
#CCT Hernández-Andrés (K):	4209
#Melatonin: 0.127
#Chlorophyll a: 0.091
#Chlorophyll b: 0.156
#Beta Carotene: 0.093
#Family and genus: Lampyridae
#Other data: Founded inside Áger (Catalonia - Spain).
#Begin Processed Spectral Data
#W	S
300.00000000	0.02239153
301.00000000	0.03173666
302.00000000	0.00000000
303.00000000	0.05655872
304.00000000	0.04803651
305.00000000	0.17341261
306.00000000	0.00000000
307.00000000	0.05866682
308.00000000	0.00041423
309.00000000	0.00931990
310.00000000	0.05697979
311.00000000	0.08941814
312.00000000	0.00100512
313.00000000	0.00000000
314.00000000	0.08977347
315.00000000	0.02444651
316.00000000	0.14916962
317.00000000	0.00197112
318.00000000	0.00075379
319.00000000	0.11583684
320.00000000	0.00853061
321.00000000	0.00438833
322.00000000	0.03426158
323.00000000	0.00206971
324.00000000	0.12140760
325.00000000	0.03744337
326.00000000	0.06964765
327.00000000	0.00004029
328.00000000	0.00192150
329.00000000	0.01403285
330.00000000	0.00000000
331.00000000	0.00192218
332.00000000	0.04978885
333.00000000	0.00778867
334.00000000	0.07606298
335.00000000	0.00441833
336.00000000	0.13599931
337.00000000	0.00032874
338.00000000	0.01223462
339.00000000	0.07767035
340.00000000	0.06924007
341.00000000	0.01501174
342.00000000	0.00000000
343.00000000	0.00000000
344.00000000	0.00000000
345.00000000	0.06396647
346.00000000	0.01960165
347.00000000	0.00787102
348.00000000	0.00072388
349.00000000	0.00000000
350.00000000	0.02976009
351.00000000	0.01051328
352.00000000	0.00526140
353.00000000	0.00000000
354.00000000	0.01322944
355.00000000	0.02946438
356.00000000	0.01565580
357.00000000	0.00388770
358.00000000	0.01489342
359.00000000	0.00000000
360.00000000	0.03835810
361.00000000	0.01696391
362.00000000	0.02599068
363.00000000	0.00000000
364.00000000	0.00157381
365.00000000	0.00000000
366.00000000	0.00833708
367.00000000	0.00018386
368.00000000	0.00545195
369.00000000	0.00000000
370.00000000	0.02816995
371.00000000	0.00550723
372.00000000	0.01805823
373.00000000	0.00681840
374.00000000	0.00628533
375.00000000	0.00000000
376.00000000	0.00006228
377.00000000	0.01397648
378.00000000	0.00646555
379.00000000	0.00000000
380.00000000	0.10830161
381.00000000	0.00047210
382.00000000	0.00000000
383.00000000	0.00606009
384.00000000	0.03125177
385.00000000	0.01100190
386.00000000	0.00000000
387.00000000	0.00306254
388.00000000	0.00772443
389.00000000	0.00037835
390.00000000	0.00473495
391.00000000	0.01106724
392.00000000	0.00000000
393.00000000	0.00045651
394.00000000	0.02008805
395.00000000	0.00891638
396.00000000	0.00000000
397.00000000	0.02385014
398.00000000	0.00000000
399.00000000	0.00000000
400.00000000	0.00000000
401.00000000	0.00130711
402.00000000	0.02124012
403.00000000	0.00000000
404.00000000	0.01538013
405.00000000	0.00000000
406.00000000	0.00000000
407.00000000	0.01166883
408.00000000	0.01826294
409.00000000	0.01058805
410.00000000	0.01066648
411.00000000	0.00126148
412.00000000	0.00002953
413.00000000	0.00000000
414.00000000	0.00028501
415.00000000	0.00090208
416.00000000	0.01006696
417.00000000	0.00545654
418.00000000	0.00000000
419.00000000	0.00258334
420.00000000	0.00005275
421.00000000	0.00088685
422.00000000	0.06029394
423.00000000	0.00911451
424.00000000	0.00001701
425.00000000	0.00452612
426.00000000	0.00000000
427.00000000	0.01964771
428.00000000	0.00000000
429.00000000	0.01183680
430.00000000	0.00750770
431.00000000	0.00000000
432.00000000	0.00000000
433.00000000	0.00610263
434.00000000	0.00000000
435.00000000	0.00544484
436.00000000	0.00000000
437.00000000	0.01268187
438.00000000	0.00562514
439.00000000	0.01555266
440.00000000	0.00000000
441.00000000	0.00758586
442.00000000	0.00000000
443.00000000	0.00041252
444.00000000	0.00000000
445.00000000	0.00488202
446.00000000	0.00000000
447.00000000	0.00000000
448.00000000	0.00000000
449.00000000	0.00282393
450.00000000	0.00000000
451.00000000	0.00265992
452.00000000	0.00416294
453.00000000	0.00124295
454.00000000	0.00544972
455.00000000	0.01217023
456.00000000	0.01620342
457.00000000	0.00044642
458.00000000	0.00637753
459.00000000	0.00118666
460.00000000	0.00246768
461.00000000	0.00000000
462.00000000	0.00412318
463.00000000	0.00000000
464.00000000	0.00214949
465.00000000	0.00000000
466.00000000	0.00200047
467.00000000	0.00168664
468.00000000	0.00456600
469.00000000	0.00284095
470.00000000	0.00000000
471.00000000	0.00010956
472.00000000	0.00000000
473.00000000	0.00387543
474.00000000	0.00604815
475.00000000	0.00000000
476.00000000	0.00171937
477.00000000	0.01897150
478.00000000	0.01131871
479.00000000	0.00000000
480.00000000	0.00000000
481.00000000	0.00000000
482.00000000	0.00005670
483.00000000	0.00616315
484.00000000	0.01887672
485.00000000	0.00678255
486.00000000	0.02332557
487.00000000	0.00533686
488.00000000	0.00001064
489.00000000	0.00553147
490.00000000	0.00633450
491.00000000	0.01354008
492.00000000	0.01823770
493.00000000	0.01980640
494.00000000	0.01093822
495.00000000	0.03074760
496.00000000	0.01617292
497.00000000	0.02176224
498.00000000	0.02986559
499.00000000	0.02704774
500.00000000	0.03654877
501.00000000	0.03628205
502.00000000	0.04078873
503.00000000	0.04699043
504.00000000	0.04978570
505.00000000	0.06646165
506.00000000	0.07960713
507.00000000	0.08492018
508.00000000	0.09554426
509.00000000	0.10957870
510.00000000	0.12661995
511.00000000	0.13574272
512.00000000	0.15354156
513.00000000	0.17000044
514.00000000	0.19940288
515.00000000	0.21070602
516.00000000	0.23099853
517.00000000	0.27853782
518.00000000	0.29607756
519.00000000	0.29470162
520.00000000	0.33065522
521.00000000	0.35772014
522.00000000	0.38622627
523.00000000	0.42300778
524.00000000	0.44991441
