#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/14
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0955	0.0853	0.0224
#xyY coordinates: 0.4698	0.4199	0.0853
#sRGB: 43	17	3
#CCT Lindbloom (K):	2634
#CCT McCamy (K):	2634
#CCT Hernández-Andrés (K):	2531
#Melatonin: 0.272
#Chlorophyll a: 0.059
#Chlorophyll b: 0.327
#Beta Carotene: 0.058
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00027227
302.00000000	0.00000000
303.00000000	0.00000000
304.00000000	0.00000000
305.00000000	0.00000000
306.00000000	0.00000000
307.00000000	0.00000000
308.00000000	0.00000000
309.00000000	0.00000000
310.00000000	0.00000000
311.00000000	0.00000000
312.00000000	0.00539156
313.00000000	0.00453449
314.00000000	0.00298829
315.00000000	0.00000000
316.00000000	0.00000000
317.00000000	0.00000000
318.00000000	0.00000000
319.00000000	0.00000000
320.00000000	0.00000000
321.00000000	0.00000000
322.00000000	0.00000000
323.00000000	0.00000000
324.00000000	0.00000000
325.00000000	0.00000000
326.00000000	0.00000000
327.00000000	0.00000000
328.00000000	0.00000000
329.00000000	0.00000000
330.00000000	0.00000000
331.00000000	0.00000000
332.00000000	0.00000000
333.00000000	0.00000000
334.00000000	0.00000000
335.00000000	0.00000000
336.00000000	0.00000000
337.00000000	0.00082422
338.00000000	0.00000000
339.00000000	0.00000000
340.00000000	0.00000000
341.00000000	0.00000000
342.00000000	0.00000000
343.00000000	0.00000000
344.00000000	0.00204471
345.00000000	0.00007888
346.00000000	0.00000000
347.00000000	0.00000000
348.00000000	0.00000000
349.00000000	0.00000000
350.00000000	0.00200307
351.00000000	0.00052812
352.00000000	0.00000000
353.00000000	0.00000000
354.00000000	0.00000000
355.00000000	0.00349536
356.00000000	0.00028592
357.00000000	0.00105832
358.00000000	0.00294573
359.00000000	0.00000000
360.00000000	0.00130376
361.00000000	0.00000000
362.00000000	0.00034676
363.00000000	0.00470451
364.00000000	0.03106801
365.00000000	0.13245665
366.00000000	0.13321934
367.00000000	0.05563409
368.00000000	0.01249124
369.00000000	0.00299963
370.00000000	0.00103750
371.00000000	0.00288790
372.00000000	0.00247521
373.00000000	0.00135766
374.00000000	0.00000000
375.00000000	0.00148929
376.00000000	0.00050892
377.00000000	0.00084319
