# Compact Fluorescent Lamp
#
# average spectrum made of:
# CFL_Compact_Fluorescent_Lamp_2478K_LICA_Westinghouse_cor
# CFL_Compact_Fluorescent_Lamp_2634K_LICA_cor
# CFL_Compact_Fluorescent_Lamp_2776K_LICA_Philips_Master_PL_2700K_cor
# CFL_Compact_Fluorescent_Lamp_5782K_LICA_cor
#
# W	S
300	0
301	6.80675E-05
302	0
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	0
312	0.00134789
313	0.004707033
314	0.010045678
315	0.002268623
316	0
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	0.000335893
327	0
328	0
329	0.00008986
330	0
331	0
332	0
333	0
334	0.000373283
335	0.003028593
336	0.001339085
337	0.000219698
338	0.00000352
339	0.000241435
340	0.000313253
341	0.00053032
342	0.000639665
343	0.000159165
344	0.001058165
345	0.00002981
346	2.01725E-05
347	0.000442498
348	0
349	0.000334418
350	0.000632063
351	0.000592678
352	0.000532728
353	0.000521415
354	0.000754768
355	0.00161662
356	0.000501863
357	0.00073292
358	0.00106814
359	0.000569355
360	0.001340495
361	0.001115698
362	0.000982573
363	0.002563658
364	0.011798525
365	0.069689753
366	0.11664324
367	0.06419149
368	0.017609558
369	0.003730263
370	0.00114784
371	0.00207141
372	0.00110751
373	0.000669288
374	0.000522948
375	0.00108403
376	0.00066725
377	0.000990783
378	0.000732105
379	0.00077833
380	0.001488173
381	0.00147802
382	0.001274543
383	0.00138137
384	0.000664643
385	0.000551088
386	0.000648693
387	0.00068727
388	0.00039722
389	0.00032197
390	0.000203625
391	0.000705023
392	0.00064268
393	0.000305775
394	9.72725E-05
395	0.000199888
396	1.85225E-05
397	0.000263255
398	0.00009463
399	0.000336975
400	0.00067924
401	0.000342918
402	0.000767483
403	0.003215733
404	0.058525015
405	0.231059708
406	0.13552842
407	0.039936783
408	0.03060002
409	0.020474238
410	0.007326275
411	0.003819388
412	0.002980928
413	0.00391152
414	0.004426723
415	0.004934475
416	0.005942278
417	0.006347795
418	0.007195083
419	0.007355173
420	0.008082465
421	0.009327368
422	0.009925038
423	0.010645998
424	0.010813673
425	0.011468628
426	0.013044813
427	0.01420506
428	0.01484686
429	0.015810035
430	0.016985795
431	0.017443395
432	0.018402375
433	0.0211719
434	0.029073803
435	0.123822595
436	0.61478056
437	0.447905738
438	0.162515558
439	0.05310664
440	0.028296353
441	0.025917288
442	0.024687148
443	0.025394168
444	0.025119065
445	0.025579678
446	0.02643278
447	0.026660075
448	0.026412283
449	0.026576875
450	0.026637258
451	0.026776833
452	0.026345753
453	0.026276928
454	0.02626386
455	0.026071453
456	0.025632303
457	0.02521293
458	0.025495165
459	0.024732058
460	0.024354878
461	0.024596633
462	0.023724088
463	0.022823273
464	0.024068735
465	0.022603718
466	0.02195053
467	0.022177755
468	0.02275305
469	0.020566625
470	0.020693835
471	0.01960623
472	0.019764673
473	0.02002877
474	0.019319063
475	0.018391153
476	0.01808397
477	0.018145
478	0.01782021
479	0.01816022
480	0.01950629
481	0.021695023
482	0.026118368
483	0.034684205
484	0.047138078
485	0.06359201
486	0.084439
487	0.098980093
488	0.099973053
489	0.092613368
490	0.08112862
491	0.07366423
492	0.06952697
493	0.062191845
494	0.055068868
495	0.049061283
496	0.044996435
497	0.04044906
498	0.036406838
