#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.3812	0.3366	0.1179
#xyY coordinates: 0.4561	0.4028	0.3366
#sRGB: 168	68	20
#CCT Lindbloom (K):	2691
#CCT McCamy (K):	2686
#CCT Hernández-Andrés (K):	2604
#Melatonin: 0.344
#Chlorophyll a: 0.464
#Chlorophyll b: 0.539
#Beta Carotene: 0.465
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00103302
302.00000000	0.00279056
303.00000000	0.00000000
304.00000000	0.00000000
305.00000000	0.00000000
306.00000000	0.00743538
307.00000000	0.00000000
308.00000000	0.00000000
309.00000000	0.00000000
310.00000000	0.00000118
311.00000000	0.00000000
312.00000000	0.00000000
313.00000000	0.00000000
314.00000000	0.00000000
315.00000000	0.00450016
316.00000000	0.00000000
317.00000000	0.00000000
318.00000000	0.00000000
319.00000000	0.00000000
320.00000000	0.00022137
321.00000000	0.00199960
322.00000000	0.00000000
323.00000000	0.00000000
324.00000000	0.00000000
325.00000000	0.00000000
326.00000000	0.00000000
327.00000000	0.00000000
328.00000000	0.00000000
329.00000000	0.00155282
330.00000000	0.00376656
331.00000000	0.00000000
332.00000000	0.01698324
333.00000000	0.00000000
334.00000000	0.00191432
335.00000000	0.00000000
336.00000000	0.00000000
337.00000000	0.00000000
338.00000000	0.00826503
339.00000000	0.00328344
340.00000000	0.00153684
341.00000000	0.00475231
342.00000000	0.00975292
343.00000000	0.01541310
344.00000000	0.01067239
345.00000000	0.01458631
346.00000000	0.02027829
347.00000000	0.01394456
348.00000000	0.02059067
349.00000000	0.02513591
350.00000000	0.03507706
351.00000000	0.06295861
352.00000000	0.05275639
353.00000000	0.04110985
354.00000000	0.05794506
355.00000000	0.07698627
356.00000000	0.06639311
357.00000000	0.06666512
358.00000000	0.05963447
359.00000000	0.05918718
360.00000000	0.06203308
361.00000000	0.06183374
362.00000000	0.05883325
363.00000000	0.06217876
364.00000000	0.08191993
365.00000000	0.12909284
366.00000000	0.13385777
367.00000000	0.11398186
368.00000000	0.09800068
369.00000000	0.07908159
370.00000000	0.06693931
371.00000000	0.06035040
372.00000000	0.06053308
373.00000000	0.06091191
374.00000000	0.05735125
375.00000000	0.05762528
376.00000000	0.05610964
377.00000000	0.04879857
378.00000000	0.01712000
379.00000000	0.00264825
380.00000000	0.00000000
381.00000000	0.00394622
382.00000000	0.00818513
383.00000000	0.01666010
384.00000000	0.02481276
385.00000000	0.02440904
386.00000000	0.01940255
387.00000000	0.02292317
388.00000000	0.02357939
389.00000000	0.02746690
390.00000000	0.02753402
391.00000000	0.02692726
392.00000000	0.02839832
393.00000000	0.03193274
394.00000000	0.03405295
395.00000000	0.03665343
396.00000000	0.04137344
397.00000000	0.04170382
398.00000000	0.03712242
399.00000000	0.03782944
400.00000000	0.04307446
401.00000000	0.04165235
402.00000000	0.04095525
403.00000000	0.05087437
404.00000000	0.05825727
405.00000000	0.07669930
406.00000000	0.07301382
407.00000000	0.06308764
408.00000000	0.06108467
409.00000000	0.05659780
410.00000000	0.06436222
411.00000000	0.08268094
412.00000000	0.08433705
413.00000000	0.09646637
414.00000000	0.08871709
415.00000000	0.07418259
416.00000000	0.07235440
417.00000000	0.09209440
418.00000000	0.09156182
419.00000000	0.08934185
420.00000000	0.08552416
421.00000000	0.09615029
422.00000000	0.11954346
423.00000000	0.13044817
424.00000000	0.11145136
425.00000000	0.09698869
426.00000000	0.09236977
427.00000000	0.08415369
428.00000000	0.08214080
429.00000000	0.09088138
430.00000000	0.08947946
431.00000000	0.09316392
432.00000000	0.08462470
433.00000000	0.08318795
434.00000000	0.08177492
435.00000000	0.11019646
436.00000000	0.18639716
437.00000000	0.15024519
438.00000000	0.12623987
439.00000000	0.10834371
440.00000000	0.10278193
441.00000000	0.10424542
442.00000000	0.09939588
443.00000000	0.10786513
444.00000000	0.10683177
445.00000000	0.11022169
446.00000000	0.11069421
447.00000000	0.10246972
