#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.2254	0.2438	0.2558
#xyY coordinates: 0.3109	0.3363	0.2438
#sRGB: 58	64	59
#CCT Lindbloom (K):	6545
#CCT McCamy (K):	6550
#CCT Hernández-Andrés (K):	6538
#Melatonin: 0.985
#Chlorophyll a: 0.563
#Chlorophyll b: 0.949
#Beta Carotene: 0.566
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00014590
302.00000000	0.00000000
303.00000000	0.00155105
304.00000000	0.00000000
305.00000000	0.00000000
306.00000000	0.00000000
307.00000000	0.00000000
308.00000000	0.00000000
309.00000000	0.00000000
310.00000000	0.00000000
311.00000000	0.00000000
312.00000000	0.00000000
313.00000000	0.00000000
314.00000000	0.00000000
315.00000000	0.00000000
316.00000000	0.00000000
317.00000000	0.00000000
318.00000000	0.00000000
319.00000000	0.00005722
320.00000000	0.00000000
321.00000000	0.00000000
322.00000000	0.00000000
323.00000000	0.00000000
324.00000000	0.00000000
325.00000000	0.01814824
326.00000000	0.00179613
327.00000000	0.00000000
328.00000000	0.00000000
329.00000000	0.00000000
330.00000000	0.00000000
331.00000000	0.00000000
332.00000000	0.00528970
333.00000000	0.00000000
334.00000000	0.00000000
335.00000000	0.00000000
336.00000000	0.01215906
337.00000000	0.01529812
338.00000000	0.00000000
339.00000000	0.00986037
340.00000000	0.01589509
341.00000000	0.00555576
342.00000000	0.01865794
343.00000000	0.02164467
344.00000000	0.02319953
345.00000000	0.02950030
346.00000000	0.03021957
347.00000000	0.03551976
348.00000000	0.03482052
349.00000000	0.04572558
350.00000000	0.05142486
351.00000000	0.08112899
352.00000000	0.14184992
353.00000000	0.17630306
354.00000000	0.15469821
355.00000000	0.12056358
356.00000000	0.10125264
357.00000000	0.10846149
358.00000000	0.13473596
359.00000000	0.14755158
360.00000000	0.13663222
361.00000000	0.15557530
362.00000000	0.15918282
363.00000000	0.15785539
364.00000000	0.18025889
365.00000000	0.22931902
366.00000000	0.21193582
367.00000000	0.20584652
368.00000000	0.19435093
369.00000000	0.20283548
370.00000000	0.21642019
371.00000000	0.19755722
372.00000000	0.17268290
373.00000000	0.17129468
374.00000000	0.17857791
375.00000000	0.19128578
376.00000000	0.18519647
377.00000000	0.16532147
378.00000000	0.11000015
379.00000000	0.07026875
380.00000000	0.05724572
381.00000000	0.04883603
382.00000000	0.05032915
383.00000000	0.07286187
384.00000000	0.09692705
385.00000000	0.08696535
386.00000000	0.07538871
387.00000000	0.10431351
388.00000000	0.11685735
389.00000000	0.10791936
390.00000000	0.10440982
391.00000000	0.10106097
392.00000000	0.12179159
393.00000000	0.12419542
394.00000000	0.12975261
395.00000000	0.13657405
396.00000000	0.14629305
397.00000000	0.14644730
398.00000000	0.15436587
399.00000000	0.15552285
400.00000000	0.14930600
401.00000000	0.17027812
402.00000000	0.16176211
403.00000000	0.17504357
404.00000000	0.18246293
405.00000000	0.20447999
406.00000000	0.18646215
407.00000000	0.17159054
408.00000000	0.19925299
409.00000000	0.20588204
410.00000000	0.20331920
411.00000000	0.20924782
412.00000000	0.18101272
413.00000000	0.22021319
414.00000000	0.25789337
415.00000000	0.24618322
416.00000000	0.25218646
417.00000000	0.29584603
418.00000000	0.32985574
419.00000000	0.36023742
420.00000000	0.37605455
421.00000000	0.38082405
422.00000000	0.40544328
423.00000000	0.40168175
424.00000000	0.32171306
425.00000000	0.28961821
426.00000000	0.27095335
427.00000000	0.25235644
428.00000000	0.23997709
429.00000000	0.24063342
430.00000000	0.23889498
431.00000000	0.26206448
432.00000000	0.25503038
433.00000000	0.22965088
434.00000000	0.20764432
435.00000000	0.21689366
436.00000000	0.24682524
437.00000000	0.23763239
438.00000000	0.20293132
439.00000000	0.19098372
440.00000000	0.18925315
441.00000000	0.20792015
442.00000000	0.19477553
443.00000000	0.17652382
444.00000000	0.18011227
445.00000000	0.20719683
446.00000000	0.21560533
447.00000000	0.20774111
448.00000000	0.22613991
449.00000000	0.24583014
450.00000000	0.22964182
451.00000000	0.21233801
452.00000000	0.21422450
453.00000000	0.22370056
454.00000000	0.21063724
455.00000000	0.21445980
456.00000000	0.24827569
457.00000000	0.26395072
458.00000000	0.24561415
459.00000000	0.27749849
460.00000000	0.27099364
461.00000000	0.25203150
462.00000000	0.25696073
463.00000000	0.22981824
464.00000000	0.24175344
465.00000000	0.21770876
466.00000000	0.21300721
467.00000000	0.25740106
468.00000000	0.27557123
469.00000000	0.24501385
470.00000000	0.23590278
471.00000000	0.22946397
472.00000000	0.23507146
473.00000000	0.28451232
474.00000000	0.28256290
475.00000000	0.22509999
476.00000000	0.19464345
477.00000000	0.22512026
478.00000000	0.26796640
479.00000000	0.27827568
480.00000000	0.26483520
481.00000000	0.26541548
482.00000000	0.30296381
483.00000000	0.30803203
484.00000000	0.25761324
485.00000000	0.22747759
486.00000000	0.21223669
487.00000000	0.21181114
488.00000000	0.24268751
489.00000000	0.25657642
490.00000000	0.25308047
491.00000000	0.23882751
492.00000000	0.24586304
493.00000000	0.21890031
494.00000000	0.21547325
495.00000000	0.21699856
496.00000000	0.20906115
497.00000000	0.19074269
498.00000000	0.18299886
499.00000000	0.18891557
500.00000000	0.21106112
501.00000000	0.21689652
502.00000000	0.21996788
503.00000000	0.23999593
504.00000000	0.26572469
505.00000000	0.29134402
506.00000000	0.27260430
507.00000000	0.24758908
508.00000000	0.20696153
509.00000000	0.17841293
510.00000000	0.19307261
511.00000000	0.23089487
512.00000000	0.27525177
513.00000000	0.26436984
514.00000000	0.23576045
515.00000000	0.22767070
516.00000000	0.25606171
517.00000000	0.25209539
518.00000000	0.22578803
519.00000000	0.21514140
520.00000000	0.20752297
521.00000000	0.19284946
522.00000000	0.18240262
523.00000000	0.19989691
524.00000000	0.18949846
525.00000000	0.16042037
526.00000000	0.19441482
527.00000000	0.22588696
528.00000000	0.22691496
529.00000000	0.19625411
530.00000000	0.20296994
531.00000000	0.22233046
532.00000000	0.23695223
533.00000000	0.23109179
534.00000000	0.31061251
535.00000000	0.71563310
536.00000000	1.00000000
537.00000000	0.81790755
538.00000000	0.59709453
539.00000000	0.48214416
540.00000000	0.37920624
541.00000000	0.29053154
542.00000000	0.26708645
543.00000000	0.23746670
544.00000000	0.17047075
545.00000000	0.16606005
546.00000000	0.24179516
547.00000000	0.22982491
548.00000000	0.17913363
549.00000000	0.15451035
550.00000000	0.17734536
551.00000000	0.18175058
552.00000000	0.15477354
553.00000000	0.15991019
554.00000000	0.17540762
555.00000000	0.19147507
556.00000000	0.18572286
557.00000000	0.17700802
558.00000000	0.18359821
559.00000000	0.17495989
560.00000000	0.16123881
561.00000000	0.17926666
562.00000000	0.17362579
563.00000000	0.16077202
564.00000000	0.19289929
565.00000000	0.21456303
566.00000000	0.19447180
567.00000000	0.18107352
568.00000000	0.17142294
569.00000000	0.16492668
570.00000000	0.17045049
571.00000000	0.18549948
572.00000000	0.21202308
573.00000000	0.20435196
574.00000000	0.19525424
575.00000000	0.21030085
576.00000000	0.23510508
577.00000000	0.22286496
578.00000000	0.18039264
579.00000000	0.17824533
580.00000000	0.18832790
581.00000000	0.20064002
582.00000000	0.17981737
583.00000000	0.16241653
584.00000000	0.16256601
585.00000000	0.16843407
586.00000000	0.16973957
587.00000000	0.16745256
588.00000000	0.16334821
589.00000000	0.17376478
590.00000000	0.17418198
591.00000000	0.16970929
592.00000000	0.17656221
593.00000000	0.18489370
594.00000000	0.20625419
595.00000000	0.21461524
596.00000000	0.20017537
597.00000000	0.23057064
598.00000000	0.26376477
599.00000000	0.28476765
600.00000000	0.25999561
601.00000000	0.26794446
602.00000000	0.25256504
603.00000000	0.23453529
604.00000000	0.21150026
605.00000000	0.19777012
606.00000000	0.19552936
607.00000000	0.19155803
608.00000000	0.21127663
609.00000000	0.26313515
610.00000000	0.24757979
611.00000000	0.23684924
612.00000000	0.22313865
613.00000000	0.21938617
614.00000000	0.19644531
615.00000000	0.20083670
616.00000000	0.22530359
617.00000000	0.26024355
618.00000000	0.23958111
619.00000000	0.22074174
620.00000000	0.21482146
621.00000000	0.21162637
622.00000000	0.19733479
623.00000000	0.18121251
624.00000000	0.17002446
625.00000000	0.16956458
626.00000000	0.24961408
627.00000000	0.24216898
628.00000000	0.19162955
629.00000000	0.15431891
630.00000000	0.15353456
631.00000000	0.15266486
632.00000000	0.15444979
633.00000000	0.17675364
634.00000000	0.18579701
635.00000000	0.18179350
636.00000000	0.16797038
637.00000000	0.15965343
638.00000000	0.18093548
639.00000000	0.17972082
640.00000000	0.17075064
641.00000000	0.16455739
642.00000000	0.18083631
643.00000000	0.18678233
644.00000000	0.18146855
645.00000000	0.15893989
646.00000000	0.17536423
647.00000000	0.16234214
648.00000000	0.15446743
649.00000000	0.16451662
650.00000000	0.15227293
651.00000000	0.14157099
652.00000000	0.13589269
653.00000000	0.14146228
654.00000000	0.14326747
655.00000000	0.17853809
656.00000000	0.18677208
657.00000000	0.16845505
658.00000000	0.19619880
659.00000000	0.22910565
660.00000000	0.19946874
661.00000000	0.15962935
662.00000000	0.13155708
663.00000000	0.12702980
664.00000000	0.13743969
665.00000000	0.14243425
666.00000000	0.19670469
667.00000000	0.25523278
668.00000000	0.21361323
669.00000000	0.16860072
670.00000000	0.13287164
671.00000000	0.13635758
672.00000000	0.15721313
673.00000000	0.17228691
674.00000000	0.15570809
675.00000000	0.16920149
676.00000000	0.17932578
677.00000000	0.19685655
678.00000000	0.16994293
679.00000000	0.16388652
680.00000000	0.14424469
681.00000000	0.14082836
682.00000000	0.14240469
683.00000000	0.17283548
684.00000000	0.19098777
685.00000000	0.22266661
686.00000000	0.22709877
687.00000000	0.17820195
688.00000000	0.13460913
689.00000000	0.14513632
690.00000000	0.13883507
691.00000000	0.15388048
692.00000000	0.13704704
693.00000000	0.12633771
694.00000000	0.13491762
695.00000000	0.13941367
696.00000000	0.14559214
697.00000000	0.15838202
698.00000000	0.16838043
699.00000000	0.16474978
700.00000000	0.19241104
701.00000000	0.15746274
702.00000000	0.14878032
703.00000000	0.11874527
704.00000000	0.11358407
705.00000000	0.10074914
706.00000000	0.10283564
707.00000000	0.09849908
708.00000000	0.09477546
709.00000000	0.09054427
710.00000000	0.08695749
711.00000000	0.07867534
712.00000000	0.08186065
713.00000000	0.09484912
714.00000000	0.09421831
715.00000000	0.08051415
716.00000000	0.08871619
717.00000000	0.09797936
718.00000000	0.08473223
719.00000000	0.07508498
720.00000000	0.07822285
721.00000000	0.10466277
722.00000000	0.11489529
723.00000000	0.11805819
724.00000000	0.09868671
725.00000000	0.09493638
726.00000000	0.08678798
727.00000000	0.08330204
728.00000000	0.07581974
729.00000000	0.07701939
730.00000000	0.07265875
731.00000000	0.06173820
732.00000000	0.05141007
733.00000000	0.05560455
734.00000000	0.05438464
735.00000000	0.06410960
736.00000000	0.05779095
737.00000000	0.05970485
738.00000000	0.09766300
739.00000000	0.08505955
740.00000000	0.07998966
741.00000000	0.10038438
742.00000000	0.09316599
743.00000000	0.08217058
744.00000000	0.06360370
745.00000000	0.05849495
746.00000000	0.05412048
747.00000000	0.05032415
748.00000000	0.05175481
749.00000000	0.05213792
750.00000000	0.05574068
751.00000000	0.04782901
752.00000000	0.05132091
753.00000000	0.05044359
754.00000000	0.09139418
755.00000000	0.12132289
756.00000000	0.12913466
757.00000000	0.10628439
758.00000000	0.07640073
759.00000000	0.08077687
760.00000000	0.08393095
761.00000000	0.08052846
762.00000000	0.08009885
763.00000000	0.06253351
764.00000000	0.10113177
765.00000000	0.12072831
766.00000000	0.16522778
767.00000000	0.16140712
768.00000000	0.10676716
769.00000000	0.05519259
770.00000000	0.05976898
771.00000000	0.06042864
772.00000000	0.07284256
773.00000000	0.06698022
774.00000000	0.05142629
775.00000000	0.04713836
776.00000000	0.06137296
777.00000000	0.03990448
778.00000000	0.04133394
779.00000000	0.06542559
780.00000000	0.07150512
781.00000000	0.08102290
782.00000000	0.09611791
783.00000000	0.07100638
784.00000000	0.04585551
785.00000000	0.06157179
786.00000000	0.05098881
787.00000000	0.04298942
788.00000000	0.02662539
789.00000000	0.03634964
790.00000000	0.03911608
791.00000000	0.04783593
792.00000000	0.05594833
793.00000000	0.03185454
794.00000000	0.04382502
795.00000000	0.04121284
796.00000000	0.05031270
797.00000000	0.06351454
798.00000000	0.05721997
799.00000000	0.06278503
800.00000000	0.04480224
801.00000000	0.05913507
802.00000000	0.06611767
803.00000000	0.07266161
804.00000000	0.04501275
805.00000000	0.04248186
806.00000000	0.03436016
807.00000000	0.03253995
808.00000000	0.04915048
809.00000000	0.06477665
810.00000000	0.04557443
811.00000000	0.03570142
812.00000000	0.02963500
813.00000000	0.03064798
814.00000000	0.03756764
815.00000000	0.05949935
816.00000000	0.05124581
817.00000000	0.05144488
818.00000000	0.03844211
819.00000000	0.03396227
820.00000000	0.03874774
821.00000000	0.03876991
822.00000000	0.02541263
823.00000000	0.02273918
824.00000000	0.02638222
825.00000000	0.04083210
826.00000000	0.03299673
827.00000000	0.02607707
828.00000000	0.04240438
829.00000000	0.04137137
830.00000000	0.04301588
831.00000000	0.02841342
832.00000000	0.05920826
833.00000000	0.09162376
834.00000000	0.06518098
835.00000000	0.03408314
836.00000000	0.02383631
837.00000000	0.03718358
838.00000000	0.02750343
839.00000000	0.03370431
840.00000000	0.02498542
841.00000000	0.04350032
842.00000000	0.05894077
843.00000000	0.05706310
844.00000000	0.03632771
845.00000000	0.03604925
846.00000000	0.03530424
847.00000000	0.04863434
848.00000000	0.04911472
849.00000000	0.02755064
850.00000000	0.04344119
851.00000000	0.08302287
852.00000000	0.33265460
853.00000000	0.45180921
854.00000000	0.37088787
855.00000000	0.22215666
856.00000000	0.14328750
857.00000000	0.12547374
858.00000000	0.08299975
859.00000000	0.08779571
860.00000000	0.04851633
861.00000000	0.05359647
862.00000000	0.02984909
863.00000000	0.05318857
864.00000000	0.03719907
865.00000000	0.02806607
866.00000000	0.04398261
867.00000000	0.04319635
868.00000000	0.04901054
869.00000000	0.02414600
870.00000000	0.02553851
871.00000000	0.03180734
872.00000000	0.01823263
873.00000000	0.02016203
874.00000000	0.01590462
875.00000000	0.06608000
876.00000000	0.12323870
877.00000000	0.11973775
878.00000000	0.09681118
879.00000000	0.03315956
880.00000000	0.01737891
881.00000000	0.02613738
