#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1636	0.1332	0.0250
#xyY coordinates: 0.5083	0.4141	0.1332
#sRGB: 80	24	2
#CCT Lindbloom (K):	2165
#CCT McCamy (K):	2146
#CCT Hernández-Andrés (K):	1933
#Melatonin: 0.221
#Chlorophyll a: 5.783
#Chlorophyll b: 0.559
#Beta Carotene: 5.757
#Manufacturer: Umknowm
#Luminance manufacturer: Unknown
#Other data: Propane lighter
#Begin Processed Spectral Data
W	S
300.00000000	0.00534298
301.00000000	0.00539852
302.00000000	0.00504318
303.00000000	0.00716272
304.00000000	0.00627632
305.00000000	0.00821905
306.00000000	0.00678919
307.00000000	0.00819089
308.00000000	0.01019909
309.00000000	0.01240779
310.00000000	0.01317490
311.00000000	0.01298167
312.00000000	0.00988771
313.00000000	0.01062018
314.00000000	0.00916645
315.00000000	0.01142470
316.00000000	0.00774959
317.00000000	0.00713715
318.00000000	0.00638185
319.00000000	0.00660052
320.00000000	0.00493190
321.00000000	0.00618491
322.00000000	0.00457220
323.00000000	0.00644399
324.00000000	0.00628000
325.00000000	0.00556248
326.00000000	0.00609066
327.00000000	0.00498986
328.00000000	0.00461305
329.00000000	0.00514682
330.00000000	0.00471900
331.00000000	0.00333727
332.00000000	0.00528975
333.00000000	0.00480166
334.00000000	0.00526134
335.00000000	0.00562317
336.00000000	0.00587131
337.00000000	0.00605598
338.00000000	0.00380140
339.00000000	0.00543824
340.00000000	0.00466211
341.00000000	0.00459540
342.00000000	0.00413900
343.00000000	0.00469440
344.00000000	0.00482809
345.00000000	0.00398539
346.00000000	0.00511095
347.00000000	0.00461137
348.00000000	0.00449570
349.00000000	0.00527009
350.00000000	0.00496929
351.00000000	0.00405237
352.00000000	0.00469333
353.00000000	0.00468400
354.00000000	0.00448745
355.00000000	0.00461625
356.00000000	0.00439733
357.00000000	0.00408376
358.00000000	0.00462452
359.00000000	0.00409692
360.00000000	0.00438396
361.00000000	0.00426044
362.00000000	0.00448380
363.00000000	0.00456098
364.00000000	0.00522058
365.00000000	0.00424819
366.00000000	0.00429690
367.00000000	0.00427276
368.00000000	0.00461443
369.00000000	0.00409663
370.00000000	0.00445529
371.00000000	0.00446382
372.00000000	0.00451603
373.00000000	0.00435443
374.00000000	0.00417865
375.00000000	0.00457033
376.00000000	0.00463573
377.00000000	0.00437197
378.00000000	0.00404722
379.00000000	0.00474944
