#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/02/07
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.4022	0.3634	0.1264
#xyY coordinates: 0.4508	0.4074	0.3634
#sRGB: 174	76	21
#CCT Lindbloom (K):	2805
#CCT McCamy (K):	2806
#CCT Hernández-Andrés (K):	2734
#Melatonin: 0.363
#Chlorophyll a: 3.288
#Chlorophyll b: 0.582
#Beta Carotene: 3.274
#Manufacturer: Philips
#Luminance manufacturer: Unknown
#Other data: 40W
#Begin Processed Spectral Data
W	S
300.00000000	0.00402869
301.00000000	0.00398366
302.00000000	0.00161860
303.00000000	0.00664147
304.00000000	0.00446519
305.00000000	0.00462080
306.00000000	0.00592138
307.00000000	0.00815016
308.00000000	0.00911669
309.00000000	0.00276543
310.00000000	0.00598168
311.00000000	0.00636967
312.00000000	0.00691369
313.00000000	0.00902841
314.00000000	0.00799429
315.00000000	0.00890060
316.00000000	0.00889950
317.00000000	0.00804381
318.00000000	0.00940605
319.00000000	0.01021823
320.00000000	0.00953978
321.00000000	0.01136260
322.00000000	0.01212381
323.00000000	0.01162015
324.00000000	0.01223711
325.00000000	0.01329642
326.00000000	0.01494038
327.00000000	0.01426252
328.00000000	0.01517512
329.00000000	0.01565147
330.00000000	0.01485184
331.00000000	0.01711199
332.00000000	0.01684350
333.00000000	0.01798286
334.00000000	0.01680483
335.00000000	0.01740635
336.00000000	0.01751143
337.00000000	0.01986495
338.00000000	0.01922815
339.00000000	0.02077653
340.00000000	0.02081571
341.00000000	0.02030255
342.00000000	0.02001794
343.00000000	0.02181837
344.00000000	0.02211527
345.00000000	0.02249037
346.00000000	0.02149594
347.00000000	0.02279372
