#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/18
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0343	0.0160	0.0012
#xyY coordinates: 0.6658	0.3100	0.0160
#sRGB: 22	0	0
#CCT Lindbloom (K):	---
#CCT McCamy (K):	3930
#CCT Hernández-Andrés (K):	---
#Melatonin: 0.089
#Chlorophyll a: 54.509
#Chlorophyll b: 1.399
#Beta Carotene: 54.254
#Manufacturer: Leuci
#Luminance manufacturer: Unknown
#Other data: 25W Special red
#Begin Processed Spectral Data
W	S
300.00000000	0.00269029
301.00000000	0.00261631
302.00000000	0.00365891
303.00000000	0.00095430
304.00000000	0.00350086
305.00000000	0.00510726
306.00000000	0.00401720
307.00000000	0.00728817
308.00000000	0.00217153
309.00000000	0.00623456
310.00000000	0.00323903
311.00000000	0.00309135
312.00000000	0.00188641
313.00000000	0.00275046
314.00000000	0.00492245
315.00000000	0.00306684
316.00000000	0.00371994
317.00000000	0.00281530
318.00000000	0.00237533
319.00000000	0.00266702
320.00000000	0.00125077
321.00000000	0.00155298
322.00000000	0.00029319
323.00000000	0.00530258
324.00000000	0.00065417
325.00000000	0.00223724
326.00000000	0.00383256
327.00000000	0.00253348
328.00000000	0.00112192
329.00000000	0.00248235
330.00000000	0.00269755
331.00000000	0.00168543
332.00000000	0.00425766
333.00000000	0.00149269
334.00000000	0.00307189
335.00000000	0.00290898
336.00000000	0.00173611
337.00000000	0.00097920
338.00000000	0.00336493
339.00000000	0.00173319
340.00000000	0.00096402
341.00000000	0.00189504
342.00000000	0.00207631
343.00000000	0.00251687
344.00000000	0.00231158
345.00000000	0.00204529
346.00000000	0.00187604
347.00000000	0.00216759
