# LED 1833K-2877K
# average spectrum 
# W	S
300	0.000582667
301	0.000331748
302	0.001169847
303	0.001458405
304	0.000973648
305	0.00042055
306	0.001219035
307	0.000833123
308	0.000293735
309	0.000084642
310	0.000585291
311	0.000274739
312	0.001509171
313	0.000512183
314	0.000832538
315	0.000475709
316	0.001773157
317	0.000962841
318	0.000483419
319	0.000404405
320	0.000176257
321	0.000805555
322	0.000824011
323	2.23367E-05
324	0.001067196
325	0.000510715
326	0.001674223
327	0.000577873
328	0.001207905
329	0.000872897
330	0.000428197
331	8.98907E-05
332	0.000880497
333	0.000753656
334	0.000614047
335	0.000737626
336	0.000512146
337	0.000017892
338	0.000853409
339	0.000762778
340	0.000178749
341	0.000507652
342	0.000015508
343	0.000152562
344	0.00018469
345	0.000445926
346	0.000605603
347	0.000401281
348	0.000148215
349	0.000281399
350	0.000358274
351	6.30507E-05
352	0.000501737
353	0.000078632
354	9.02633E-05
355	0.000420221
356	0.000524865
357	0.00088634
358	0.000321289
359	0.000119268
360	0.000480251
361	0.000535978
362	0.000305988
363	0.000567848
364	0.000146591
365	0.000163743
366	0.000326096
367	0.000421644
368	0.000082426
369	0.000204119
370	0.000647631
371	0.000546181
372	0.000162287
373	0.000258097
374	0.000468739
375	0.000366973
376	0.000107597
377	0.000254843
378	0.000260605
379	0.00002315
380	0.000472653
381	0.000272497
382	0.000251438
383	0.000258674
384	0.000462516
385	0.00008355
386	0.000220102
387	0.000150355
388	0.000389569
389	0.000336673
390	0.000322678
391	0.001070881
392	0.000517679
393	0.000329238
394	0.000309663
395	0.000350624
396	0.000239025
397	0.000754274
398	0.000414336
399	0.000163536
400	0.00044614
401	0.000493355
402	0.000548983
403	0.000662191
404	0.001188687
405	0.001070912
406	0.001127968
407	0.001169868
408	0.00154595
409	0.001874129
410	0.002212619
411	0.002719745
412	0.003967857
413	0.003886575
414	0.00465573
415	0.005529119
416	0.006284753
417	0.008200285
418	0.009091214
419	0.011042611
420	0.012598876
421	0.014648052
422	0.016586441
423	0.020196078
424	0.021746853
425	0.024921175
426	0.028447905
427	0.032211487
