#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.6820	0.5481	0.0789
#xyY coordinates: 0.5210	0.4187	0.5481
#sRGB: 255	71	2
#CCT Lindbloom (K):	2082
#CCT McCamy (K):	2065
#CCT Hernández-Andrés (K):	1816
#Melatonin: 0.155
#Chlorophyll a: 0.649
#Chlorophyll b: 0.514
#Beta Carotene: 0.647
#Manufacturer: MM Electric
#Luminance manufacturer: 120lm 
#Other data: Gold Curve. Vintage LED - Mini Edison 2200K
#Begin Processed Spectral Data
W	S
300.00000000	0.00242930
301.00000000	0.00000000
302.00000000	0.00260710
303.00000000	0.00359181
304.00000000	0.00000000
305.00000000	0.00000000
306.00000000	0.00000000
307.00000000	0.00000000
308.00000000	0.00006154
309.00000000	0.00000000
310.00000000	0.00000000
311.00000000	0.00000000
312.00000000	0.00295927
313.00000000	0.00275412
314.00000000	0.00000000
315.00000000	0.00000000
316.00000000	0.00000000
317.00000000	0.00010257
318.00000000	0.00156768
319.00000000	0.00003248
320.00000000	0.00000000
321.00000000	0.00134714
322.00000000	0.00000000
323.00000000	0.00000000
324.00000000	0.00000000
325.00000000	0.00100181
326.00000000	0.00418332
327.00000000	0.00000000
328.00000000	0.00167709
329.00000000	0.00000000
330.00000000	0.00445685
331.00000000	0.00000000
332.00000000	0.00610488
333.00000000	0.00240708
334.00000000	0.00002222
335.00000000	0.00000000
336.00000000	0.00050432
337.00000000	0.00000000
338.00000000	0.00367045
339.00000000	0.00000000
340.00000000	0.00000000
341.00000000	0.00419871
342.00000000	0.00000000
343.00000000	0.00000000
344.00000000	0.00000000
345.00000000	0.00140356
346.00000000	0.00000000
347.00000000	0.00094197
348.00000000	0.00000000
349.00000000	0.00134885
350.00000000	0.00138817
351.00000000	0.00000000
352.00000000	0.00000000
353.00000000	0.00055903
354.00000000	0.00000000
355.00000000	0.00000000
356.00000000	0.00000000
357.00000000	0.00086504
358.00000000	0.00215919
359.00000000	0.00000000
360.00000000	0.00028892
361.00000000	0.00170102
362.00000000	0.00173521
363.00000000	0.00020686
364.00000000	0.00000000
365.00000000	0.00025815
366.00000000	0.00009061
367.00000000	0.00151297
368.00000000	0.00047013
369.00000000	0.00046671
370.00000000	0.00000000
371.00000000	0.00147365
372.00000000	0.00000000
373.00000000	0.00000000
374.00000000	0.00057613
375.00000000	0.00048723
376.00000000	0.00000000
377.00000000	0.00000000
378.00000000	0.00082914
379.00000000	0.00000000
380.00000000	0.00074366
381.00000000	0.00000000
382.00000000	0.00040346
383.00000000	0.00089069
384.00000000	0.00049919
385.00000000	0.00016754
386.00000000	0.00010770
387.00000000	0.00000000
388.00000000	0.00000000
389.00000000	0.00000000
390.00000000	0.00026840
391.00000000	0.00201387
392.00000000	0.00044278
393.00000000	0.00071289
394.00000000	0.00000000
395.00000000	0.00000000
396.00000000	0.00000000
397.00000000	0.00209593
398.00000000	0.00110267
399.00000000	0.00041201
400.00000000	0.00110096
401.00000000	0.00042739
402.00000000	0.00008890
403.00000000	0.00155571
404.00000000	0.00028208
405.00000000	0.00074195
406.00000000	0.00069751
407.00000000	0.00195062
408.00000000	0.00208397
409.00000000	0.00322083
410.00000000	0.00273873
411.00000000	0.00258829
412.00000000	0.00175402
413.00000000	0.00395082
414.00000000	0.00258145
415.00000000	0.00538686
416.00000000	0.00521419
417.00000000	0.00715968
418.00000000	0.00700924
419.00000000	0.00918553
420.00000000	0.00926588
421.00000000	0.01058566
422.00000000	0.01202341
423.00000000	0.01209864
424.00000000	0.01465786
425.00000000	0.01628538
426.00000000	0.01874203
427.00000000	0.02023448
428.00000000	0.02224152
429.00000000	0.02253386
430.00000000	0.02558373
431.00000000	0.02878234
432.00000000	0.03082186
433.00000000	0.03469575
434.00000000	0.03564456
435.00000000	0.03812173
436.00000000	0.04185543
437.00000000	0.04305384
438.00000000	0.04908350
439.00000000	0.05270437
440.00000000	0.05607223
441.00000000	0.05857162
442.00000000	0.06386274
443.00000000	0.07082754
444.00000000	0.07158146
445.00000000	0.07972927
446.00000000	0.08450410
447.00000000	0.09023801
448.00000000	0.09725238
449.00000000	0.10655415
450.00000000	0.11299582
451.00000000	0.11769714
452.00000000	0.12524319
453.00000000	0.13221482
454.00000000	0.13895053
455.00000000	0.13929073
456.00000000	0.14307572
457.00000000	0.14143112
458.00000000	0.14057975
459.00000000	0.13353119
460.00000000	0.13116514
461.00000000	0.11861518
462.00000000	0.11050497
463.00000000	0.10409237
464.00000000	0.09847643
465.00000000	0.08894215
466.00000000	0.08454855
467.00000000	0.07969508
468.00000000	0.07666914
469.00000000	0.07346882
470.00000000	0.07002917
471.00000000	0.06796913
472.00000000	0.06656386
473.00000000	0.06384394
474.00000000	0.06088980
475.00000000	0.05590469
476.00000000	0.05357967
477.00000000	0.05186668
478.00000000	0.04914675
479.00000000	0.04717562
480.00000000	0.04429670
481.00000000	0.04437363
482.00000000	0.04291708
483.00000000	0.04189133
484.00000000	0.04161609
485.00000000	0.04087585
486.00000000	0.04220418
487.00000000	0.04255123
488.00000000	0.04322993
489.00000000	0.04316838
490.00000000	0.04519251
491.00000000	0.04594815
492.00000000	0.04734316
493.00000000	0.04945106
494.00000000	0.05123756
495.00000000	0.05479689
496.00000000	0.05690308
497.00000000	0.05987944
498.00000000	0.06450554
499.00000000	0.06739643
500.00000000	0.07167035
501.00000000	0.07785729
502.00000000	0.08228679
503.00000000	0.08903960
504.00000000	0.09374605
505.00000000	0.10059972
506.00000000	0.10704651
507.00000000	0.11577387
508.00000000	0.12046664
509.00000000	0.12957524
510.00000000	0.13818806
511.00000000	0.14532210
512.00000000	0.15521710
513.00000000	0.16217847
514.00000000	0.17171446
515.00000000	0.17825015
516.00000000	0.18734507
517.00000000	0.19440902
518.00000000	0.19986939
519.00000000	0.20887883
520.00000000	0.21626589
521.00000000	0.22527362
522.00000000	0.23146910
523.00000000	0.24128204
524.00000000	0.25102489
525.00000000	0.25693317
526.00000000	0.26546393
527.00000000	0.27370406
528.00000000	0.28123130
529.00000000	0.28947485
530.00000000	0.29849626
531.00000000	0.30246589
532.00000000	0.31007519
533.00000000	0.31398156
534.00000000	0.31957698
535.00000000	0.32703413
536.00000000	0.33606409
537.00000000	0.33962000
538.00000000	0.34786184
539.00000000	0.35403339
540.00000000	0.36181707
541.00000000	0.37007772
542.00000000	0.37483716
543.00000000	0.38288924
544.00000000	0.38643318
545.00000000	0.39423225
546.00000000	0.40055424
547.00000000	0.40407596
548.00000000	0.41188870
549.00000000	0.41680201
550.00000000	0.42522677
551.00000000	0.43109060
552.00000000	0.43945383
553.00000000	0.44545613
554.00000000	0.45253547
555.00000000	0.46065593
556.00000000	0.47035604
557.00000000	0.47873293
558.00000000	0.48146996
559.00000000	0.49230864
560.00000000	0.50056929
561.00000000	0.50663485
562.00000000	0.51472625
563.00000000	0.51931132
564.00000000	0.52519224
565.00000000	0.53332980
566.00000000	0.54057325
567.00000000	0.55184446
568.00000000	0.55799891
569.00000000	0.56609886
570.00000000	0.56999326
571.00000000	0.57606053
572.00000000	0.58801044
573.00000000	0.59339387
574.00000000	0.60494032
575.00000000	0.60965532
576.00000000	0.61892290
577.00000000	0.62735964
578.00000000	0.63988566
579.00000000	0.64482974
580.00000000	0.65703779
581.00000000	0.66864578
582.00000000	0.67431301
583.00000000	0.68851271
584.00000000	0.70110541
585.00000000	0.71191503
586.00000000	0.71852423
587.00000000	0.72537277
588.00000000	0.73639951
589.00000000	0.74424131
590.00000000	0.75631601
591.00000000	0.76630845
592.00000000	0.77304587
593.00000000	0.78500774
594.00000000	0.79517969
595.00000000	0.80242998
596.00000000	0.81564155
597.00000000	0.82153273
598.00000000	0.83241073
599.00000000	0.84574710
600.00000000	0.85723371
601.00000000	0.85576006
602.00000000	0.87233606
603.00000000	0.88523478
604.00000000	0.88894796
605.00000000	0.89183885
606.00000000	0.90360070
607.00000000	0.89915581
608.00000000	0.90655826
609.00000000	0.91459495
610.00000000	0.91702767
611.00000000	0.92976569
612.00000000	0.92746289
613.00000000	0.93372505
614.00000000	0.93888796
615.00000000	0.95387748
616.00000000	0.95906090
617.00000000	0.97200406
618.00000000	0.97970739
619.00000000	0.98706880
620.00000000	0.98597981
621.00000000	0.98516776
622.00000000	0.99020929
623.00000000	0.98998362
624.00000000	0.98879547
625.00000000	0.99733478
626.00000000	0.99581497
627.00000000	1.00000000
628.00000000	0.99506960
629.00000000	0.99273432
630.00000000	0.98872025
631.00000000	0.99309504
632.00000000	0.99156839
633.00000000	0.98750474
634.00000000	0.98971351
635.00000000	0.98358299
636.00000000	0.98177939
637.00000000	0.97793798
638.00000000	0.97307596
639.00000000	0.96718649
640.00000000	0.96471445
641.00000000	0.95912415
642.00000000	0.96087475
643.00000000	0.94576898
644.00000000	0.94560828
645.00000000	0.93293694
646.00000000	0.92740648
647.00000000	0.91890820
648.00000000	0.91828250
649.00000000	0.91727385
650.00000000	0.90156973
651.00000000	0.89247652
652.00000000	0.88045652
653.00000000	0.87324042
654.00000000	0.85883387
655.00000000	0.85147758
656.00000000	0.84129538
657.00000000	0.82824280
658.00000000	0.81693228
659.00000000	0.81269596
660.00000000	0.79471640
661.00000000	0.79281707
662.00000000	0.78137320
663.00000000	0.76927798
664.00000000	0.75478253
665.00000000	0.74719374
666.00000000	0.73208797
667.00000000	0.72353498
668.00000000	0.70620164
669.00000000	0.70219612
670.00000000	0.68923586
671.00000000	0.68675356
672.00000000	0.67732356
673.00000000	0.66366751
674.00000000	0.64349115
675.00000000	0.63625283
676.00000000	0.62730493
677.00000000	0.61401814
678.00000000	0.60195883
679.00000000	0.59665061
680.00000000	0.58363222
681.00000000	0.57217468
682.00000000	0.55867761
683.00000000	0.55117430
684.00000000	0.53600699
685.00000000	0.53536077
686.00000000	0.52102089
687.00000000	0.50889490
688.00000000	0.49845797
689.00000000	0.48631146
690.00000000	0.48194351
691.00000000	0.47118347
692.00000000	0.46515723
693.00000000	0.45271326
694.00000000	0.44866500
695.00000000	0.43653901
696.00000000	0.42340095
697.00000000	0.41558137
698.00000000	0.40318185
699.00000000	0.39510242
700.00000000	0.39101142
701.00000000	0.38235244
702.00000000	0.37283355
703.00000000	0.37058033
704.00000000	0.35634302
705.00000000	0.34959193
706.00000000	0.33837201
707.00000000	0.32623747
708.00000000	0.32215673
709.00000000	0.31533725
710.00000000	0.31036923
711.00000000	0.30118713
712.00000000	0.29820563
713.00000000	0.28877906
714.00000000	0.28276479
715.00000000	0.27258429
716.00000000	0.26823856
717.00000000	0.26442793
718.00000000	0.25740501
719.00000000	0.25056843
720.00000000	0.25079922
721.00000000	0.24781773
722.00000000	0.23947161
723.00000000	0.23177512
724.00000000	0.22795593
725.00000000	0.22009362
726.00000000	0.21302796
727.00000000	0.20992851
728.00000000	0.20167812
729.00000000	0.19766746
730.00000000	0.19054368
731.00000000	0.19023254
732.00000000	0.18196163
733.00000000	0.17396597
734.00000000	0.17185294
735.00000000	0.16676354
736.00000000	0.16039539
737.00000000	0.15551627
738.00000000	0.15109532
739.00000000	0.14783517
740.00000000	0.14314240
741.00000000	0.13935057
742.00000000	0.13428853
743.00000000	0.13109163
744.00000000	0.12402768
745.00000000	0.12439866
746.00000000	0.11968537
747.00000000	0.11452588
748.00000000	0.11121103
749.00000000	0.11118880
750.00000000	0.10538994
751.00000000	0.10038602
752.00000000	0.10192293
753.00000000	0.09459912
754.00000000	0.09368279
755.00000000	0.09337849
756.00000000	0.09157831
757.00000000	0.08803779
758.00000000	0.08728216
759.00000000	0.08166280
760.00000000	0.07853770
761.00000000	0.07462791
762.00000000	0.07748802
763.00000000	0.07342779
764.00000000	0.07459201
765.00000000	0.07081386
766.00000000	0.06804435
767.00000000	0.06532443
768.00000000	0.06542358
769.00000000	0.06330029
770.00000000	0.05666716
771.00000000	0.05963155
772.00000000	0.05697146
773.00000000	0.05568244
774.00000000	0.05734928
775.00000000	0.05513538
776.00000000	0.05019814
777.00000000	0.05267360
778.00000000	0.04956560
779.00000000	0.04723545
780.00000000	0.04690551
781.00000000	0.04357868
782.00000000	0.04224350
783.00000000	0.04154429
784.00000000	0.04047581
785.00000000	0.04047581
786.00000000	0.04074079
787.00000000	0.03766014
788.00000000	0.03376916
789.00000000	0.03658482
790.00000000	0.03325629
791.00000000	0.03375206
792.00000000	0.03233996
793.00000000	0.03566336
794.00000000	0.03148859
795.00000000	0.03021838
796.00000000	0.02896014
797.00000000	0.02983373
798.00000000	0.03098598
799.00000000	0.02251505
800.00000000	0.02638381
801.00000000	0.02639065
802.00000000	0.02870199
803.00000000	0.02105850
804.00000000	0.02067384
805.00000000	0.02219365
806.00000000	0.01801717
807.00000000	0.01799666
808.00000000	0.01998489
809.00000000	0.02044989
810.00000000	0.01788553
811.00000000	0.01360306
812.00000000	0.02069949
813.00000000	0.01481172
814.00000000	0.01651275
815.00000000	0.02068581
816.00000000	0.01809068
817.00000000	0.01698459
818.00000000	0.01978145
819.00000000	0.01310557
820.00000000	0.01744959
821.00000000	0.02024132
822.00000000	0.01185930
823.00000000	0.01226788
824.00000000	0.01156183
825.00000000	0.01187468
826.00000000	0.01207299
827.00000000	0.01141823
828.00000000	0.00878720
829.00000000	0.01148490
830.00000000	0.00931374
831.00000000	0.00942658
832.00000000	0.01481685
833.00000000	0.01014631
834.00000000	0.00777342
835.00000000	0.00480902
836.00000000	0.01180630
837.00000000	0.01149858
838.00000000	0.00000000
839.00000000	0.00918553
840.00000000	0.01432621
841.00000000	0.00900089
842.00000000	0.00000000
843.00000000	0.00437992
844.00000000	0.00492186
845.00000000	0.01132591
846.00000000	0.00674597
847.00000000	0.00810508
848.00000000	0.00795463
849.00000000	0.01294316
850.00000000	0.00479706
851.00000000	0.00699215
852.00000000	0.00373712
853.00000000	0.01154644
854.00000000	0.00532190
855.00000000	0.00439189
856.00000000	0.00956334
857.00000000	0.00234211
858.00000000	0.00000000
859.00000000	0.00766059
860.00000000	0.00000000
861.00000000	0.01335346
862.00000000	0.00659040
863.00000000	0.00000000
864.00000000	0.00513213
865.00000000	0.01232259
866.00000000	0.00267035
867.00000000	0.00403801
868.00000000	0.00401407
869.00000000	0.00000000
870.00000000	0.00852392
871.00000000	0.00052313
872.00000000	0.00775120
873.00000000	0.00516120
874.00000000	0.00000000
875.00000000	0.00112832
876.00000000	0.00190104
877.00000000	0.00000000
878.00000000	0.00409955
879.00000000	0.00064622
880.00000000	0.00000000
881.00000000	0.00712720
882.00000000	0.00000000
883.00000000	0.00640918
884.00000000	0.00000000
885.00000000	0.00508597
886.00000000	0.00145826
887.00000000	0.00149587
888.00000000	0.00000000
889.00000000	0.00000000
890.00000000	0.00000000
891.00000000	0.00788454
892.00000000	0.00000000
893.00000000	0.00175573
894.00000000	0.00575442
895.00000000	0.00355078
896.00000000	0.00499879
897.00000000	0.00597153
898.00000000	0.01019930
899.00000000	0.00011454
900.00000000	0.00000000
