#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/17
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.6754	0.5477	0.0961
#xyY coordinates: 0.5120	0.4152	0.5477
#sRGB: 255	74	5
#CCT Lindbloom (K):	2140
#CCT McCamy (K):	2120
#CCT Hernández-Andrés (K):	1897
#Melatonin: 0.186
#Chlorophyll a: 0.399
#Chlorophyll b: 0.500
#Beta Carotene: 0.399
#Manufacturer: IKEA
#Luminance manufacturer: 200lm
#Other data: Manufacturer 2200K. 2.3W
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00000000
302.00000000	0.00000000
303.00000000	0.00000000
304.00000000	0.00000000
305.00000000	0.00000000
306.00000000	0.00000000
307.00000000	0.00000000
308.00000000	0.00000000
309.00000000	0.00000000
310.00000000	0.00000000
311.00000000	0.00000000
312.00000000	0.00000000
313.00000000	0.00000000
314.00000000	0.00000000
315.00000000	0.00000000
316.00000000	0.00000000
317.00000000	0.00054792
318.00000000	0.00000000
319.00000000	0.00004661
320.00000000	0.00000000
321.00000000	0.00009135
322.00000000	0.00000000
323.00000000	0.00000000
324.00000000	0.00000000
325.00000000	0.00000000
326.00000000	0.00000000
327.00000000	0.00000000
328.00000000	0.00000000
329.00000000	0.00000000
330.00000000	0.00000000
331.00000000	0.00000000
332.00000000	0.00066990
333.00000000	0.00001677
334.00000000	0.00000000
335.00000000	0.00000000
336.00000000	0.00000000
337.00000000	0.00000000
338.00000000	0.00000000
339.00000000	0.00067242
340.00000000	0.00000000
341.00000000	0.00000034
342.00000000	0.00002652
343.00000000	0.00000000
344.00000000	0.00000000
345.00000000	0.00000000
346.00000000	0.00000000
347.00000000	0.00000000
348.00000000	0.00000000
349.00000000	0.00000000
350.00000000	0.00000000
351.00000000	0.00000000
352.00000000	0.00041737
353.00000000	0.00000000
354.00000000	0.00000000
355.00000000	0.00000000
356.00000000	0.00000000
357.00000000	0.00028524
358.00000000	0.00000000
359.00000000	0.00000000
360.00000000	0.00000000
361.00000000	0.00000000
362.00000000	0.00000000
363.00000000	0.00000018
364.00000000	0.00000000
365.00000000	0.00000000
366.00000000	0.00000000
367.00000000	0.00000000
368.00000000	0.00000000
369.00000000	0.00000000
370.00000000	0.00000000
371.00000000	0.00000960
372.00000000	0.00000000
373.00000000	0.00021867
374.00000000	0.00054778
375.00000000	0.00000000
376.00000000	0.00000000
377.00000000	0.00019554
378.00000000	0.00000000
379.00000000	0.00000000
380.00000000	0.00047673
381.00000000	0.00002584
382.00000000	0.00000000
383.00000000	0.00000000
384.00000000	0.00041052
385.00000000	0.00000000
386.00000000	0.00000000
387.00000000	0.00000000
388.00000000	0.00000000
389.00000000	0.00000000
390.00000000	0.00018107
391.00000000	0.00033810
392.00000000	0.00019329
393.00000000	0.00000000
394.00000000	0.00054752
395.00000000	0.00000000
396.00000000	0.00000000
397.00000000	0.00113056
398.00000000	0.00005539
399.00000000	0.00000000
400.00000000	0.00000811
401.00000000	0.00000000
402.00000000	0.00011061
403.00000000	0.00006986
404.00000000	0.00001545
405.00000000	0.00001824
406.00000000	0.00016624
407.00000000	0.00007468
408.00000000	0.00066020
409.00000000	0.00009765
410.00000000	0.00005945
411.00000000	0.00071614
412.00000000	0.00135240
413.00000000	0.00142704
414.00000000	0.00161129
415.00000000	0.00134495
416.00000000	0.00251686
417.00000000	0.00399915
418.00000000	0.00296821
419.00000000	0.00371404
420.00000000	0.00381266
421.00000000	0.00462738
422.00000000	0.00519486
423.00000000	0.00533323
424.00000000	0.00673583
425.00000000	0.00709639
426.00000000	0.00867420
427.00000000	0.00852596
428.00000000	0.01050399
429.00000000	0.01138248
430.00000000	0.01280720
431.00000000	0.01472474
432.00000000	0.01657426
433.00000000	0.01778764
434.00000000	0.01919834
435.00000000	0.02160197
436.00000000	0.02434356
437.00000000	0.02645731
438.00000000	0.02853093
439.00000000	0.03291515
440.00000000	0.03409837
441.00000000	0.03851434
442.00000000	0.04289295
443.00000000	0.04712493
444.00000000	0.05201497
445.00000000	0.05863471
446.00000000	0.06570048
447.00000000	0.07523704
448.00000000	0.08605456
449.00000000	0.10020867
450.00000000	0.10985106
451.00000000	0.12392390
452.00000000	0.13978867
453.00000000	0.15080932
454.00000000	0.16097319
455.00000000	0.16826493
456.00000000	0.17193454
457.00000000	0.16989423
458.00000000	0.16819597
459.00000000	0.16305935
460.00000000	0.15332104
461.00000000	0.14458652
462.00000000	0.13695355
463.00000000	0.12897969
464.00000000	0.12609411
465.00000000	0.12031235
466.00000000	0.11952307
467.00000000	0.11979913
468.00000000	0.12267698
469.00000000	0.12052376
470.00000000	0.12104130
471.00000000	0.12251075
472.00000000	0.12079633
473.00000000	0.11885895
474.00000000	0.11676981
475.00000000	0.11421398
476.00000000	0.11022385
477.00000000	0.10809045
478.00000000	0.10402303
479.00000000	0.10318594
480.00000000	0.10324118
481.00000000	0.10442458
482.00000000	0.10442711
483.00000000	0.10615918
484.00000000	0.10901726
485.00000000	0.11146635
486.00000000	0.11604876
487.00000000	0.11755775
488.00000000	0.12105839
489.00000000	0.12443000
490.00000000	0.12612150
491.00000000	0.12720616
492.00000000	0.13139031
493.00000000	0.13429060
494.00000000	0.13743095
495.00000000	0.14076023
496.00000000	0.14314686
497.00000000	0.14961260
498.00000000	0.15325880
499.00000000	0.15583640
500.00000000	0.16025891
501.00000000	0.16462360
502.00000000	0.16970042
503.00000000	0.17476595
504.00000000	0.17833907
505.00000000	0.18273572
506.00000000	0.18615257
507.00000000	0.19072379
508.00000000	0.19533012
509.00000000	0.19854545
510.00000000	0.20371818
511.00000000	0.20851136
512.00000000	0.21198096
513.00000000	0.21580449
514.00000000	0.21957050
515.00000000	0.22395471
516.00000000	0.22782857
517.00000000	0.23005718
518.00000000	0.23383540
519.00000000	0.23613855
520.00000000	0.23965107
521.00000000	0.24296923
522.00000000	0.24790945
523.00000000	0.25209621
524.00000000	0.25800112
525.00000000	0.25871047
526.00000000	0.26486208
527.00000000	0.27001707
528.00000000	0.27330729
529.00000000	0.27867774
530.00000000	0.28257542
531.00000000	0.28509173
532.00000000	0.29054228
533.00000000	0.29301278
534.00000000	0.29654196
535.00000000	0.30257222
536.00000000	0.30780416
537.00000000	0.31161092
538.00000000	0.31731298
539.00000000	0.32183222
540.00000000	0.32777404
541.00000000	0.33500227
542.00000000	0.33879015
543.00000000	0.34464831
544.00000000	0.34858714
545.00000000	0.35647007
546.00000000	0.36094314
547.00000000	0.36648977
548.00000000	0.37376615
549.00000000	0.37672686
550.00000000	0.38547153
551.00000000	0.39365110
552.00000000	0.39966358
553.00000000	0.40817799
554.00000000	0.41434257
555.00000000	0.42091712
556.00000000	0.43105400
557.00000000	0.44131099
558.00000000	0.45160506
559.00000000	0.45911981
560.00000000	0.46798371
561.00000000	0.47817947
562.00000000	0.48493966
563.00000000	0.49235907
564.00000000	0.50063658
565.00000000	0.50967329
566.00000000	0.51999787
