#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.3282	0.3170	0.6542
#xyY coordinates: 0.2526	0.2440	0.3170
#sRGB: 64	77	165
#CCT Lindbloom (K):	25000
#CCT McCamy (K):	22558
#CCT Hernández-Andrés (K):	25000
#Melatonin: 1.368
#Chlorophyll a: 0.081
#Chlorophyll b: 1.774
#Beta Carotene: 0.082
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00000000
302.00000000	0.00000000
303.00000000	0.00000000
304.00000000	0.00326321
305.00000000	0.00000000
306.00000000	0.00000000
307.00000000	0.00191688
308.00000000	0.00983093
309.00000000	0.00000000
310.00000000	0.00000000
311.00000000	0.00356747
312.00000000	0.00000000
313.00000000	0.00000000
314.00000000	0.00000000
315.00000000	0.00000000
316.00000000	0.00000000
317.00000000	0.00000000
318.00000000	0.00000000
319.00000000	0.00082885
320.00000000	0.00000000
321.00000000	0.00000000
322.00000000	0.00000000
323.00000000	0.00631836
324.00000000	0.00000000
325.00000000	0.00000000
326.00000000	0.00259287
327.00000000	0.00000000
328.00000000	0.00000000
329.00000000	0.00000000
330.00000000	0.00000000
331.00000000	0.00000000
332.00000000	0.00000000
333.00000000	0.00000000
334.00000000	0.00005004
335.00000000	0.00000000
336.00000000	0.00132414
337.00000000	0.00000000
338.00000000	0.00000000
339.00000000	0.00131177
340.00000000	0.00287396
341.00000000	0.00360613
342.00000000	0.00000000
343.00000000	0.00086010
344.00000000	0.00000000
345.00000000	0.00000000
346.00000000	0.00000000
347.00000000	0.00020894
348.00000000	0.00062721
349.00000000	0.00000000
350.00000000	0.00000000
351.00000000	0.00000000
352.00000000	0.00174348
353.00000000	0.00257165
354.00000000	0.00082554
355.00000000	0.00013241
356.00000000	0.00000000
357.00000000	0.00000000
358.00000000	0.00000000
359.00000000	0.00000000
360.00000000	0.00000000
361.00000000	0.00000000
362.00000000	0.00000000
363.00000000	0.00000000
364.00000000	0.00000000
365.00000000	0.00000000
366.00000000	0.00000000
367.00000000	0.00000000
368.00000000	0.00120350
369.00000000	0.00000000
370.00000000	0.00002824
371.00000000	0.00000000
372.00000000	0.00231850
373.00000000	0.00177590
374.00000000	0.00000000
375.00000000	0.00000000
376.00000000	0.00120156
377.00000000	0.00179576
378.00000000	0.00074064
379.00000000	0.00000000
380.00000000	0.00092154
381.00000000	0.00000000
382.00000000	0.00000000
383.00000000	0.00000000
384.00000000	0.00000000
385.00000000	0.00091881
386.00000000	0.00101014
387.00000000	0.00039578
388.00000000	0.00366308
389.00000000	0.00231558
390.00000000	0.00236105
391.00000000	0.00525419
392.00000000	0.00469951
393.00000000	0.00444267
394.00000000	0.00691296
395.00000000	0.00703934
396.00000000	0.00987338
397.00000000	0.01056008
398.00000000	0.01392572
399.00000000	0.01629436
400.00000000	0.02003290
401.00000000	0.02274047
402.00000000	0.02725908
403.00000000	0.03126371
404.00000000	0.03780718
405.00000000	0.04039051
406.00000000	0.04774715
407.00000000	0.05455155
408.00000000	0.06275165
409.00000000	0.06827660
410.00000000	0.08002509
411.00000000	0.09146717
412.00000000	0.10249070
413.00000000	0.11299966
414.00000000	0.12719040
415.00000000	0.14190027
416.00000000	0.15573350
417.00000000	0.17479004
418.00000000	0.19095004
419.00000000	0.20860777
420.00000000	0.23089025
421.00000000	0.24618995
422.00000000	0.26865001
423.00000000	0.29777689
424.00000000	0.32319124
425.00000000	0.34020229
426.00000000	0.37251274
427.00000000	0.39648884
428.00000000	0.42904719
429.00000000	0.46003030
430.00000000	0.48314162
431.00000000	0.51483051
432.00000000	0.54945246
433.00000000	0.57595921
434.00000000	0.60945234
435.00000000	0.64780913
436.00000000	0.67096767
437.00000000	0.70838686
438.00000000	0.73654781
439.00000000	0.76999731
440.00000000	0.79262971
441.00000000	0.82452443
442.00000000	0.84754646
443.00000000	0.88148162
444.00000000	0.89330011
445.00000000	0.92223061
446.00000000	0.93100944
447.00000000	0.95148865
448.00000000	0.96728841
449.00000000	0.99585770
450.00000000	0.99746019
451.00000000	1.00000000
452.00000000	0.99776932
453.00000000	0.98948929
454.00000000	0.97380968
455.00000000	0.95637266
456.00000000	0.94112612
457.00000000	0.89978506
458.00000000	0.88735046
459.00000000	0.84916522
460.00000000	0.82094498
461.00000000	0.78297579
462.00000000	0.75987732
463.00000000	0.71399506
464.00000000	0.68535060
465.00000000	0.65852742
466.00000000	0.61955403
467.00000000	0.58822450
468.00000000	0.56384786
469.00000000	0.53065714
470.00000000	0.50373280
471.00000000	0.48150874
472.00000000	0.45220261
473.00000000	0.43197586
474.00000000	0.40772724
475.00000000	0.39002112
476.00000000	0.37162158
477.00000000	0.35597877
478.00000000	0.33548914
479.00000000	0.32046965
480.00000000	0.30847970
481.00000000	0.29977059
482.00000000	0.29193064
483.00000000	0.28214665
484.00000000	0.26831021
485.00000000	0.26571315
486.00000000	0.25894848
487.00000000	0.25252214
488.00000000	0.24804607
489.00000000	0.24101491
490.00000000	0.23835613
491.00000000	0.24062624
492.00000000	0.23616537
493.00000000	0.23515776
494.00000000	0.23382593
495.00000000	0.23776309
496.00000000	0.23754081
497.00000000	0.23939119
498.00000000	0.24216584
499.00000000	0.24345911
500.00000000	0.24594566
501.00000000	0.24708053
502.00000000	0.25135368
503.00000000	0.25627869
504.00000000	0.25835223
505.00000000	0.26028994
506.00000000	0.26829327
507.00000000	0.27133859
508.00000000	0.27609661
509.00000000	0.28105686
510.00000000	0.28373239
511.00000000	0.29139865
512.00000000	0.29741256
513.00000000	0.29426881
514.00000000	0.30224235
515.00000000	0.30917634
516.00000000	0.31071671
517.00000000	0.31325156
518.00000000	0.31322780
519.00000000	0.31873172
520.00000000	0.32020921
521.00000000	0.32664421
522.00000000	0.32623986
523.00000000	0.32814321
524.00000000	0.33609591
525.00000000	0.33589534
526.00000000	0.33445564
527.00000000	0.34273518
528.00000000	0.34333951
529.00000000	0.34639466
530.00000000	0.34452276
531.00000000	0.34666776
532.00000000	0.34581126
533.00000000	0.34597328
534.00000000	0.34613821
535.00000000	0.34732117
536.00000000	0.35079663
537.00000000	0.34838262
538.00000000	0.35057912
539.00000000	0.35408847
540.00000000	0.34890828
541.00000000	0.35016329
542.00000000	0.35121773
543.00000000	0.35333965
544.00000000	0.34914380
545.00000000	0.35142287
546.00000000	0.34697718
547.00000000	0.34874228
548.00000000	0.34581652
549.00000000	0.34915646
550.00000000	0.34438840
551.00000000	0.34313534
552.00000000	0.34321313
553.00000000	0.34548305
554.00000000	0.34294091
555.00000000	0.34145379
556.00000000	0.34193788
557.00000000	0.34176350
558.00000000	0.34145788
559.00000000	0.33860320
560.00000000	0.34011281
561.00000000	0.34175386
562.00000000	0.33449293
563.00000000	0.33387068
564.00000000	0.32960424
565.00000000	0.32918246
566.00000000	0.32977978
567.00000000	0.32632700
